#Archive/File	Name	Time	Size	Type
Archive	GSE237017_RAW.tar	07/05/2024 00:17:04	6225920	TAR
File	GSM7593072_dbp1-r1_7mers_1111111.txt.gz	07/10/2023 21:18:16	111217	TXT
File	GSM7593072_dbp1-r1_rawdata.txt.gz	07/10/2023 21:18:17	396770	TXT
File	GSM7593073_dbp3-r1_7mers_1111111.txt.gz	07/10/2023 21:18:17	117970	TXT
File	GSM7593073_dbp3-r1_rawdata.txt.gz	07/10/2023 21:18:17	403402	TXT
File	GSM7593074_dbp5-r1_7mers_1111111.txt.gz	07/10/2023 21:18:17	116871	TXT
File	GSM7593074_dbp5-r1_rawdata.txt.gz	07/10/2023 21:18:18	403557	TXT
File	GSM7593075_dbp6-r1_7mers_1111111.txt.gz	07/10/2023 21:18:18	113238	TXT
File	GSM7593075_dbp6-r1_rawdata.txt.gz	07/10/2023 21:18:18	397386	TXT
File	GSM7593076_dbp9-r1_7mers_1111111.txt.gz	07/10/2023 21:18:18	118811	TXT
File	GSM7593076_dbp9-r1_rawdata.txt.gz	07/10/2023 21:18:18	401238	TXT
File	GSM7593077_dbp35-r1_7mers_1111111.txt.gz	07/10/2023 21:18:18	114979	TXT
File	GSM7593077_dbp35-r1_rawdata.txt.gz	07/10/2023 21:18:19	395495	TXT
File	GSM7593078_dbp48-r1_7mers_1111111.txt.gz	07/10/2023 21:18:19	120669	TXT
File	GSM7593078_dbp48-r1_rawdata.txt.gz	07/10/2023 21:18:19	406903	TXT
File	GSM7593079_dbp1-r2_7mers_1111111.txt.gz	07/10/2023 21:18:19	111924	TXT
File	GSM7593079_dbp1-r2_rawdata.txt.gz	07/10/2023 21:18:19	396536	TXT
File	GSM7593080_dbp3-r2_7mers_1111111.txt.gz	07/10/2023 21:18:20	118172	TXT
File	GSM7593080_dbp3-r2_rawdata.txt.gz	07/10/2023 21:18:20	403496	TXT
File	GSM7593081_dbp6-r2_7mers_1111111.txt.gz	07/10/2023 21:18:20	116987	TXT
File	GSM7593081_dbp6-r2_rawdata.txt.gz	07/10/2023 21:18:20	405009	TXT
File	GSM7593082_dbp9-r2_7mers_1111111.txt.gz	07/10/2023 21:18:20	116330	TXT
File	GSM7593082_dbp9-r2_rawdata.txt.gz	07/10/2023 21:18:21	400755	TXT
File	GSM7593083_dbp35-r2_7mers_1111111.txt.gz	07/10/2023 21:18:21	112294	TXT
File	GSM7593083_dbp35-r2_rawdata.txt.gz	07/10/2023 21:18:21	396182	TXT
