pdb_id,selection_basis
4KPY,RCSB title search plus protein/DNA entity filter
8XIH,RCSB title search plus protein/DNA entity filter
1TUP,RCSB title search plus protein/DNA entity filter
8TAC,RCSB title search plus protein/DNA entity filter
1O3Q,RCSB title search plus protein/DNA entity filter
1O3R,RCSB title search plus protein/DNA entity filter
1O3S,RCSB title search plus protein/DNA entity filter
1O3T,RCSB title search plus protein/DNA entity filter
1D66,RCSB title search plus protein/DNA entity filter
4JBM,RCSB title search plus protein/DNA entity filter
1BNZ,RCSB title search plus protein/DNA entity filter
9C0F,RCSB title search plus protein/DNA entity filter
1WVL,RCSB title search plus protein/DNA entity filter
4E54,RCSB title search plus protein/DNA entity filter
4E5Z,RCSB title search plus protein/DNA entity filter
1B3T,RCSB title search plus protein/DNA entity filter
