gse_id,gsm_id,protein_id,protein_name,protein_concentration,replicate,sample_title,platform_id,experiment_type,source_name,supplementary_files,retrieval_date,source_url,notes
GSE237017,GSM7593072,DBP1,DBP1,300uM,1,DBP1 at 300uM concentration replicate 1,GPL23935,universal protein-binding microarray (uPBM),DBP1 replicate 1,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593072/suppl/GSM7593072_dbp1-r1_7mers_1111111.txt.gz;ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593072/suppl/GSM7593072_dbp1-r1_rawdata.txt.gz,2026-09-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7593072,"To correct for any possible non-uniformities in protein binding, we adjusted the Alexa 488 signals according to their positions on the microarray. We calculated the median normalized intensity of the 15 x 15 block centered on each spot and divided the spot's signal by the ratio of the median within the block to the median over the entire chamber. Next, the Seed-and-wobble algorithm was applied to compute enrichment scores (E-scores) and median intensities for all possible 7-mers. | value definition: Enrichment scores (E-scores), median intensities, and z-scores for 7-mers"
GSE237017,GSM7593079,DBP1,DBP1,300uM,2,DBP1 at 300uM concentration replicate 2,GPL23935,universal protein-binding microarray (uPBM),DBP1 replicate 2,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593079/suppl/GSM7593079_dbp1-r2_7mers_1111111.txt.gz;ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593079/suppl/GSM7593079_dbp1-r2_rawdata.txt.gz,2026-09-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7593079,"To correct for any possible non-uniformities in protein binding, we adjusted the Alexa 488 signals according to their positions on the microarray. We calculated the median normalized intensity of the 15 x 15 block centered on each spot and divided the spot's signal by the ratio of the median within the block to the median over the entire chamber. Next, the Seed-and-wobble algorithm was applied to compute enrichment scores (E-scores) and median intensities for all possible 7-mers. | value definition: Enrichment scores (E-scores), median intensities, and z-scores for 7-mers"
GSE237017,GSM7593073,DBP3,DBP3,75uM,1,DBP3 at 75uM concentration replicate 1,GPL23935,universal protein-binding microarray (uPBM),DBP3 replicate 1,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593073/suppl/GSM7593073_dbp3-r1_7mers_1111111.txt.gz;ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593073/suppl/GSM7593073_dbp3-r1_rawdata.txt.gz,2026-09-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7593073,"To correct for any possible non-uniformities in protein binding, we adjusted the Alexa 488 signals according to their positions on the microarray. We calculated the median normalized intensity of the 15 x 15 block centered on each spot and divided the spot's signal by the ratio of the median within the block to the median over the entire chamber. Next, the Seed-and-wobble algorithm was applied to compute enrichment scores (E-scores) and median intensities for all possible 7-mers. | value definition: Enrichment scores (E-scores), median intensities, and z-scores for 7-mers"
GSE237017,GSM7593080,DBP3,DBP3,75uM,2,DBP3 at 75uM concentration replicate 2,GPL23935,universal protein-binding microarray (uPBM),DBP3 replicate 2,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593080/suppl/GSM7593080_dbp3-r2_7mers_1111111.txt.gz;ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593080/suppl/GSM7593080_dbp3-r2_rawdata.txt.gz,2026-09-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7593080,"To correct for any possible non-uniformities in protein binding, we adjusted the Alexa 488 signals according to their positions on the microarray. We calculated the median normalized intensity of the 15 x 15 block centered on each spot and divided the spot's signal by the ratio of the median within the block to the median over the entire chamber. Next, the Seed-and-wobble algorithm was applied to compute enrichment scores (E-scores) and median intensities for all possible 7-mers. | value definition: Enrichment scores (E-scores), median intensities, and z-scores for 7-mers"
GSE237017,GSM7593077,DBP35,DBP35,100uM,1,DBP35 at 100uM concentration replicate 1,GPL23935,universal protein-binding microarray (uPBM),DBP35 replicate 1,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593077/suppl/GSM7593077_dbp35-r1_7mers_1111111.txt.gz;ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593077/suppl/GSM7593077_dbp35-r1_rawdata.txt.gz,2026-09-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7593077,"To correct for any possible non-uniformities in protein binding, we adjusted the Alexa 488 signals according to their positions on the microarray. We calculated the median normalized intensity of the 15 x 15 block centered on each spot and divided the spot's signal by the ratio of the median within the block to the median over the entire chamber. Next, the Seed-and-wobble algorithm was applied to compute enrichment scores (E-scores) and median intensities for all possible 7-mers. | value definition: Enrichment scores (E-scores), median intensities, and z-scores for 7-mers"
GSE237017,GSM7593083,DBP35,DBP35,100uM,2,DBP35 at 100uM concentration replicate 2,GPL23935,universal protein-binding microarray (uPBM),DBP35 replicate 2,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593083/suppl/GSM7593083_dbp35-r2_7mers_1111111.txt.gz;ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593083/suppl/GSM7593083_dbp35-r2_rawdata.txt.gz,2026-09-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7593083,"To correct for any possible non-uniformities in protein binding, we adjusted the Alexa 488 signals according to their positions on the microarray. We calculated the median normalized intensity of the 15 x 15 block centered on each spot and divided the spot's signal by the ratio of the median within the block to the median over the entire chamber. Next, the Seed-and-wobble algorithm was applied to compute enrichment scores (E-scores) and median intensities for all possible 7-mers. | value definition: Enrichment scores (E-scores), median intensities, and z-scores for 7-mers"
GSE237017,GSM7593078,DBP48,DBP48,75uM,1,DBP48 at 75uM concentration replicate 1,GPL23935,universal protein-binding microarray (uPBM),DBP48 replicate 1,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593078/suppl/GSM7593078_dbp48-r1_7mers_1111111.txt.gz;ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593078/suppl/GSM7593078_dbp48-r1_rawdata.txt.gz,2026-09-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7593078,"To correct for any possible non-uniformities in protein binding, we adjusted the Alexa 488 signals according to their positions on the microarray. We calculated the median normalized intensity of the 15 x 15 block centered on each spot and divided the spot's signal by the ratio of the median within the block to the median over the entire chamber. Next, the Seed-and-wobble algorithm was applied to compute enrichment scores (E-scores) and median intensities for all possible 7-mers. | value definition: Enrichment scores (E-scores), median intensities, and z-scores for 7-mers"
GSE237017,GSM7593074,DBP5,DBP5,300uM,1,DBP5 at 300uM concentration replicate 1,GPL23935,universal protein-binding microarray (uPBM),DBP5 replicate 1,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593074/suppl/GSM7593074_dbp5-r1_7mers_1111111.txt.gz;ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593074/suppl/GSM7593074_dbp5-r1_rawdata.txt.gz,2026-09-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7593074,"To correct for any possible non-uniformities in protein binding, we adjusted the Alexa 488 signals according to their positions on the microarray. We calculated the median normalized intensity of the 15 x 15 block centered on each spot and divided the spot's signal by the ratio of the median within the block to the median over the entire chamber. Next, the Seed-and-wobble algorithm was applied to compute enrichment scores (E-scores) and median intensities for all possible 7-mers. | value definition: Enrichment scores (E-scores), median intensities, and z-scores for 7-mers"
GSE237017,GSM7593075,DBP6,DBP6,200uM,1,DBP6 at 200uM concentration replicate 1,GPL23935,universal protein-binding microarray (uPBM),DBP6 replicate 1,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593075/suppl/GSM7593075_dbp6-r1_7mers_1111111.txt.gz;ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593075/suppl/GSM7593075_dbp6-r1_rawdata.txt.gz,2026-09-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7593075,"To correct for any possible non-uniformities in protein binding, we adjusted the Alexa 488 signals according to their positions on the microarray. We calculated the median normalized intensity of the 15 x 15 block centered on each spot and divided the spot's signal by the ratio of the median within the block to the median over the entire chamber. Next, the Seed-and-wobble algorithm was applied to compute enrichment scores (E-scores) and median intensities for all possible 7-mers. | value definition: Enrichment scores (E-scores), median intensities, and z-scores for 7-mers"
GSE237017,GSM7593081,DBP6,DBP6,200uM,2,DBP6 at 200uM concentration replicate 2,GPL23935,universal protein-binding microarray (uPBM),DBP6 replicate 2,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593081/suppl/GSM7593081_dbp6-r2_7mers_1111111.txt.gz;ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593081/suppl/GSM7593081_dbp6-r2_rawdata.txt.gz,2026-09-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7593081,"To correct for any possible non-uniformities in protein binding, we adjusted the Alexa 488 signals according to their positions on the microarray. We calculated the median normalized intensity of the 15 x 15 block centered on each spot and divided the spot's signal by the ratio of the median within the block to the median over the entire chamber. Next, the Seed-and-wobble algorithm was applied to compute enrichment scores (E-scores) and median intensities for all possible 7-mers. | value definition: Enrichment scores (E-scores), median intensities, and z-scores for 7-mers"
GSE237017,GSM7593076,DBP9,DBP9,75uM,1,DBP9 at 75uM concentration replicate 1,GPL23935,universal protein-binding microarray (uPBM),DBP9 replicate 1,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593076/suppl/GSM7593076_dbp9-r1_7mers_1111111.txt.gz;ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593076/suppl/GSM7593076_dbp9-r1_rawdata.txt.gz,2026-09-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7593076,"To correct for any possible non-uniformities in protein binding, we adjusted the Alexa 488 signals according to their positions on the microarray. We calculated the median normalized intensity of the 15 x 15 block centered on each spot and divided the spot's signal by the ratio of the median within the block to the median over the entire chamber. Next, the Seed-and-wobble algorithm was applied to compute enrichment scores (E-scores) and median intensities for all possible 7-mers. | value definition: Enrichment scores (E-scores), median intensities, and z-scores for 7-mers"
GSE237017,GSM7593082,DBP9,DBP9,75uM,2,DBP9 at 75uM concentration replicate 2,GPL23935,universal protein-binding microarray (uPBM),DBP9 replicate 2,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593082/suppl/GSM7593082_dbp9-r2_7mers_1111111.txt.gz;ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7593nnn/GSM7593082/suppl/GSM7593082_dbp9-r2_rawdata.txt.gz,2026-09-01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM7593082,"To correct for any possible non-uniformities in protein binding, we adjusted the Alexa 488 signals according to their positions on the microarray. We calculated the median normalized intensity of the 15 x 15 block centered on each spot and divided the spot's signal by the ratio of the median within the block to the median over the entire chamber. Next, the Seed-and-wobble algorithm was applied to compute enrichment scores (E-scores) and median intensities for all possible 7-mers. | value definition: Enrichment scores (E-scores), median intensities, and z-scores for 7-mers"
