protein_id,baseline,exact_protein_seen,homolog_seen,structure_seen,motif_or_target_seen,evidence,risk_level,notes
DBP1,DeepPBS,False,not_assessed_by_sequence_search,False,False,Direct scan of checked-out official split files found no DBP/GSE direct hit for this protein. Homolog-level leakage is not excluded.,low_to_medium_unresolved_homology,"A full homolog-level leakage audit requires model training-set protein sequences, which are not distributed in the checked repositories. Do not call any result strict zero-shot until this is resolved."
DBP1,NA-MPNN,False,not_assessed_by_sequence_search,False,False,Direct scan of checked-out official split files found no DBP/GSE direct hit for this protein. Homolog-level leakage is not excluded.,low_to_medium_unresolved_homology,"A full homolog-level leakage audit requires model training-set protein sequences, which are not distributed in the checked repositories. Do not call any result strict zero-shot until this is resolved."
DBP3,DeepPBS,False,not_assessed_by_sequence_search,False,False,Direct scan of checked-out official split files found no DBP/GSE direct hit for this protein. Homolog-level leakage is not excluded.,low_to_medium_unresolved_homology,"A full homolog-level leakage audit requires model training-set protein sequences, which are not distributed in the checked repositories. Do not call any result strict zero-shot until this is resolved."
DBP3,NA-MPNN,False,not_assessed_by_sequence_search,False,False,Direct scan of checked-out official split files found no DBP/GSE direct hit for this protein. Homolog-level leakage is not excluded.,low_to_medium_unresolved_homology,"A full homolog-level leakage audit requires model training-set protein sequences, which are not distributed in the checked repositories. Do not call any result strict zero-shot until this is resolved."
DBP5,DeepPBS,False,not_assessed_by_sequence_search,False,False,Direct scan of checked-out official split files found no DBP/GSE direct hit for this protein. Homolog-level leakage is not excluded.,low_to_medium_unresolved_homology,"A full homolog-level leakage audit requires model training-set protein sequences, which are not distributed in the checked repositories. Do not call any result strict zero-shot until this is resolved."
DBP5,NA-MPNN,False,not_assessed_by_sequence_search,False,False,Direct scan of checked-out official split files found no DBP/GSE direct hit for this protein. Homolog-level leakage is not excluded.,low_to_medium_unresolved_homology,"A full homolog-level leakage audit requires model training-set protein sequences, which are not distributed in the checked repositories. Do not call any result strict zero-shot until this is resolved."
DBP6,DeepPBS,False,not_assessed_by_sequence_search,False,False,Direct scan of checked-out official split files found no DBP/GSE direct hit for this protein. Homolog-level leakage is not excluded.,low_to_medium_unresolved_homology,"A full homolog-level leakage audit requires model training-set protein sequences, which are not distributed in the checked repositories. Do not call any result strict zero-shot until this is resolved."
DBP6,NA-MPNN,False,not_assessed_by_sequence_search,False,False,Direct scan of checked-out official split files found no DBP/GSE direct hit for this protein. Homolog-level leakage is not excluded.,low_to_medium_unresolved_homology,"A full homolog-level leakage audit requires model training-set protein sequences, which are not distributed in the checked repositories. Do not call any result strict zero-shot until this is resolved."
DBP9,DeepPBS,False,not_assessed_by_sequence_search,False,False,Direct scan of checked-out official split files found no DBP/GSE direct hit for this protein. Homolog-level leakage is not excluded.,low_to_medium_unresolved_homology,"A full homolog-level leakage audit requires model training-set protein sequences, which are not distributed in the checked repositories. Do not call any result strict zero-shot until this is resolved."
DBP9,NA-MPNN,False,not_assessed_by_sequence_search,False,False,Direct scan of checked-out official split files found no DBP/GSE direct hit for this protein. Homolog-level leakage is not excluded.,low_to_medium_unresolved_homology,"A full homolog-level leakage audit requires model training-set protein sequences, which are not distributed in the checked repositories. Do not call any result strict zero-shot until this is resolved."
DBP35,DeepPBS,False,not_assessed_by_sequence_search,False,False,Direct scan of checked-out official split files found no DBP/GSE direct hit for this protein. Homolog-level leakage is not excluded.,low_to_medium_unresolved_homology,"A full homolog-level leakage audit requires model training-set protein sequences, which are not distributed in the checked repositories. Do not call any result strict zero-shot until this is resolved."
DBP35,NA-MPNN,False,not_assessed_by_sequence_search,False,False,Direct scan of checked-out official split files found no DBP/GSE direct hit for this protein. Homolog-level leakage is not excluded.,low_to_medium_unresolved_homology,"A full homolog-level leakage audit requires model training-set protein sequences, which are not distributed in the checked repositories. Do not call any result strict zero-shot until this is resolved."
DBP48,DeepPBS,False,not_assessed_by_sequence_search,False,False,Direct scan of checked-out official split files found no DBP/GSE direct hit for this protein. Homolog-level leakage is not excluded.,low_to_medium_unresolved_homology,"A full homolog-level leakage audit requires model training-set protein sequences, which are not distributed in the checked repositories. Do not call any result strict zero-shot until this is resolved."
DBP48,NA-MPNN,True,not_assessed_by_sequence_search,True,False,8tac appears in NA-MPNN split files: design_valid.json;specificity_valid.json. 8TAC is the DBP48 experimental structure used here.,high_not_zero_shot,"A full homolog-level leakage audit requires model training-set protein sequences, which are not distributed in the checked repositories. Do not call any result strict zero-shot until this is resolved."
