source_database,publication,dataset_code,filename,url,local_relative_path,sha256,size,n_8mer_profile_files,download_status,head_status,retrieval_date
UniPROBE,All Data,NAR10,NAR10_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/NAR10/NAR10_contig8mers.zip,data/raw/v0_4_1/NAR10_contig8mers.zip,be99a1d6af296a208014a5a9c67f6b010359ff00e075c1471d9e35289cce896f,1414636.0,2,exists,head_ok,2026-09-02
UniPROBE,"Badis et al., Science 2009",SCI09,SCI09_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/SCI09/SCI09_contig8mers.zip,,,1209324426.0,0,skipped_large_single_zip,head_ok,2026-09-02
UniPROBE,"Barrera et al., Science 2016",BAR15A,BAR15A_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/BAR15A/BAR15A_contig8mers.zip,,,104707619.0,0,skipped_large_single_zip,head_ok,2026-09-02
UniPROBE,"Berger et al., Nat Biotech 2006",NBT06,NBT06_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/NBT06/NBT06_contig8mers.zip,data/raw/v0_4_1/NBT06_contig8mers.zip,4a93ebe78c1d8f7dde373de7b23a28ae072e6690077f31de22cc1d8fc6524588,8090133.0,6,exists,head_ok,2026-09-02
UniPROBE,"Berger et al., Cell 2008",Cell08,Cell08_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/Cell08/Cell08_contig8mers.zip,,,356413560.0,0,skipped_large_single_zip,head_ok,2026-09-02
UniPROBE,"Busser et al., Development 2012",DEV12,DEV12_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/DEV12/DEV12_contig8mers.zip,data/raw/v0_4_1/DEV12_contig8mers.zip,eb22aec14b5241fe69722a78c325083a4cb9742939f8bf1d084857a831881ffc,4971419.0,10,exists,head_ok,2026-09-02
UniPROBE,"Busser et al., PNAS 2012",PNAS12,PNAS12_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/PNAS12/PNAS12_contig8mers.zip,data/raw/v0_4_1/PNAS12_contig8mers.zip,65e981ef05f09480a2587a9d71d7c3ac060928b89f5de510a5777b5a51e735be,494643.0,1,exists,head_ok,2026-09-02
UniPROBE,"Campbell et al., PLoS Pathog 2010",Path10,Path10_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/Path10/Path10_contig8mers.zip,data/raw/v0_4_1/Path10_contig8mers.zip,9e5260b41cc67dbdadf3c44f37bbb8eadde89d0413c711ec07ef62b106983583,267655.0,23,exists,head_ok,2026-09-02
UniPROBE,"Cheatle Jarvela et al., Mol Biol Evol 2014",MBE14,MBE14_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/MBE14/MBE14_contig8mers.zip,data/raw/v0_4_1/MBE14_contig8mers.zip,1deda7f2854faa124d8826fb124f86d62e89f38f7fd553ad83cfccc03580dded,2020201.0,4,exists,head_ok,2026-09-02
UniPROBE,"Del Bianco et al., PLoS ONE 2010",PO10,PO10_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/PO10/PO10_contig8mers.zip,data/raw/v0_4_1/PO10_contig8mers.zip,b2910aa473399c08b67f3c3aa55bc753de0cd3ed047a81b67c9c0daf83a95a46,8485838.0,13,exists,head_ok,2026-09-02
UniPROBE,"De Masi et al., NAR 2011",NAR11,NAR11_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/NAR11/NAR11_contig8mers.zip,data/raw/v0_4_1/NAR11_contig8mers.zip,38046d5d97a7618552c7f32a69319e75984e9c5ed914949aa9ab537cf3b586fd,4769140.0,12,exists,head_ok,2026-09-02
UniPROBE,"De Silva et al., PNAS 2008",PNAS08,PNAS08_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/PNAS08/PNAS08_contig8mers.zip,data/raw/v0_4_1/PNAS08_contig8mers.zip,2f1d054d255e76932b33bc623b866c8729088816381d53309ac040b51235b937,1482753.0,3,exists,head_ok,2026-09-02
UniPROBE,"Gordan et al., Gen. Bio. 2011",GB11,GB11_contig8mers.zip,https://thebrain.bwh.harvard.edu/uniprobe/downloads/GB11/GB11_contig8mers.zip,data/raw/v0_4_1/GB11_contig8mers.zip,fedde0d1af371ab8efbf862472ca804cf4f35338fb9d4c4d9646d3c5cdf4fc3d,13639360.0,27,exists,head_ok,2026-09-02
