record_type,group_id,members,n_members,protein_clusters,original_target_groups,assay_target_groups,motif_groups,legal_split,target_leakage_controlled,evidence,notes
protein_cluster,protein_cluster_1,DBP1|DBP3,2,protein_cluster_1,original_target_A_c,assay_target_A_c,motif_CCTGC|motif_GCAGGA,primary_cluster_loco_and_strict_component_loco,strict_component_loco_only,existing v0.3.1 curated metadata,Group members must remain together for any split that claims independence at this level.
protein_cluster,protein_cluster_2,DBP35|DBP5,2,protein_cluster_2,original_target_B_c,assay_target_B_c,motif_TGCACA,primary_cluster_loco_and_strict_component_loco,strict_component_loco_only,existing v0.3.1 curated metadata,Group members must remain together for any split that claims independence at this level.
protein_cluster,protein_cluster_3,DBP48,1,protein_cluster_3,original_target_I_b,assay_target_C,motif_CGTCAG,primary_cluster_loco_and_strict_component_loco,strict_component_loco_only,existing v0.3.1 curated metadata,Group members must remain together for any split that claims independence at this level.
protein_cluster,protein_cluster_4,DBP6|DBP9,2,protein_cluster_4,original_target_B_b,assay_target_B_b,motif_TGCACA,primary_cluster_loco_and_strict_component_loco,strict_component_loco_only,existing v0.3.1 curated metadata,Group members must remain together for any split that claims independence at this level.
original_target_group,original_target_A_c,DBP1|DBP3,2,protein_cluster_1,original_target_A_c,assay_target_A_c,motif_CCTGC|motif_GCAGGA,primary_cluster_loco_and_strict_component_loco,strict_component_loco_only,existing v0.3.1 curated metadata,Group members must remain together for any split that claims independence at this level.
original_target_group,original_target_B_b,DBP6|DBP9,2,protein_cluster_4,original_target_B_b,assay_target_B_b,motif_TGCACA,primary_cluster_loco_and_strict_component_loco,strict_component_loco_only,existing v0.3.1 curated metadata,Group members must remain together for any split that claims independence at this level.
original_target_group,original_target_B_c,DBP35|DBP5,2,protein_cluster_2,original_target_B_c,assay_target_B_c,motif_TGCACA,primary_cluster_loco_and_strict_component_loco,strict_component_loco_only,existing v0.3.1 curated metadata,Group members must remain together for any split that claims independence at this level.
original_target_group,original_target_I_b,DBP48,1,protein_cluster_3,original_target_I_b,assay_target_C,motif_CGTCAG,primary_cluster_loco_and_strict_component_loco,strict_component_loco_only,existing v0.3.1 curated metadata,Group members must remain together for any split that claims independence at this level.
assay_target_group,assay_target_A_c,DBP1|DBP3,2,protein_cluster_1,original_target_A_c,assay_target_A_c,motif_CCTGC|motif_GCAGGA,primary_cluster_loco_and_strict_component_loco,strict_component_loco_only,existing v0.3.1 curated metadata,Group members must remain together for any split that claims independence at this level.
assay_target_group,assay_target_B_b,DBP6|DBP9,2,protein_cluster_4,original_target_B_b,assay_target_B_b,motif_TGCACA,primary_cluster_loco_and_strict_component_loco,strict_component_loco_only,existing v0.3.1 curated metadata,Group members must remain together for any split that claims independence at this level.
assay_target_group,assay_target_B_c,DBP35|DBP5,2,protein_cluster_2,original_target_B_c,assay_target_B_c,motif_TGCACA,primary_cluster_loco_and_strict_component_loco,strict_component_loco_only,existing v0.3.1 curated metadata,Group members must remain together for any split that claims independence at this level.
assay_target_group,assay_target_C,DBP48,1,protein_cluster_3,original_target_I_b,assay_target_C,motif_CGTCAG,primary_cluster_loco_and_strict_component_loco,strict_component_loco_only,existing v0.3.1 curated metadata,Group members must remain together for any split that claims independence at this level.
motif_group,motif_CCTGC,DBP1,1,protein_cluster_1,original_target_A_c,assay_target_A_c,motif_CCTGC,primary_cluster_loco_and_strict_component_loco,strict_component_loco_only,existing v0.3.1 curated metadata,Group members must remain together for any split that claims independence at this level.
motif_group,motif_CGTCAG,DBP48,1,protein_cluster_3,original_target_I_b,assay_target_C,motif_CGTCAG,primary_cluster_loco_and_strict_component_loco,strict_component_loco_only,existing v0.3.1 curated metadata,Group members must remain together for any split that claims independence at this level.
motif_group,motif_GCAGGA,DBP3,1,protein_cluster_1,original_target_A_c,assay_target_A_c,motif_GCAGGA,primary_cluster_loco_and_strict_component_loco,strict_component_loco_only,existing v0.3.1 curated metadata,Group members must remain together for any split that claims independence at this level.
motif_group,motif_TGCACA,DBP35|DBP5|DBP6|DBP9,4,protein_cluster_2|protein_cluster_4,original_target_B_b|original_target_B_c,assay_target_B_b|assay_target_B_c,motif_TGCACA,primary_cluster_loco_and_strict_component_loco,strict_component_loco_only,existing v0.3.1 curated metadata,Group members must remain together for any split that claims independence at this level.
combined_component,combined_component_1,DBP1|DBP3,2,protein_cluster_1,original_target_A_c,assay_target_A_c,motif_CCTGC|motif_GCAGGA,strict_component_loco,yes,connected components of protein/target/motif leakage graph,All proteins in a component must remain in the same future split.
combined_component,combined_component_2,DBP35|DBP5|DBP6|DBP9,4,protein_cluster_2|protein_cluster_4,original_target_B_b|original_target_B_c,assay_target_B_b|assay_target_B_c,motif_TGCACA,strict_component_loco,yes,connected components of protein/target/motif leakage graph,All proteins in a component must remain in the same future split.
combined_component,combined_component_3,DBP48,1,protein_cluster_3,original_target_I_b,assay_target_C,motif_CGTCAG,strict_component_loco,yes,connected components of protein/target/motif leakage graph,All proteins in a component must remain in the same future split.
split_scheme,protein_cluster_loco,,,,,,,yes,no,v0.5 split contract,primary protein-level split; target/motif groups can still cross folds
split_scheme,combined_component_loco,,,,,,,yes,yes,v0.5 split contract,strict sensitivity split; all known protein/target/motif edges stay within folds
split_scheme,random_protein_7mer_row_split,,,,,,,no,no,v0.5 split contract,prohibited because it leaks protein identity and can split related target/motif groups
