source_id,protein_name,metric,n_sequences,spearman_with_pfm_derived_score,score_type,notes
MA0035.4,GATA1,sequence_identity,234,0.6747983539051373,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0035.4,GATA1,edit_similarity,234,0.6747983539051373,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0035.4,GATA1,hamming_similarity,234,0.8418842511219984,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0035.4,GATA1,kmer3_jaccard,234,0.5477777349395165,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0035.4,GATA1,kmer4_jaccard,234,0.5439678950636798,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0035.4,GATA1,rc_kmer4_jaccard,234,0.5400026574818066,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0079.5,SP1,sequence_identity,228,0.8867549101411606,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0079.5,SP1,edit_similarity,228,0.8867549101411606,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0079.5,SP1,hamming_similarity,228,0.9115676089252055,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0079.5,SP1,kmer3_jaccard,228,0.6632146985916368,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0079.5,SP1,kmer4_jaccard,228,0.6637022160402142,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0079.5,SP1,rc_kmer4_jaccard,228,0.6171646108743881,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0106.3,TP53,sequence_identity,255,0.6638113633656008,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0106.3,TP53,edit_similarity,255,0.6638113633656008,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0106.3,TP53,hamming_similarity,255,0.884589755570932,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0106.3,TP53,kmer3_jaccard,255,0.5340856090912859,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0106.3,TP53,kmer4_jaccard,255,0.5500714232459398,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0106.3,TP53,rc_kmer4_jaccard,255,0.5328791182430845,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0139.1,CTCF,sequence_identity,258,0.6892402588230208,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0139.1,CTCF,edit_similarity,258,0.6892402588230208,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0139.1,CTCF,hamming_similarity,258,0.8528305657681513,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0139.1,CTCF,kmer3_jaccard,258,0.5082303130552746,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0139.1,CTCF,kmer4_jaccard,258,0.5407845019607685,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0139.1,CTCF,rc_kmer4_jaccard,258,0.4688529326199316,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0493.1,Klf1,sequence_identity,234,0.7185470851207353,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0493.1,Klf1,edit_similarity,234,0.7185470851207353,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0493.1,Klf1,hamming_similarity,234,0.8586067721565777,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0493.1,Klf1,kmer3_jaccard,234,0.5750589275528202,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0493.1,Klf1,kmer4_jaccard,234,0.5573147058976728,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
MA0493.1,Klf1,rc_kmer4_jaccard,234,0.4437014952067011,jaspar_pfm_pwm_log2_odds_derived,Correlation uses sequence similarity to the JASPAR consensus versus PFM-derived PWM log2-odds score.
