pair_id,dna_length,target_gc_content,gc_matched_written,random_written
9C0F_3_1,35,0.5428571428571428,1000,1000
4E54_1_3,24,0.4583333333333333,1000,1000
4E5Z_1_3,24,0.4583333333333333,1000,1000
1TUP_3_1,21,0.38095238095238093,1000,1000
4KPY_1_2,21,0.38095238095238093,1000,1000
1D66_3_1,19,0.7368421052631579,1000,1000
1B3T_2_1,18,0.5555555555555556,1000,1000
1O3T_3_2,17,0.4117647058823529,1000,1000
8XIH_1_3,16,0.4375,1000,1000
1O3Q_3_2,15,0.26666666666666666,1000,1000
1O3R_3_2,15,0.3333333333333333,1000,1000
1O3S_3_2,15,0.3333333333333333,1000,1000
4JBM_1_2,12,1.0,1000,1000
8TAC_1_2,11,0.6363636363636364,1000,1000
1WVL_2_1,10,0.4,1000,1000
1BNZ_2_1,8,0.25,1000,1000
