protein_id,gsm_id,replicate,n_rows,n_unique_7mers,n_missing_7mers,n_duplicate_7mers,fraction_complete,n_source_rows,n_unique_primary_column_7mers,n_unique_source_union_7mers,n_invalid_dna_rows,n_invalid_source_rows,n_missing_e_score,n_missing_median_intensity,n_missing_z_score,source_file,notes
DBP1,GSM7593072,1,16384,16384,0,0,1.0,8192,8192,16384,0,0,0,0,0,GSM7593072_dbp1-r1_7mers_1111111.txt.gz,GEO 7-mer table has two 7-mer columns; rows were explicitly expanded so reverse-complement companion sequences are represented as separate 7-mer measurements with the same PBM scores.
DBP1,GSM7593079,2,16384,16384,0,0,1.0,8192,8192,16384,0,0,0,0,0,GSM7593079_dbp1-r2_7mers_1111111.txt.gz,GEO 7-mer table has two 7-mer columns; rows were explicitly expanded so reverse-complement companion sequences are represented as separate 7-mer measurements with the same PBM scores.
DBP3,GSM7593073,1,16384,16384,0,0,1.0,8192,8192,16384,0,0,0,0,0,GSM7593073_dbp3-r1_7mers_1111111.txt.gz,GEO 7-mer table has two 7-mer columns; rows were explicitly expanded so reverse-complement companion sequences are represented as separate 7-mer measurements with the same PBM scores.
DBP3,GSM7593080,2,16384,16384,0,0,1.0,8192,8192,16384,0,0,0,0,0,GSM7593080_dbp3-r2_7mers_1111111.txt.gz,GEO 7-mer table has two 7-mer columns; rows were explicitly expanded so reverse-complement companion sequences are represented as separate 7-mer measurements with the same PBM scores.
DBP35,GSM7593077,1,16384,16384,0,0,1.0,8192,8192,16384,0,0,0,0,0,GSM7593077_dbp35-r1_7mers_1111111.txt.gz,GEO 7-mer table has two 7-mer columns; rows were explicitly expanded so reverse-complement companion sequences are represented as separate 7-mer measurements with the same PBM scores.
DBP35,GSM7593083,2,16384,16384,0,0,1.0,8192,8192,16384,0,0,0,0,0,GSM7593083_dbp35-r2_7mers_1111111.txt.gz,GEO 7-mer table has two 7-mer columns; rows were explicitly expanded so reverse-complement companion sequences are represented as separate 7-mer measurements with the same PBM scores.
DBP48,GSM7593078,1,16384,16384,0,0,1.0,8192,8192,16384,0,0,0,0,0,GSM7593078_dbp48-r1_7mers_1111111.txt.gz,GEO 7-mer table has two 7-mer columns; rows were explicitly expanded so reverse-complement companion sequences are represented as separate 7-mer measurements with the same PBM scores.
DBP5,GSM7593074,1,16384,16384,0,0,1.0,8192,8192,16384,0,0,0,0,0,GSM7593074_dbp5-r1_7mers_1111111.txt.gz,GEO 7-mer table has two 7-mer columns; rows were explicitly expanded so reverse-complement companion sequences are represented as separate 7-mer measurements with the same PBM scores.
DBP6,GSM7593075,1,16384,16384,0,0,1.0,8192,8192,16384,0,0,0,0,0,GSM7593075_dbp6-r1_7mers_1111111.txt.gz,GEO 7-mer table has two 7-mer columns; rows were explicitly expanded so reverse-complement companion sequences are represented as separate 7-mer measurements with the same PBM scores.
DBP6,GSM7593081,2,16384,16384,0,0,1.0,8192,8192,16384,0,0,0,0,0,GSM7593081_dbp6-r2_7mers_1111111.txt.gz,GEO 7-mer table has two 7-mer columns; rows were explicitly expanded so reverse-complement companion sequences are represented as separate 7-mer measurements with the same PBM scores.
DBP9,GSM7593076,1,16384,16384,0,0,1.0,8192,8192,16384,0,0,0,0,0,GSM7593076_dbp9-r1_7mers_1111111.txt.gz,GEO 7-mer table has two 7-mer columns; rows were explicitly expanded so reverse-complement companion sequences are represented as separate 7-mer measurements with the same PBM scores.
DBP9,GSM7593082,2,16384,16384,0,0,1.0,8192,8192,16384,0,0,0,0,0,GSM7593082_dbp9-r2_7mers_1111111.txt.gz,GEO 7-mer table has two 7-mer columns; rows were explicitly expanded so reverse-complement companion sequences are represented as separate 7-mer measurements with the same PBM scores.
