protein_id,metric,spearman,n_sequences,sequence_unit,reference_definition,notes
DBP1,hamming_similarity_to_paper_motif_rc_aware,-0.1943351750759356,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP1,edit_similarity_to_paper_motif_rc_aware,-0.19360355437710017,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP1,kmer3_jaccard_to_paper_motif_rc_aware,-0.1388771510027426,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP1,kmer4_jaccard_to_paper_motif_rc_aware,-0.07172485070667013,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP3,hamming_similarity_to_paper_motif_rc_aware,-0.023815355454737386,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP3,edit_similarity_to_paper_motif_rc_aware,-0.026533838469594173,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP3,kmer3_jaccard_to_paper_motif_rc_aware,-0.03464320712460613,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP3,kmer4_jaccard_to_paper_motif_rc_aware,-0.017977772841621574,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP35,hamming_similarity_to_paper_motif_rc_aware,0.01096056763667208,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP35,edit_similarity_to_paper_motif_rc_aware,0.01892782640328046,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP35,kmer3_jaccard_to_paper_motif_rc_aware,0.27670939651089443,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP35,kmer4_jaccard_to_paper_motif_rc_aware,0.153804959756108,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP48,hamming_similarity_to_paper_motif_rc_aware,0.28440698319379915,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP48,edit_similarity_to_paper_motif_rc_aware,0.31032090939518087,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP48,kmer3_jaccard_to_paper_motif_rc_aware,0.34483164861095733,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP48,kmer4_jaccard_to_paper_motif_rc_aware,0.21669892506238025,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP5,hamming_similarity_to_paper_motif_rc_aware,0.08381316362123534,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP5,edit_similarity_to_paper_motif_rc_aware,0.08866597290132056,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP5,kmer3_jaccard_to_paper_motif_rc_aware,0.22396545712814278,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP5,kmer4_jaccard_to_paper_motif_rc_aware,0.09956055159503795,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP6,hamming_similarity_to_paper_motif_rc_aware,0.05554138003302766,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP6,edit_similarity_to_paper_motif_rc_aware,0.06605322303186603,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP6,kmer3_jaccard_to_paper_motif_rc_aware,0.3619789577743203,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP6,kmer4_jaccard_to_paper_motif_rc_aware,0.2882439005592343,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP9,hamming_similarity_to_paper_motif_rc_aware,0.0669834030350127,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP9,edit_similarity_to_paper_motif_rc_aware,0.06144857419012779,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP9,kmer3_jaccard_to_paper_motif_rc_aware,0.2320822289869546,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
DBP9,kmer4_jaccard_to_paper_motif_rc_aware,0.23219594193730927,8192,RC equivalence class,paper uPBM motif with candidate and motif reverse-complement equivalence,Per-protein sequence-only baseline; not protein-conditioned.
