protein_id,metric,old_metric,new_metric,old_spearman,rc_aware_spearman,delta,old_reference,new_reference
DBP1,hamming,hamming_similarity_to_target_7mer,hamming_similarity_to_paper_motif_rc_aware,0.0057877594040173,-0.1943351750759356,-0.20012293447995289,max similarity to intended-target-derived 7-mers; oriented v0.3 rows,paper motif; RC-class v0.3.1 rows
DBP3,hamming,hamming_similarity_to_target_7mer,hamming_similarity_to_paper_motif_rc_aware,0.0006900363328225,-0.023815355454737386,-0.024505391787559887,max similarity to intended-target-derived 7-mers; oriented v0.3 rows,paper motif; RC-class v0.3.1 rows
DBP35,hamming,hamming_similarity_to_target_7mer,hamming_similarity_to_paper_motif_rc_aware,-0.0492338338714426,0.01096056763667208,0.060194401508114684,max similarity to intended-target-derived 7-mers; oriented v0.3 rows,paper motif; RC-class v0.3.1 rows
DBP48,hamming,hamming_similarity_to_target_7mer,hamming_similarity_to_paper_motif_rc_aware,0.2164212204807707,0.28440698319379915,0.06798576271302845,max similarity to intended-target-derived 7-mers; oriented v0.3 rows,paper motif; RC-class v0.3.1 rows
DBP5,hamming,hamming_similarity_to_target_7mer,hamming_similarity_to_paper_motif_rc_aware,0.0176144420834221,0.08381316362123534,0.06619872153781324,max similarity to intended-target-derived 7-mers; oriented v0.3 rows,paper motif; RC-class v0.3.1 rows
DBP6,hamming,hamming_similarity_to_target_7mer,hamming_similarity_to_paper_motif_rc_aware,0.0525383460811804,0.05554138003302766,0.003003033951847256,max similarity to intended-target-derived 7-mers; oriented v0.3 rows,paper motif; RC-class v0.3.1 rows
DBP9,hamming,hamming_similarity_to_target_7mer,hamming_similarity_to_paper_motif_rc_aware,0.0812561603410303,0.0669834030350127,-0.014272757306017597,max similarity to intended-target-derived 7-mers; oriented v0.3 rows,paper motif; RC-class v0.3.1 rows
DBP1,edit,edit_similarity_to_target_7mer,edit_similarity_to_paper_motif_rc_aware,0.0119503004503576,-0.19360355437710017,-0.20555385482745778,max similarity to intended-target-derived 7-mers; oriented v0.3 rows,paper motif; RC-class v0.3.1 rows
DBP3,edit,edit_similarity_to_target_7mer,edit_similarity_to_paper_motif_rc_aware,0.0082795478166383,-0.026533838469594173,-0.03481338628623247,max similarity to intended-target-derived 7-mers; oriented v0.3 rows,paper motif; RC-class v0.3.1 rows
DBP35,edit,edit_similarity_to_target_7mer,edit_similarity_to_paper_motif_rc_aware,-0.0372664281186024,0.01892782640328046,0.05619425452188286,max similarity to intended-target-derived 7-mers; oriented v0.3 rows,paper motif; RC-class v0.3.1 rows
DBP48,edit,edit_similarity_to_target_7mer,edit_similarity_to_paper_motif_rc_aware,0.220596050990924,0.31032090939518087,0.08972485840425687,max similarity to intended-target-derived 7-mers; oriented v0.3 rows,paper motif; RC-class v0.3.1 rows
DBP5,edit,edit_similarity_to_target_7mer,edit_similarity_to_paper_motif_rc_aware,0.0265035064225872,0.08866597290132056,0.06216246647873336,max similarity to intended-target-derived 7-mers; oriented v0.3 rows,paper motif; RC-class v0.3.1 rows
DBP6,edit,edit_similarity_to_target_7mer,edit_similarity_to_paper_motif_rc_aware,0.0740882786805608,0.06605322303186603,-0.008035055648694764,max similarity to intended-target-derived 7-mers; oriented v0.3 rows,paper motif; RC-class v0.3.1 rows
DBP9,edit,edit_similarity_to_target_7mer,edit_similarity_to_paper_motif_rc_aware,0.0835111383790574,0.06144857419012779,-0.022062564188929608,max similarity to intended-target-derived 7-mers; oriented v0.3 rows,paper motif; RC-class v0.3.1 rows
DBP1,kmer3,kmer3_jaccard_to_target_7mer,kmer3_jaccard_to_paper_motif_rc_aware,0.005084311655488,-0.1388771510027426,-0.1439614626582306,max similarity to intended-target-derived 7-mers; oriented v0.3 rows,paper motif; RC-class v0.3.1 rows
DBP3,kmer3,kmer3_jaccard_to_target_7mer,kmer3_jaccard_to_paper_motif_rc_aware,0.0176041503836076,-0.03464320712460613,-0.05224735750821373,max similarity to intended-target-derived 7-mers; oriented v0.3 rows,paper motif; RC-class v0.3.1 rows
DBP35,kmer3,kmer3_jaccard_to_target_7mer,kmer3_jaccard_to_paper_motif_rc_aware,-0.0171193099840163,0.27670939651089443,0.2938287064949107,max similarity to intended-target-derived 7-mers; oriented v0.3 rows,paper motif; RC-class v0.3.1 rows
DBP48,kmer3,kmer3_jaccard_to_target_7mer,kmer3_jaccard_to_paper_motif_rc_aware,0.0872959480355777,0.34483164861095733,0.2575357005753796,max similarity to intended-target-derived 7-mers; oriented v0.3 rows,paper motif; RC-class v0.3.1 rows
