protein_id,baseline,metric,bootstrap_mean,ci_lower,ci_upper,n_resamples,evaluation_status
DBP1,sequence_hamming,spearman,-0.19491196789086815,-0.214724282702002,-0.175697092982798,200,evaluated
DBP1,sequence_edit,spearman,-0.19404602077878672,-0.2117022684100538,-0.17468020655030847,200,evaluated
DBP1,sequence_kmer3,spearman,-0.1393479452696291,-0.15859194545966757,-0.11978111843667533,200,evaluated
DBP1,sequence_kmer4,spearman,-0.07094089272581035,-0.0935948436029832,-0.04950016199279598,200,evaluated
DBP1,NA-MPNN_structural_ppm,spearman,,,,0,not_evaluable_missing_public_structure
DBP1,DeepPBS,spearman,,,,0,not_evaluable_current_environment
DBP1,SimpleProteinConditionalBaseline,spearman,,,,0,not_trained_no_assay_matched_training_data
DBP3,sequence_hamming,spearman,-0.024784847286588946,-0.04611383176870445,-0.006584284571661615,200,evaluated
DBP3,sequence_edit,spearman,-0.02743573838578832,-0.04808040430660768,-0.010708027229569862,200,evaluated
DBP3,sequence_kmer3,spearman,-0.03511397412578989,-0.057208304810780465,-0.011135876406552229,200,evaluated
DBP3,sequence_kmer4,spearman,-0.017131643544863212,-0.041571424447736906,0.004590538549797724,200,evaluated
DBP3,NA-MPNN_structural_ppm,spearman,,,,0,not_evaluable_missing_public_structure
DBP3,DeepPBS,spearman,,,,0,not_evaluable_current_environment
DBP3,SimpleProteinConditionalBaseline,spearman,,,,0,not_trained_no_assay_matched_training_data
DBP35,sequence_hamming,spearman,0.012303563942319448,-0.006419560764984761,0.031091094282301838,200,evaluated
DBP35,sequence_edit,spearman,0.020429238827215698,0.001166195956783938,0.03883858515644006,200,evaluated
DBP35,sequence_kmer3,spearman,0.27791161711785767,0.2588625241173185,0.29593042992225016,200,evaluated
DBP35,sequence_kmer4,spearman,0.1542984269550734,0.13113080889321838,0.17364546551322196,200,evaluated
DBP35,NA-MPNN_structural_ppm,spearman,0.25015247048816863,0.23074631957790168,0.27066138470261497,200,evaluated
DBP35,DeepPBS,spearman,,,,0,not_evaluable_current_environment
DBP35,SimpleProteinConditionalBaseline,spearman,,,,0,not_trained_no_assay_matched_training_data
DBP48,sequence_hamming,spearman,0.28516825106526605,0.2623004268180856,0.3070721214151611,200,evaluated
DBP48,sequence_edit,spearman,0.31118548517257977,0.28817482295693303,0.33201973271975865,200,evaluated
DBP48,sequence_kmer3,spearman,0.34401391277941185,0.32013509635515636,0.3656419445391478,200,evaluated
DBP48,sequence_kmer4,spearman,0.21550630134844717,0.19534630864949068,0.2406004865432501,200,evaluated
DBP48,NA-MPNN_structural_ppm,spearman,-0.32955976665069414,-0.3483688599211691,-0.31010982779364915,200,evaluated
DBP48,DeepPBS,spearman,,,,0,not_evaluable_current_environment
DBP48,SimpleProteinConditionalBaseline,spearman,,,,0,not_trained_no_assay_matched_training_data
DBP5,sequence_hamming,spearman,0.08436831439834998,0.06357310395192878,0.10516978970581442,200,evaluated
DBP5,sequence_edit,spearman,0.08942223813806485,0.06717439750248387,0.11096090842614871,200,evaluated
DBP5,sequence_kmer3,spearman,0.22544739386495694,0.20460188245544972,0.24708664613070544,200,evaluated
DBP5,sequence_kmer4,spearman,0.10130199936253888,0.08102349478901844,0.12402084691846979,200,evaluated
DBP5,NA-MPNN_structural_ppm,spearman,,,,0,not_evaluable_missing_public_structure
DBP5,DeepPBS,spearman,,,,0,not_evaluable_current_environment
DBP5,SimpleProteinConditionalBaseline,spearman,,,,0,not_trained_no_assay_matched_training_data
DBP6,sequence_hamming,spearman,0.05674382991488275,0.03539922423613225,0.07841255684179388,200,evaluated
DBP6,sequence_edit,spearman,0.06740408835075662,0.04451564420273816,0.08922265922971433,200,evaluated
DBP6,sequence_kmer3,spearman,0.36200044714145263,0.33904935933717933,0.3833350130024935,200,evaluated
DBP6,sequence_kmer4,spearman,0.28886762658091597,0.2671481618242061,0.30826966822120255,200,evaluated
DBP6,NA-MPNN_structural_ppm,spearman,,,,0,not_evaluable_missing_public_structure
DBP6,DeepPBS,spearman,,,,0,not_evaluable_current_environment
DBP6,SimpleProteinConditionalBaseline,spearman,,,,0,not_trained_no_assay_matched_training_data
DBP9,sequence_hamming,spearman,0.06763964877012327,0.0442960757079315,0.08728322037137382,200,evaluated
DBP9,sequence_edit,spearman,0.06186377822852171,0.03861634591944751,0.0825899770004497,200,evaluated
DBP9,sequence_kmer3,spearman,0.23201650469005808,0.21291517482528663,0.2535155098313806,200,evaluated
DBP9,sequence_kmer4,spearman,0.2330881070612204,0.21059587062444876,0.2567969266180838,200,evaluated
DBP9,NA-MPNN_structural_ppm,spearman,,,,0,not_evaluable_missing_public_structure
DBP9,DeepPBS,spearman,,,,0,not_evaluable_current_environment
DBP9,SimpleProteinConditionalBaseline,spearman,,,,0,not_trained_no_assay_matched_training_data
macro_protein_bootstrap,DeepPBS,spearman,,,,0,not_evaluable
macro_protein_bootstrap,NA-MPNN_structural_ppm,spearman,-0.03055277352147006,-0.3311403766246295,0.24970523323654814,200,evaluated
macro_protein_bootstrap,SimpleProteinConditionalBaseline,spearman,,,,0,not_evaluable
macro_protein_bootstrap,sequence_edit,spearman,0.042487750037714385,-0.026533838469594173,0.08866597290132056,200,evaluated
macro_protein_bootstrap,sequence_hamming,spearman,0.042320406501210404,-0.023815355454737386,0.08882800911055057,200,evaluated
macro_protein_bootstrap,sequence_kmer3,spearman,0.22774279987240406,-0.03464320712460613,0.34483164861095733,200,evaluated
macro_protein_bootstrap,sequence_kmer4,spearman,0.15025858975034104,-0.017977772841621574,0.23219594193730927,200,evaluated
