group_type,group_id,baseline,n_proteins_with_metric,median_spearman,mean_spearman
protein_sequence_cluster,protein_cluster_1,DeepPBS,0,,
protein_sequence_cluster,protein_cluster_2,DeepPBS,0,,
protein_sequence_cluster,protein_cluster_3,DeepPBS,0,,
protein_sequence_cluster,protein_cluster_4,DeepPBS,0,,
protein_sequence_cluster,protein_cluster_1,NA-MPNN_structural_ppm,0,,
protein_sequence_cluster,protein_cluster_2,NA-MPNN_structural_ppm,1,0.24970523323654814,0.24970523323654814
protein_sequence_cluster,protein_cluster_3,NA-MPNN_structural_ppm,1,-0.3311403766246295,-0.3311403766246295
protein_sequence_cluster,protein_cluster_4,NA-MPNN_structural_ppm,0,,
protein_sequence_cluster,protein_cluster_1,SimpleProteinConditionalBaseline,0,,
protein_sequence_cluster,protein_cluster_2,SimpleProteinConditionalBaseline,0,,
protein_sequence_cluster,protein_cluster_3,SimpleProteinConditionalBaseline,0,,
protein_sequence_cluster,protein_cluster_4,SimpleProteinConditionalBaseline,0,,
protein_sequence_cluster,protein_cluster_1,sequence_edit,2,-0.11006869642334717,-0.11006869642334717
protein_sequence_cluster,protein_cluster_2,sequence_edit,2,0.05379689965230051,0.05379689965230051
protein_sequence_cluster,protein_cluster_3,sequence_edit,1,0.31032090939518087,0.31032090939518087
protein_sequence_cluster,protein_cluster_4,sequence_edit,2,0.0637508986109969,0.0637508986109969
protein_sequence_cluster,protein_cluster_1,sequence_hamming,2,-0.1090752652653365,-0.1090752652653365
protein_sequence_cluster,protein_cluster_2,sequence_hamming,2,0.04738686562895371,0.04738686562895371
protein_sequence_cluster,protein_cluster_3,sequence_hamming,1,0.28440698319379915,0.28440698319379915
protein_sequence_cluster,protein_cluster_4,sequence_hamming,2,0.061262391534020175,0.061262391534020175
protein_sequence_cluster,protein_cluster_1,sequence_kmer3,2,-0.08676017906367436,-0.08676017906367436
protein_sequence_cluster,protein_cluster_2,sequence_kmer3,2,0.2503374268195186,0.2503374268195186
protein_sequence_cluster,protein_cluster_3,sequence_kmer3,1,0.34483164861095733,0.34483164861095733
protein_sequence_cluster,protein_cluster_4,sequence_kmer3,2,0.2970305933806375,0.2970305933806375
protein_sequence_cluster,protein_cluster_1,sequence_kmer4,2,-0.04485131177414585,-0.04485131177414585
protein_sequence_cluster,protein_cluster_2,sequence_kmer4,2,0.12668275567557297,0.12668275567557297
protein_sequence_cluster,protein_cluster_3,sequence_kmer4,1,0.21669892506238025,0.21669892506238025
protein_sequence_cluster,protein_cluster_4,sequence_kmer4,2,0.2602199212482718,0.2602199212482718
original_target_group,original_target_A_c,DeepPBS,0,,
original_target_group,original_target_B_b,DeepPBS,0,,
original_target_group,original_target_B_c,DeepPBS,0,,
original_target_group,original_target_I_b,DeepPBS,0,,
original_target_group,original_target_A_c,NA-MPNN_structural_ppm,0,,
original_target_group,original_target_B_b,NA-MPNN_structural_ppm,0,,
original_target_group,original_target_B_c,NA-MPNN_structural_ppm,1,0.24970523323654814,0.24970523323654814
original_target_group,original_target_I_b,NA-MPNN_structural_ppm,1,-0.3311403766246295,-0.3311403766246295
original_target_group,original_target_A_c,SimpleProteinConditionalBaseline,0,,
original_target_group,original_target_B_b,SimpleProteinConditionalBaseline,0,,
original_target_group,original_target_B_c,SimpleProteinConditionalBaseline,0,,
original_target_group,original_target_I_b,SimpleProteinConditionalBaseline,0,,
original_target_group,original_target_A_c,sequence_edit,2,-0.11006869642334717,-0.11006869642334717
original_target_group,original_target_B_b,sequence_edit,2,0.0637508986109969,0.0637508986109969
original_target_group,original_target_B_c,sequence_edit,2,0.05379689965230051,0.05379689965230051
original_target_group,original_target_I_b,sequence_edit,1,0.31032090939518087,0.31032090939518087
original_target_group,original_target_A_c,sequence_hamming,2,-0.1090752652653365,-0.1090752652653365
original_target_group,original_target_B_b,sequence_hamming,2,0.061262391534020175,0.061262391534020175
original_target_group,original_target_B_c,sequence_hamming,2,0.04738686562895371,0.04738686562895371
original_target_group,original_target_I_b,sequence_hamming,1,0.28440698319379915,0.28440698319379915
original_target_group,original_target_A_c,sequence_kmer3,2,-0.08676017906367436,-0.08676017906367436
original_target_group,original_target_B_b,sequence_kmer3,2,0.2970305933806375,0.2970305933806375
original_target_group,original_target_B_c,sequence_kmer3,2,0.2503374268195186,0.2503374268195186
original_target_group,original_target_I_b,sequence_kmer3,1,0.34483164861095733,0.34483164861095733
original_target_group,original_target_A_c,sequence_kmer4,2,-0.04485131177414585,-0.04485131177414585
original_target_group,original_target_B_b,sequence_kmer4,2,0.2602199212482718,0.2602199212482718
original_target_group,original_target_B_c,sequence_kmer4,2,0.12668275567557297,0.12668275567557297
original_target_group,original_target_I_b,sequence_kmer4,1,0.21669892506238025,0.21669892506238025
assay_target_group,assay_target_A_c,DeepPBS,0,,
assay_target_group,assay_target_B_b,DeepPBS,0,,
assay_target_group,assay_target_B_c,DeepPBS,0,,
assay_target_group,assay_target_C,DeepPBS,0,,
assay_target_group,assay_target_A_c,NA-MPNN_structural_ppm,0,,
assay_target_group,assay_target_B_b,NA-MPNN_structural_ppm,0,,
assay_target_group,assay_target_B_c,NA-MPNN_structural_ppm,1,0.24970523323654814,0.24970523323654814
assay_target_group,assay_target_C,NA-MPNN_structural_ppm,1,-0.3311403766246295,-0.3311403766246295
assay_target_group,assay_target_A_c,SimpleProteinConditionalBaseline,0,,
assay_target_group,assay_target_B_b,SimpleProteinConditionalBaseline,0,,
assay_target_group,assay_target_B_c,SimpleProteinConditionalBaseline,0,,
assay_target_group,assay_target_C,SimpleProteinConditionalBaseline,0,,
assay_target_group,assay_target_A_c,sequence_edit,2,-0.11006869642334717,-0.11006869642334717
assay_target_group,assay_target_B_b,sequence_edit,2,0.0637508986109969,0.0637508986109969
assay_target_group,assay_target_B_c,sequence_edit,2,0.05379689965230051,0.05379689965230051
assay_target_group,assay_target_C,sequence_edit,1,0.31032090939518087,0.31032090939518087
assay_target_group,assay_target_A_c,sequence_hamming,2,-0.1090752652653365,-0.1090752652653365
assay_target_group,assay_target_B_b,sequence_hamming,2,0.061262391534020175,0.061262391534020175
assay_target_group,assay_target_B_c,sequence_hamming,2,0.04738686562895371,0.04738686562895371
assay_target_group,assay_target_C,sequence_hamming,1,0.28440698319379915,0.28440698319379915
assay_target_group,assay_target_A_c,sequence_kmer3,2,-0.08676017906367436,-0.08676017906367436
assay_target_group,assay_target_B_b,sequence_kmer3,2,0.2970305933806375,0.2970305933806375
assay_target_group,assay_target_B_c,sequence_kmer3,2,0.2503374268195186,0.2503374268195186
assay_target_group,assay_target_C,sequence_kmer3,1,0.34483164861095733,0.34483164861095733
assay_target_group,assay_target_A_c,sequence_kmer4,2,-0.04485131177414585,-0.04485131177414585
assay_target_group,assay_target_B_b,sequence_kmer4,2,0.2602199212482718,0.2602199212482718
assay_target_group,assay_target_B_c,sequence_kmer4,2,0.12668275567557297,0.12668275567557297
assay_target_group,assay_target_C,sequence_kmer4,1,0.21669892506238025,0.21669892506238025
motif_group,motif_CCTGC,DeepPBS,0,,
motif_group,motif_CGTCAG,DeepPBS,0,,
motif_group,motif_GCAGGA,DeepPBS,0,,
motif_group,motif_TGCACA,DeepPBS,0,,
motif_group,motif_CCTGC,NA-MPNN_structural_ppm,0,,
motif_group,motif_CGTCAG,NA-MPNN_structural_ppm,1,-0.3311403766246295,-0.3311403766246295
motif_group,motif_GCAGGA,NA-MPNN_structural_ppm,0,,
motif_group,motif_TGCACA,NA-MPNN_structural_ppm,1,0.24970523323654814,0.24970523323654814
motif_group,motif_CCTGC,SimpleProteinConditionalBaseline,0,,
motif_group,motif_CGTCAG,SimpleProteinConditionalBaseline,0,,
motif_group,motif_GCAGGA,SimpleProteinConditionalBaseline,0,,
motif_group,motif_TGCACA,SimpleProteinConditionalBaseline,0,,
motif_group,motif_CCTGC,sequence_edit,1,-0.19360355437710017,-0.19360355437710017
motif_group,motif_CGTCAG,sequence_edit,1,0.31032090939518087,0.31032090939518087
motif_group,motif_GCAGGA,sequence_edit,1,-0.026533838469594173,-0.026533838469594173
motif_group,motif_TGCACA,sequence_edit,4,0.0637508986109969,0.05877389913164871
motif_group,motif_CCTGC,sequence_hamming,1,-0.1943351750759356,-0.1943351750759356
motif_group,motif_CGTCAG,sequence_hamming,1,0.28440698319379915,0.28440698319379915
motif_group,motif_GCAGGA,sequence_hamming,1,-0.023815355454737386,-0.023815355454737386
motif_group,motif_TGCACA,sequence_hamming,4,0.061262391534020175,0.05432462858148694
motif_group,motif_CCTGC,sequence_kmer3,1,-0.1388771510027426,-0.1388771510027426
motif_group,motif_CGTCAG,sequence_kmer3,1,0.34483164861095733,0.34483164861095733
motif_group,motif_GCAGGA,sequence_kmer3,1,-0.03464320712460613,-0.03464320712460613
motif_group,motif_TGCACA,sequence_kmer3,4,0.25439581274892453,0.27368401010007803
motif_group,motif_CCTGC,sequence_kmer4,1,-0.07172485070667013,-0.07172485070667013
motif_group,motif_CGTCAG,sequence_kmer4,1,0.21669892506238025,0.21669892506238025
motif_group,motif_GCAGGA,sequence_kmer4,1,-0.017977772841621574,-0.017977772841621574
motif_group,motif_TGCACA,sequence_kmer4,4,0.19300045084670864,0.1934513384619224
