baseline,metric,mean,median,std,n_proteins
DeepPBS,spearman,,,,0
DeepPBS,ndcg_1pct,,,,0
DeepPBS,ndcg_5pct,,,,0
DeepPBS,pairwise_accuracy,,,,0
DeepPBS,top1pct_recovery,,,,0
NA-MPNN_structural_ppm,spearman,-0.040717571694040666,-0.040717571694040666,0.41071986955527445,2
NA-MPNN_structural_ppm,ndcg_1pct,0.5737354875977618,0.5737354875977618,0.38818595886713386,2
NA-MPNN_structural_ppm,ndcg_5pct,0.5224145754096021,0.5224145754096021,0.3066527792290653,2
NA-MPNN_structural_ppm,pairwise_accuracy,0.4863493174658733,0.4863493174658733,0.13495807709330726,2
NA-MPNN_structural_ppm,top1pct_recovery,0.012195121951219513,0.012195121951219513,0.017246506858208478,2
SimpleProteinConditionalBaseline,spearman,,,,0
SimpleProteinConditionalBaseline,ndcg_1pct,,,,0
SimpleProteinConditionalBaseline,ndcg_5pct,,,,0
SimpleProteinConditionalBaseline,pairwise_accuracy,,,,0
SimpleProteinConditionalBaseline,top1pct_recovery,,,,0
sequence_edit,spearman,0.04646844472501162,0.06144857419012779,0.15040451349548803,7
sequence_edit,ndcg_1pct,0.6653863098434968,0.6831757253051209,0.20180363023863548,7
sequence_edit,ndcg_5pct,0.6134128206185644,0.630827357888813,0.11278893486366984,7
sequence_edit,pairwise_accuracy,0.5150971778946091,0.519525,0.047119409066817934,7
sequence_edit,top1pct_recovery,0.09233449477351915,0.024390243902439025,0.11609028954673409,7
sequence_hamming,spearman,0.04050785242701056,0.05554138003302766,0.1428582411437593,7
sequence_hamming,ndcg_1pct,0.6653863098434968,0.6831757253051209,0.20180363023863548,7
sequence_hamming,ndcg_5pct,0.610219629245479,0.6240596483996173,0.1135013185793837,7
sequence_hamming,pairwise_accuracy,0.5130113857478589,0.51605,0.04458375486872658,7
sequence_hamming,top1pct_recovery,0.09233449477351915,0.024390243902439025,0.11609028954673409,7
sequence_kmer3,spearman,0.18086390441198869,0.2320822289869546,0.1923682060993113,7
sequence_kmer3,ndcg_1pct,0.7348844552381889,0.798520920574688,0.24024275610227613,7
sequence_kmer3,ndcg_5pct,0.6954123204353423,0.7671359714272247,0.1672008718760668,7
sequence_kmer3,pairwise_accuracy,0.5516227241719228,0.566425,0.05513288924712905,7
sequence_kmer3,top1pct_recovery,0.10975609756097561,0.04878048780487805,0.13191041251697522,7
sequence_kmer4,spearman,0.1286859507659683,0.153804959756108,0.1335872573251181,7
sequence_kmer4,ndcg_1pct,0.7259538207381011,0.7290556954870083,0.24443885156989156,7
sequence_kmer4,ndcg_5pct,0.6759514826092994,0.7058365239521108,0.1599749524814332,7
sequence_kmer4,pairwise_accuracy,0.5182932459122956,0.5199509975498775,0.0190814372827722,7
sequence_kmer4,top1pct_recovery,0.1254355400696864,0.024390243902439025,0.16923183894886257,7
