natural_protein_id,protein_name,score_type,n_experiments,pearson,spearman,replicate_status
UniPROBE:DEV12:Abd-B,Abd-B,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:DEV12:Bap,Bap,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:DEV12:Eve,Eve,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:DEV12:Lbl,Lbl,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:DEV12:Msh,Msh,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:DEV12:Ptx1,Ptx1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:DEV12:Six4,Six4,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:DEV12:Slou,Slou,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:DEV12:Tin,Tin,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:DEV12:Ubx,Ubx,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Abf1,Abf1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Cad1,Cad1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Cin5,Cin5,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Cst6,Cst6,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Ecm22,Ecm22,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Gcr1,Gcr1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Hac1,Hac1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Hap1,Hap1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Hmlalpha2,Hmlalpha2,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Mot3,Mot3,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Msn1,Msn1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Nrg2,Nrg2,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Pdr3,Pdr3,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Sko1,Sko1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Stb4,Stb4,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Stb5,Stb5,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Ste12,Ste12,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Stp1,Stp1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Sut1,Sut1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Upc2,Upc2,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Vhr1,Vhr1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Vhr2,Vhr2,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Yap3,Yap3,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Ybr033w,Ybr033w,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Yer184c,Yer184c,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Ylr278c,Ylr278c,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:GB11:Zap1,Zap1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:LIU18A:BCL11A_23,BCL11A,UniPROBE contiguous 8-mer E-score,2,0.9147680741241556,0.8854289864084222,replicated
UniPROBE:LIU18A:BCL11A_456,BCL11A,UniPROBE contiguous 8-mer E-score,2,0.9707782725368229,0.9575977289910267,replicated
UniPROBE:LIU18A:BCL11A_XL,BCL11A,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:LIU18A:BCL11A_d23d456,BCL11A,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:LIU18A:BCL11B_23,BCL11B,UniPROBE contiguous 8-mer E-score,2,0.7890388164377211,0.7264350022597869,replicated
UniPROBE:LIU18A:BCL11B_456,BCL11B,UniPROBE contiguous 8-mer E-score,2,0.8858818665649623,0.836887184250735,replicated
UniPROBE:LIU18A:BCL11B_XL,BCL11B,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:MBE14:PmTbr,PmTbr,UniPROBE contiguous 8-mer E-score,2,0.9151452477561902,0.8878823714125151,replicated
UniPROBE:MBE14:SpTbr,SpTbr,UniPROBE contiguous 8-mer E-score,2,0.9174124277099128,0.8929286683140593,replicated
UniPROBE:NAR10:GCN4,GCN4,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:NAR10:Jun_Fos,Jun_Fos,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:NAR11:HLH-1,HLH-1,UniPROBE contiguous 8-mer E-score,3,0.8476845358841749,0.8279082913814534,replicated
UniPROBE:NAR11:HLH-1_L13R,HLH-1,UniPROBE contiguous 8-mer E-score,3,0.9830101930426652,0.975538108512454,replicated
UniPROBE:NAR11:HLH-1_L13T,HLH-1,UniPROBE contiguous 8-mer E-score,3,0.8223685613010687,0.8035466145515625,replicated
UniPROBE:NAR11:HLH-1_L13V,HLH-1,UniPROBE contiguous 8-mer E-score,3,0.8433403136227694,0.8227566552782936,replicated
UniPROBE:NBT06:CEH-22,CEH-22,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:NBT06:Cbf1,Cbf1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:NBT06:Ceh-22,Ceh-22,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:NBT06:Oct-1,Oct-1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:NBT06:Rap1,Rap1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:NBT06:Zif268,Zif268,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PNAS08:Cgd2_3490,Cgd2_3490_contig8mers.txt,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PNAS08:PF14_0633,PF14_0633_contig8mers.txt,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PNAS08:PFF0200c,PFF0200c_contig8mers.txt,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PNAS12:Lmd,Lmd,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PO10:GST-CSL-NOTCH1,GST-CSL-NOTCH1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PO10:GST-CSL_Fig2,GST-CSL,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PO10:GST-CSL_Fig4,GST-CSL,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PO10:GST-NOTCH1_CSL-6His,GST-NOTCH1_CSL-6His,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PO10:GST-NOTCH1_CSL-6His_MAML1,GST-NOTCH1_CSL-6His_MAML1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PO10:GST-NOTCH1_Fig2,GST-NOTCH1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PO10:GST-NOTCH1_Fig4,GST-NOTCH1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
UniPROBE:PO10:MAML1-CSL-GST-NOTCH1_Fig2,MAML1-CSL-GST-NOTCH1,UniPROBE contiguous 8-mer E-score,1,,,single_measurement
