,UniPROBE:DEV12:Abd-B,UniPROBE:DEV12:Bap,UniPROBE:DEV12:Eve,UniPROBE:DEV12:Lbl,UniPROBE:DEV12:Msh,UniPROBE:DEV12:Ptx1,UniPROBE:DEV12:Six4,UniPROBE:DEV12:Slou,UniPROBE:DEV12:Tin,UniPROBE:DEV12:Ubx,UniPROBE:GB11:Abf1,UniPROBE:GB11:Cad1,UniPROBE:GB11:Cin5,UniPROBE:GB11:Cst6,UniPROBE:GB11:Ecm22,UniPROBE:GB11:Gcr1,UniPROBE:GB11:Hac1,UniPROBE:GB11:Hap1,UniPROBE:GB11:Hmlalpha2,UniPROBE:GB11:Mot3,UniPROBE:GB11:Msn1,UniPROBE:GB11:Nrg2,UniPROBE:GB11:Pdr3,UniPROBE:GB11:Sko1,UniPROBE:GB11:Stb4,UniPROBE:GB11:Stb5,UniPROBE:GB11:Ste12,UniPROBE:GB11:Stp1,UniPROBE:GB11:Sut1,UniPROBE:GB11:Upc2,UniPROBE:GB11:Vhr1,UniPROBE:GB11:Vhr2,UniPROBE:GB11:Yap3,UniPROBE:GB11:Ybr033w,UniPROBE:GB11:Yer184c,UniPROBE:GB11:Ylr278c,UniPROBE:GB11:Zap1,UniPROBE:LIU18A:BCL11A_23,UniPROBE:LIU18A:BCL11A_456,UniPROBE:LIU18A:BCL11A_XL,UniPROBE:LIU18A:BCL11A_d23d456,UniPROBE:LIU18A:BCL11B_23,UniPROBE:LIU18A:BCL11B_456,UniPROBE:LIU18A:BCL11B_XL,UniPROBE:NAR10:GCN4,UniPROBE:NAR10:Jun_Fos,UniPROBE:NAR11:HLH-1,UniPROBE:NAR11:HLH-1_L13R,UniPROBE:NAR11:HLH-1_L13T,UniPROBE:NAR11:HLH-1_L13V,UniPROBE:NBT06:CEH-22,UniPROBE:NBT06:Cbf1,UniPROBE:NBT06:Ceh-22,UniPROBE:NBT06:Oct-1,UniPROBE:NBT06:Rap1,UniPROBE:NBT06:Zif268,UniPROBE:PNAS12:Lmd
UniPROBE:DEV12:Abd-B,1.0,0.08541973490427099,0.08774583963691376,0.049206349206349205,0.09353507565337002,0.07652399481193256,0.06047819971870605,0.1,0.097953216374269,0.0748502994011976,0.0446521287642783,0.030707610146862484,0.038880248833592534,0.06127167630057803,0.059223300970873784,0.058823529411764705,0.03209459459459459,0.037275064267352186,0.017452006980802792,0.07736389684813753,0.04667609618104668,0.03292894280762565,0.06581196581196581,0.07471264367816093,0.04135021097046414,0.045142296368989206,0.05741127348643006,0.049338146811071,0.02304147465437788,0.05660377358490566,0.05585980284775466,0.0484472049689441,0.01906158357771261,0.042662116040955635,0.03425925925925926,0.06344628695025234,0.05774518790100825,0.059230009871668314,0.059230009871668314,0.059230009871668314,0.059230009871668314,0.07047619047619047,0.07047619047619047,0.07047619047619047,0.03508771929824561,0.047619047619047616,0.041979010494752625,0.041979010494752625,0.041979010494752625,0.041979010494752625,0.07561728395061729,0.03685092127303183,0.07561728395061729,0.0417607223476298,0.018115942028985508,0.06701708278580815,0.052083333333333336
UniPROBE:DEV12:Bap,0.08541973490427099,1.0,0.06646058732612056,0.0657672849915683,0.08498583569405099,0.060927152317880796,0.059941520467836254,0.09681372549019608,0.09393939393939393,0.05837173579109063,0.06311207834602829,0.03626220362622036,0.037337662337662336,0.05959475566150179,0.06626506024096386,0.06592292089249494,0.04864864864864865,0.03871829105473965,0.025925925925925925,0.05393586005830904,0.050221565731166914,0.019784172661870502,0.06097560975609756,0.06588235294117648,0.04419410745233969,0.06584362139917696,0.043478260869565216,0.04590570719602978,0.03409090909090909,0.06697674418604652,0.06129398410896708,0.04219948849104859,0.024615384615384615,0.04374453193350831,0.04816955684007707,0.05779078273591807,0.03782287822878229,0.07186858316221766,0.07186858316221766,0.07186858316221766,0.07186858316221766,0.07775590551181102,0.07775590551181102,0.07775590551181102,0.0472972972972973,0.04146730462519936,0.040625,0.040625,0.040625,0.040625,0.07395498392282958,0.02608695652173913,0.07395498392282958,0.04439252336448598,0.019120458891013385,0.05953991880920163,0.046296296296296294
UniPROBE:DEV12:Eve,0.08774583963691376,0.06646058732612056,1.0,0.05317324185248713,0.07625899280575539,0.07554945054945054,0.0381791483113069,0.09351620947630923,0.06184012066365008,0.0583596214511041,0.035637149028077755,0.034236804564907276,0.045454545454545456,0.048134777376654635,0.06639427987742594,0.04554655870445344,0.04251386321626617,0.0453920220082531,0.03076923076923077,0.044444444444444446,0.03278688524590164,0.016666666666666666,0.03986135181975736,0.05463182897862233,0.040315512708150744,0.05165289256198347,0.051142546245919476,0.04430379746835443,0.040336134453781515,0.05317164179104478,0.048,0.04456094364351245,0.023696682464454975,0.041666666666666664,0.04085603112840467,0.060133630289532294,0.043355325164938736,0.06763787721123829,0.06763787721123829,0.06763787721123829,0.06763787721123829,0.07270916334661355,0.07270916334661355,0.07270916334661355,0.039723661485319514,0.05132450331125828,0.04516129032258064,0.04516129032258064,0.04516129032258064,0.04516129032258064,0.041666666666666664,0.02877697841726619,0.041666666666666664,0.03914590747330961,0.017786561264822136,0.0729312762973352,0.03773584905660377
UniPROBE:DEV12:Lbl,0.049206349206349205,0.0657672849915683,0.05317324185248713,1.0,0.07644305772230889,0.041666666666666664,0.04006410256410257,0.05813953488372093,0.048701298701298704,0.028523489932885907,0.0440324449594438,0.03571428571428571,0.023636363636363636,0.043645699614890884,0.05793991416309013,0.059782608695652176,0.0326530612244898,0.044642857142857144,0.02575107296137339,0.03354632587859425,0.024193548387096774,0.02079002079002079,0.04963235294117647,0.051964512040557666,0.04537037037037037,0.05147864184008762,0.03416856492027335,0.04353741496598639,0.03505535055350553,0.06355511420059583,0.059186189889025895,0.04971590909090909,0.03690685413005272,0.036178107606679034,0.0326530612244898,0.04660045836516425,0.03758654797230465,0.060240963855421686,0.060240963855421686,0.060240963855421686,0.060240963855421686,0.06145833333333333,0.06145833333333333,0.06145833333333333,0.044145873320537425,0.04909090909090909,0.03327495621716287,0.03327495621716287,0.03327495621716287,0.03327495621716287,0.04409171075837742,0.013806706114398421,0.04409171075837742,0.036755386565272496,0.02466367713004484,0.04585798816568047,0.03436426116838488
UniPROBE:DEV12:Msh,0.09353507565337002,0.08498583569405099,0.07625899280575539,0.07644305772230889,1.0,0.0832282471626734,0.05810810810810811,0.13317479191438764,0.09243697478991597,0.05807365439093484,0.051829268292682924,0.047058823529411764,0.029542097488921712,0.0592841163310962,0.07485604606525911,0.07565470417070805,0.054365733113673806,0.06091370558375635,0.02512562814070352,0.06258503401360545,0.034993270524899055,0.02459016393442623,0.05716652858326429,0.0640176600441501,0.048132780082987554,0.04789272030651341,0.06218144750254842,0.05503512880562061,0.048265460030165915,0.08071748878923767,0.05863539445628998,0.06333739342265529,0.04927536231884058,0.05214465937762826,0.05330882352941176,0.07275320970042796,0.06672678088367899,0.07933398628795299,0.07933398628795299,0.07933398628795299,0.07933398628795299,0.0980952380952381,0.0980952380952381,0.0980952380952381,0.03987730061349693,0.05961251862891207,0.044733044733044736,0.044733044733044736,0.044733044733044736,0.044733044733044736,0.07396449704142012,0.043478260869565216,0.07396449704142012,0.04961411245865491,0.024263431542461005,0.07544757033248081,0.05595408895265423
UniPROBE:DEV12:Ptx1,0.07652399481193256,0.060927152317880796,0.07554945054945054,0.041666666666666664,0.0832282471626734,1.0,0.05548387096774193,0.0845225027442371,0.06535947712418301,0.07123287671232877,0.06045589692765114,0.05555555555555555,0.053237410071942444,0.0755750273822563,0.07541899441340782,0.07518796992481203,0.04489164086687306,0.04561824729891957,0.03189792663476874,0.06388526727509779,0.04145077720207254,0.028037383177570093,0.06239870340356564,0.07419354838709677,0.05271695052716951,0.05317164179104478,0.061083743842364535,0.06484641638225255,0.06881405563689605,0.07545533391153512,0.052200614124872056,0.05092592592592592,0.0326530612244898,0.060181368507831824,0.054464285714285715,0.08,0.06935908691834942,0.06660412757973734,0.06660412757973734,0.06660412757973734,0.06660412757973734,0.0673854447439353,0.0673854447439353,0.0673854447439353,0.03333333333333333,0.056657223796033995,0.03972602739726028,0.03972602739726028,0.03972602739726028,0.03972602739726028,0.06284916201117319,0.037993920972644375,0.06284916201117319,0.05223880597014925,0.01788617886178862,0.08281829419035847,0.05761316872427984
UniPROBE:DEV12:Six4,0.06047819971870605,0.059941520467836254,0.0381791483113069,0.04006410256410257,0.05810810810810811,0.05548387096774193,1.0,0.04827586206896552,0.051209103840682786,0.03823529411764706,0.0364963503649635,0.05409153952843273,0.03470031545741325,0.041379310344827586,0.0641025641025641,0.052216748768472904,0.032758620689655175,0.0311284046692607,0.02697841726618705,0.05563480741797432,0.03851640513552068,0.026362038664323375,0.05285592497868713,0.06828703703703703,0.05073086844368014,0.039486673247778874,0.038381742738589214,0.03489771359807461,0.03481012658227848,0.05054151624548736,0.06131549609810479,0.04654088050314465,0.0239880059970015,0.047619047619047616,0.04838709677419355,0.05327573794096472,0.05838739573679333,0.04738400789733465,0.04738400789733465,0.04738400789733465,0.04738400789733465,0.058039961941008564,0.058039961941008564,0.058039961941008564,0.05115511551155116,0.032357473035439135,0.0395738203957382,0.0395738203957382,0.0395738203957382,0.0395738203957382,0.03945371775417299,0.0288135593220339,0.03945371775417299,0.05074971164936563,0.0166358595194085,0.055408970976253295,0.03422619047619048
UniPROBE:DEV12:Slou,0.1,0.09681372549019608,0.09351620947630923,0.05813953488372093,0.13317479191438764,0.0845225027442371,0.04827586206896552,1.0,0.10048426150121065,0.07484662576687116,0.0827906976744186,0.06164383561643835,0.05897435897435897,0.08358509566968782,0.09369527145359019,0.0907488986784141,0.05342465753424658,0.06277533039647577,0.027739251040221916,0.08591885441527446,0.05275498241500586,0.024456521739130436,0.07662835249042145,0.09738955823293173,0.07159353348729793,0.08134394341290893,0.07431192660550459,0.061855670103092786,0.05505761843790013,0.09703947368421052,0.06959008579599618,0.07857911733046287,0.042787286063569685,0.07644305772230889,0.06516290726817042,0.08577127659574468,0.08970099667774087,0.10601976639712489,0.10601976639712489,0.10601976639712489,0.10601976639712489,0.10517241379310345,0.10517241379310345,0.10517241379310345,0.048051948051948054,0.06734434561626429,0.060945273631840796,0.060945273631840796,0.060945273631840796,0.060945273631840796,0.08227848101265822,0.04155495978552279,0.08227848101265822,0.058765915768854066,0.02127659574468085,0.096045197740113,0.06790123456790123
UniPROBE:DEV12:Tin,0.097953216374269,0.09393939393939393,0.06184012066365008,0.048701298701298704,0.09243697478991597,0.06535947712418301,0.051209103840682786,0.10048426150121065,1.0,0.07164634146341463,0.044257112750263436,0.038408779149519894,0.04146730462519936,0.06485849056603774,0.06852035749751738,0.06287425149700598,0.04013961605584642,0.05459387483355526,0.028985507246376812,0.07748538011695906,0.04316546762589928,0.017513134851138354,0.05751072961373391,0.06728538283062645,0.044558697514995714,0.052104208416833664,0.05385427666314678,0.05541871921182266,0.0449438202247191,0.07400555041628122,0.05561735261401557,0.06282051282051282,0.03816793893129771,0.05139372822299652,0.04257332071901608,0.06491611962071481,0.07048872180451128,0.06653225806451613,0.06653225806451613,0.06653225806451613,0.06653225806451613,0.06737247353224254,0.06737247353224254,0.06737247353224254,0.04276315789473684,0.04709576138147567,0.036585365853658534,0.036585365853658534,0.036585365853658534,0.036585365853658534,0.08082408874801902,0.04317789291882556,0.08082408874801902,0.04728950403690888,0.016728624535315983,0.06693440428380187,0.04216867469879518
UniPROBE:DEV12:Ubx,0.0748502994011976,0.05837173579109063,0.0583596214511041,0.028523489932885907,0.05807365439093484,0.07123287671232877,0.03823529411764706,0.07484662576687116,0.07164634146341463,1.0,0.04471101417666303,0.024045261669024046,0.03678929765886288,0.04693140794223827,0.04718875502008032,0.04665314401622718,0.02737226277372263,0.03125,0.01904761904761905,0.052316890881913304,0.023668639053254437,0.032015065913371,0.042608695652173914,0.047225501770956316,0.04401408450704225,0.04845360824742268,0.042116630669546434,0.02360248447204969,0.03,0.059154929577464786,0.04328018223234624,0.03780964797913951,0.03189792663476874,0.03893805309734513,0.03484995159728945,0.048493754592211606,0.04933586337760911,0.05997931747673216,0.05997931747673216,0.05997931747673216,0.05997931747673216,0.05283757338551859,0.05283757338551859,0.05283757338551859,0.02037351443123939,0.044481054365733116,0.03189792663476874,0.03189792663476874,0.03189792663476874,0.03189792663476874,0.05872756933115824,0.036297640653357534,0.05872756933115824,0.034278959810874705,0.02390438247011952,0.04514363885088919,0.05608974358974359
