dataset,baseline,metric,n_proteins,n_proteins_with_metric,mean,median,std
designed_external,SimpleProteinConditionalBaseline_composition_ridge,spearman,7,7,0.26939106956977504,0.36161081294792224,0.20189321897763396
designed_external,SimpleProteinConditionalBaseline_composition_ridge,ndcg_1pct,7,7,0.6741674211876777,0.7563202778300401,0.15732127842305677
designed_external,SimpleProteinConditionalBaseline_composition_ridge,ndcg_5pct,7,7,0.680620006918269,0.7375281887231704,0.13053761331113833
designed_external,SimpleProteinConditionalBaseline_composition_ridge,pairwise_accuracy,7,7,0.5897366293314665,0.6205310265513275,0.06946783874402901
designed_external,SimpleProteinConditionalBaseline_composition_ridge,top1pct_recovery,7,7,0.02264808362369338,0.024390243902439025,0.019190141279742518
natural_test,SimpleProteinConditionalBaseline_composition_ridge,spearman,9,9,0.30227761251913726,0.3013536821293048,0.269552495408502
natural_test,SimpleProteinConditionalBaseline_composition_ridge,ndcg_1pct,9,9,0.7101806169091761,0.6845095137450122,0.17654251747585933
natural_test,SimpleProteinConditionalBaseline_composition_ridge,ndcg_5pct,9,9,0.6843255597625056,0.6629247675794251,0.16634974138663677
natural_test,SimpleProteinConditionalBaseline_composition_ridge,pairwise_accuracy,9,9,0.6055595666153537,0.597459110688741,0.0982660528015397
natural_test,SimpleProteinConditionalBaseline_composition_ridge,top1pct_recovery,9,9,0.040864572779466396,0.03343465045592705,0.0562538175830091
