protein_id,method,n_total_candidates,n_evaluable,n_resolved,n_unresolved,resolution_rate_among_evaluable,resolution_rate_among_all_candidates,threshold_definition,evaluation_status
DBP1,sequence_kmer3,287,287,2,285,0.006968641114982578,0.006968641114982578,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,evaluated
DBP1,SimpleProteinConditionalBaseline,287,287,85,202,0.2961672473867596,0.2961672473867596,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,evaluated
DBP1,FrozenPLMProteinConditionalBaseline,287,287,45,242,0.156794425087108,0.156794425087108,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,evaluated
DBP1,NA-MPNN diagnostic,287,0,0,0,,0.0,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,not_evaluable_missing_prediction
DBP1,DeepPBS,287,0,0,0,,0.0,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,not_evaluable_missing_prediction
DBP3,sequence_kmer3,381,381,24,357,0.06299212598425197,0.06299212598425197,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,evaluated
DBP3,SimpleProteinConditionalBaseline,381,381,85,296,0.2230971128608924,0.2230971128608924,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,evaluated
DBP3,FrozenPLMProteinConditionalBaseline,381,381,4,377,0.010498687664041995,0.010498687664041995,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,evaluated
DBP3,NA-MPNN diagnostic,381,0,0,0,,0.0,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,not_evaluable_missing_prediction
DBP3,DeepPBS,381,0,0,0,,0.0,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,not_evaluable_missing_prediction
DBP35,sequence_kmer3,174,174,48,126,0.27586206896551724,0.27586206896551724,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,evaluated
DBP35,SimpleProteinConditionalBaseline,174,174,41,133,0.23563218390804597,0.23563218390804597,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,evaluated
DBP35,FrozenPLMProteinConditionalBaseline,174,174,12,162,0.06896551724137931,0.06896551724137931,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,evaluated
DBP35,NA-MPNN diagnostic,174,174,50,124,0.28735632183908044,0.28735632183908044,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,evaluated
DBP35,DeepPBS,174,0,0,0,,0.0,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,not_evaluable_missing_prediction
DBP48,sequence_kmer3,224,224,105,119,0.46875,0.46875,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,evaluated
DBP48,SimpleProteinConditionalBaseline,224,224,19,205,0.08482142857142858,0.08482142857142858,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,evaluated
DBP48,FrozenPLMProteinConditionalBaseline,224,224,0,224,0.0,0.0,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,evaluated
DBP48,NA-MPNN diagnostic,224,224,0,224,0.0,0.0,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,evaluated
DBP48,DeepPBS,224,0,0,0,,0.0,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,not_evaluable_missing_prediction
DBP5,sequence_kmer3,178,178,33,145,0.1853932584269663,0.1853932584269663,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,evaluated
DBP5,SimpleProteinConditionalBaseline,178,178,58,120,0.3258426966292135,0.3258426966292135,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,evaluated
DBP5,FrozenPLMProteinConditionalBaseline,178,178,67,111,0.37640449438202245,0.37640449438202245,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,evaluated
DBP5,NA-MPNN diagnostic,178,0,0,0,,0.0,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,not_evaluable_missing_prediction
DBP5,DeepPBS,178,0,0,0,,0.0,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,not_evaluable_missing_prediction
DBP6,sequence_kmer3,150,150,57,93,0.38,0.38,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,evaluated
DBP6,SimpleProteinConditionalBaseline,150,150,7,143,0.04666666666666667,0.04666666666666667,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,evaluated
DBP6,FrozenPLMProteinConditionalBaseline,150,150,1,149,0.006666666666666667,0.006666666666666667,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,evaluated
DBP6,NA-MPNN diagnostic,150,0,0,0,,0.0,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,not_evaluable_missing_prediction
DBP6,DeepPBS,150,0,0,0,,0.0,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,not_evaluable_missing_prediction
DBP9,sequence_kmer3,121,121,40,81,0.3305785123966942,0.3305785123966942,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,evaluated
DBP9,SimpleProteinConditionalBaseline,121,121,38,83,0.3140495867768595,0.3140495867768595,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,evaluated
DBP9,FrozenPLMProteinConditionalBaseline,121,121,30,91,0.24793388429752067,0.24793388429752067,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,evaluated
DBP9,NA-MPNN diagnostic,121,0,0,0,,0.0,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,not_evaluable_missing_prediction
DBP9,DeepPBS,121,0,0,0,,0.0,v0.3.1 candidate set; method prediction percentile >= 0.90 within protein,not_evaluable_missing_prediction
