dataset,baseline,metric,n_proteins,n_proteins_with_metric,mean,median,std
designed_external,FrozenPLMProteinConditionalBaseline_ESM2_t12_ridge,spearman,7,7,0.08490303255970519,0.15301962014333342,0.29255330894459786
designed_external,FrozenPLMProteinConditionalBaseline_ESM2_t12_ridge,ndcg_1pct,7,7,0.5452422726324258,0.6118188570299856,0.2846764157804583
designed_external,FrozenPLMProteinConditionalBaseline_ESM2_t12_ridge,ndcg_5pct,7,7,0.5424667531796005,0.5906638953553021,0.2261285192147179
designed_external,FrozenPLMProteinConditionalBaseline_ESM2_t12_ridge,pairwise_accuracy,7,7,0.5268992956790697,0.5496274813740687,0.0985880866756364
designed_external,FrozenPLMProteinConditionalBaseline_ESM2_t12_ridge,top1pct_recovery,7,7,0.006968641114982578,0.0,0.01843729136630377
natural_test,FrozenPLMProteinConditionalBaseline_ESM2_t12_ridge,spearman,9,9,0.23966560900732148,0.3159663936975623,0.34950939867661196
natural_test,FrozenPLMProteinConditionalBaseline_ESM2_t12_ridge,ndcg_1pct,9,9,0.7150619836820294,0.6783087141090565,0.19092045417661294
natural_test,FrozenPLMProteinConditionalBaseline_ESM2_t12_ridge,ndcg_5pct,9,9,0.6768568648976694,0.661046610094212,0.18610182863403507
natural_test,FrozenPLMProteinConditionalBaseline_ESM2_t12_ridge,pairwise_accuracy,9,9,0.5847100461281225,0.601260441154404,0.12225338305586993
natural_test,FrozenPLMProteinConditionalBaseline_ESM2_t12_ridge,top1pct_recovery,9,9,0.044241810199257006,0.0364741641337386,0.05779295992780548
