dbp_id,model,partial_spearman_residual_association,ordinary_spearman,control,diagnostic_status,n_rc_classes
DBP1,M0,0.27419786757451803,0.2817300381775797,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP1,M1,0.47596717491413265,0.47256380878501414,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP1,M1c,0.4626307310685659,0.4638355422055748,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP1,M2,-0.08445171411894768,-0.06761969034107282,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP1,M3,-0.04632227107689708,-0.0360451018574092,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP3,M0,0.2754017490249908,0.28041539213051214,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP3,M1,0.08531707411127218,0.09278300215036284,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP3,M1c,0.11907276656550884,0.12759133259981537,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP3,M2,0.18169538990785328,0.1902950387887135,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP3,M3,0.1469073910925467,0.15257892693880065,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP35,M0,0.1575869377820079,0.18437025951728292,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP35,M1,-0.07999196080030425,-0.07731913985089418,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP35,M1c,-0.038746143972258326,-0.03149336372833993,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP35,M2,0.10242306944735863,0.12294002375462623,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP35,M3,0.17837004301636722,0.18506288710336094,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP48,M0,-0.10975633776894121,-0.1735775764023234,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP48,M1,-0.05426903099272188,-0.11739402414768196,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP48,M1c,-0.12796436123117783,-0.18751670967290632,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP48,M2,-0.08564283680894581,-0.14953768153658695,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP48,M3,-0.1581912903621615,-0.22013237249817524,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP5,M0,0.02987092132008586,0.07873844115967187,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP5,M1,0.0742277883801233,0.09918668429229789,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP5,M1c,0.034052768643001,0.06991303602529318,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP5,M2,-0.04211544643628732,-0.004574563132081987,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP5,M3,0.33975541954681715,0.3460442530107387,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP6,M0,0.1961297707347365,0.2410021115331121,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP6,M1,-0.0558004172913259,-0.018463853556502145,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP6,M1c,-0.038185461543232505,0.007043172707045772,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP6,M2,0.040300559909522984,0.08046406030446493,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP6,M3,0.05452038591856237,0.10233035951205552,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP9,M0,0.09154604335450366,0.11860460234758644,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP9,M1,0.197152254712689,0.21327173629340573,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP9,M1c,0.18449084675187252,0.20251967872321658,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP9,M2,0.1254058279432728,0.14403211303134297,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
DBP9,M3,0.10034686360173697,0.123397078562658,TargetKmerOverlap,SECONDARY_DIAGNOSTIC,8192
