split_type,fold_id,seed,model,training_proteins,test_proteins,training_pair_count,runtime_seconds,first_epoch_loss,last_epoch_loss,prediction_variance,nan_inf_count,diagnostic_replay
protein_cluster_loco,protein_cluster_loco_fold_1,17,M0,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2560,1.054486100008944,0.7007225453853607,0.6542783200740814,0.15569326281547546,0,True
protein_cluster_loco,protein_cluster_loco_fold_1,17,M1,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2560,1.6444459000049392,0.7010954916477203,0.5983262285590172,0.9256994128227234,0,True
protein_cluster_loco,protein_cluster_loco_fold_1,17,M1c,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2560,1.6514034000138054,0.7120449244976044,0.6065547943115235,0.8223816752433777,0,True
protein_cluster_loco,protein_cluster_loco_fold_1,17,M2,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2560,2.1946578999923076,0.705772191286087,0.6653957664966583,1.371364712715149,0,True
protein_cluster_loco,protein_cluster_loco_fold_1,17,M3,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2560,2.463810699991882,0.7068905800580978,0.6117196187376976,0.25379282236099243,0,True
protein_cluster_loco,protein_cluster_loco_fold_1,29,M0,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2560,1.29469130000507,0.6972662061452866,0.6391494512557984,0.22945864498615265,0,True
protein_cluster_loco,protein_cluster_loco_fold_1,29,M1,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2560,1.586878499991144,0.7034746587276459,0.5988462477922439,0.8668409585952759,0,True
protein_cluster_loco,protein_cluster_loco_fold_1,29,M1c,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2560,1.8041569999913918,0.7071144759654999,0.5869785070419311,3.107558250427246,0,True
protein_cluster_loco,protein_cluster_loco_fold_1,29,M2,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2560,1.9993023999995785,0.7054903179407119,0.5939451396465302,0.23068252205848694,0,True
protein_cluster_loco,protein_cluster_loco_fold_1,29,M3,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2560,2.713096100007533,0.7068645268678665,0.6330239832401275,1.242089033126831,0,True
protein_cluster_loco,protein_cluster_loco_fold_1,43,M0,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,2560,1.0938919999898644,0.6993391960859299,0.6357047408819199,0.24629026651382446,0,True
