split_type,fold_id,seed,dbp_id,condition,replacement_protein_id,prediction_correlation_to_original,experimental_spearman,mean_absolute_score_change,prediction_variance,retrained,used_for_model_selection
protein_cluster_loco,protein_cluster_loco_fold_1,17,DBP1,original,DBP1,1.0,0.10325066951644782,0.0,0.25363731384277344,False,False
protein_cluster_loco,protein_cluster_loco_fold_1,17,DBP1,shuffled_protein,DBP3,0.9999997528144321,0.10318040718428048,0.00029570035985670984,0.25394827127456665,False,False
protein_cluster_loco,protein_cluster_loco_fold_1,17,DBP3,original,DBP3,1.0,0.09333875859618547,0.0,0.25394827127456665,False,False
protein_cluster_loco,protein_cluster_loco_fold_1,17,DBP3,shuffled_protein,DBP35,0.9999991652441497,0.09338788259881103,0.0004623390268534422,0.2534853219985962,False,False
protein_cluster_loco,protein_cluster_loco_fold_1,29,DBP1,original,DBP1,1.0,-0.1913604263786133,0.0,1.1921029090881348,False,False
protein_cluster_loco,protein_cluster_loco_fold_1,29,DBP1,shuffled_protein,DBP3,0.9999611870547941,-0.19055244869122998,0.06290000677108765,1.2903459072113037,False,False
protein_cluster_loco,protein_cluster_loco_fold_1,29,DBP3,original,DBP3,1.0,0.10388970280455063,0.0,1.2903459072113037,False,False
protein_cluster_loco,protein_cluster_loco_fold_1,29,DBP3,shuffled_protein,DBP35,0.9999989264948919,0.10393472240103939,0.009533585980534554,1.2755438089370728,False,False
protein_cluster_loco,protein_cluster_loco_fold_1,43,DBP1,original,DBP1,1.0,0.238005389776943,0.0,0.21218463778495789,False,False
protein_cluster_loco,protein_cluster_loco_fold_1,43,DBP1,shuffled_protein,DBP3,0.9999937047898948,0.23753101206201443,0.0014041728572919965,0.21248601377010345,False,False
protein_cluster_loco,protein_cluster_loco_fold_1,43,DBP3,original,DBP3,1.0,0.13834569682513476,0.0,0.21248601377010345,False,False
protein_cluster_loco,protein_cluster_loco_fold_1,43,DBP3,shuffled_protein,DBP35,0.9999960360678725,0.138218358810381,0.0028818524442613125,0.21421529352664948,False,False
protein_cluster_loco,protein_cluster_loco_fold_2,17,DBP35,original,DBP35,1.0,-0.04149951688243045,0.0,0.002682474907487631,False,False
protein_cluster_loco,protein_cluster_loco_fold_2,17,DBP35,shuffled_protein,DBP48,0.9999998634144309,-0.041489470266280304,0.003731030970811844,0.002804042538627982,False,False
protein_cluster_loco,protein_cluster_loco_fold_2,17,DBP5,original,DBP5,1.0,-0.1369584006588577,0.0,0.0025979457423090935,False,False
protein_cluster_loco,protein_cluster_loco_fold_2,17,DBP5,shuffled_protein,DBP6,0.9999998913725178,-0.13695808101698412,0.006920493207871914,0.0023824507370591164,False,False
protein_cluster_loco,protein_cluster_loco_fold_2,29,DBP35,original,DBP35,1.0,0.15955283510332433,0.0,0.13891826570034027,False,False
protein_cluster_loco,protein_cluster_loco_fold_2,29,DBP35,shuffled_protein,DBP48,0.9999996550332794,0.15949352470530298,0.010001011192798615,0.14016193151474,False,False
protein_cluster_loco,protein_cluster_loco_fold_2,29,DBP5,original,DBP5,1.0,0.3165766067412911,0.0,0.1367727816104889,False,False
