split_type,fold_id,seed,dbp_id,condition,replacement_target_dbp_id,prediction_correlation_to_original,experimental_spearman,mean_absolute_score_change,prediction_variance,retrained,used_for_model_selection
protein_cluster_loco,protein_cluster_loco_fold_1,17,DBP1,original,DBP1,1.0,0.10325066951644782,0.0,0.25363731384277344,False,False
protein_cluster_loco,protein_cluster_loco_fold_1,17,DBP1,shuffled_target,DBP3,1.0,0.10325066951644782,0.0,0.25363731384277344,False,False
protein_cluster_loco,protein_cluster_loco_fold_1,17,DBP3,original,DBP3,1.0,0.09333875859618547,0.0,0.25394827127456665,False,False
protein_cluster_loco,protein_cluster_loco_fold_1,17,DBP3,shuffled_target,DBP35,0.7288876196885354,0.12924878975921314,0.27266061305999756,0.15499252080917358,False,False
protein_cluster_loco,protein_cluster_loco_fold_1,29,DBP1,original,DBP1,1.0,-0.1913604263786133,0.0,1.1921029090881348,False,False
protein_cluster_loco,protein_cluster_loco_fold_1,29,DBP1,shuffled_target,DBP3,1.0,-0.1913604263786133,0.0,1.1921029090881348,False,False
protein_cluster_loco,protein_cluster_loco_fold_1,29,DBP3,original,DBP3,1.0,0.10388970280455063,0.0,1.2903459072113037,False,False
protein_cluster_loco,protein_cluster_loco_fold_1,29,DBP3,shuffled_target,DBP35,0.28972628238157366,0.15171314302449393,1.0876216888427734,0.2945587635040283,False,False
protein_cluster_loco,protein_cluster_loco_fold_1,43,DBP1,original,DBP1,1.0,0.238005389776943,0.0,0.21218463778495789,False,False
protein_cluster_loco,protein_cluster_loco_fold_1,43,DBP1,shuffled_target,DBP3,1.0,0.238005389776943,0.0,0.21218463778495789,False,False
protein_cluster_loco,protein_cluster_loco_fold_1,43,DBP3,original,DBP3,1.0,0.13834569682513476,0.0,0.21248601377010345,False,False
protein_cluster_loco,protein_cluster_loco_fold_1,43,DBP3,shuffled_target,DBP35,0.8758224174668587,0.1379760680819451,0.1968184858560562,0.1882588416337967,False,False
protein_cluster_loco,protein_cluster_loco_fold_2,17,DBP35,original,DBP35,1.0,-0.04149951688243045,0.0,0.002682474907487631,False,False
protein_cluster_loco,protein_cluster_loco_fold_2,17,DBP35,shuffled_target,DBP48,0.9998705443645133,-0.04294641335402832,0.009042387828230858,0.0027420413680374622,False,False
protein_cluster_loco,protein_cluster_loco_fold_2,17,DBP5,original,DBP5,1.0,-0.1369584006588577,0.0,0.0025979457423090935,False,False
protein_cluster_loco,protein_cluster_loco_fold_2,17,DBP5,shuffled_target,DBP6,0.9999999999999999,-0.1369584006588577,0.0,0.0025979457423090935,False,False
protein_cluster_loco,protein_cluster_loco_fold_2,29,DBP35,original,DBP35,1.0,0.15955283510332433,0.0,0.13891826570034027,False,False
protein_cluster_loco,protein_cluster_loco_fold_2,29,DBP35,shuffled_target,DBP48,0.999846360190688,0.15973981594058903,0.09540435671806335,0.13872380554676056,False,False
protein_cluster_loco,protein_cluster_loco_fold_2,29,DBP5,original,DBP5,1.0,0.3165766067412911,0.0,0.1367727816104889,False,False
protein_cluster_loco,protein_cluster_loco_fold_2,29,DBP5,shuffled_target,DBP6,1.0,0.3165766067412911,0.0,0.1367727816104889,False,False
protein_cluster_loco,protein_cluster_loco_fold_2,43,DBP35,original,DBP35,1.0,0.024996702211503147,0.0,0.009034408256411552,False,False
protein_cluster_loco,protein_cluster_loco_fold_2,43,DBP35,shuffled_target,DBP48,0.9999109608287103,0.024850964071402363,0.0028620315715670586,0.008450924418866634,False,False
protein_cluster_loco,protein_cluster_loco_fold_2,43,DBP5,original,DBP5,1.0,0.02498025319609305,0.0,0.008999718353152275,False,False
protein_cluster_loco,protein_cluster_loco_fold_2,43,DBP5,shuffled_target,DBP6,1.0,0.02498025319609305,0.0,0.008999718353152275,False,False
protein_cluster_loco,protein_cluster_loco_fold_3,17,DBP48,original,DBP48,1.0,-0.25593261407618806,0.0,0.48349934816360474,False,False
protein_cluster_loco,protein_cluster_loco_fold_3,17,DBP48,shuffled_target,DBP5,0.9680692766859347,-0.24558441424381636,0.1642366647720337,0.4355778098106384,False,False
protein_cluster_loco,protein_cluster_loco_fold_3,29,DBP48,original,DBP48,1.0,-0.16550851547996243,0.0,0.8099257349967957,False,False
protein_cluster_loco,protein_cluster_loco_fold_3,29,DBP48,shuffled_target,DBP5,0.9510996658380635,-0.21874119890903987,0.2746419906616211,0.9074214696884155,False,False
protein_cluster_loco,protein_cluster_loco_fold_3,43,DBP48,original,DBP48,1.0,-0.1639022505964975,0.0,0.6519303321838379,False,False
protein_cluster_loco,protein_cluster_loco_fold_3,43,DBP48,shuffled_target,DBP5,0.9601929237486637,-0.21071048152625182,0.2294214963912964,0.7722257375717163,False,False
protein_cluster_loco,protein_cluster_loco_fold_4,17,DBP6,original,DBP6,1.0,0.06292826478802842,0.0,0.13583645224571228,False,False
protein_cluster_loco,protein_cluster_loco_fold_4,17,DBP6,shuffled_target,DBP9,0.9999999999999999,0.06292826478802842,0.0,0.13583645224571228,False,False
protein_cluster_loco,protein_cluster_loco_fold_4,17,DBP9,original,DBP9,1.0,0.12235502152823056,0.0,0.13583213090896606,False,False
protein_cluster_loco,protein_cluster_loco_fold_4,17,DBP9,shuffled_target,DBP1,0.7827584161567046,0.04015444228555414,0.18445372581481934,0.1493285894393921,False,False
protein_cluster_loco,protein_cluster_loco_fold_4,29,DBP6,original,DBP6,1.0,0.10098632671795792,0.0,0.5113006830215454,False,False
protein_cluster_loco,protein_cluster_loco_fold_4,29,DBP6,shuffled_target,DBP9,1.0,0.10098632671795792,0.0,0.5113006830215454,False,False
protein_cluster_loco,protein_cluster_loco_fold_4,29,DBP9,original,DBP9,1.0,0.11152281848047708,0.0,0.5114004015922546,False,False
protein_cluster_loco,protein_cluster_loco_fold_4,29,DBP9,shuffled_target,DBP1,0.9382548317988711,0.07937953861662679,0.24677690863609314,0.3673785924911499,False,False
protein_cluster_loco,protein_cluster_loco_fold_4,43,DBP6,original,DBP6,1.0,0.053410029460869826,0.0,0.01317861583083868,False,False
protein_cluster_loco,protein_cluster_loco_fold_4,43,DBP6,shuffled_target,DBP9,1.0,0.053410029460869826,0.0,0.01317861583083868,False,False
protein_cluster_loco,protein_cluster_loco_fold_4,43,DBP9,original,DBP9,1.0,-0.019356489600561123,0.0,0.013180484995245934,False,False
protein_cluster_loco,protein_cluster_loco_fold_4,43,DBP9,shuffled_target,DBP1,0.9996795622331083,-0.019317810392396627,0.09996703267097473,0.013177209533751011,False,False
