dbp_id,target_similarity_bin,bin_lower_threshold,bin_upper_threshold,model,spearman,n_rc_classes,bin_definition
DBP1,high,0.1111111111111111,0.25,M1c,0.579125108971485,1923,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP1,high,0.1111111111111111,0.25,M2,0.0039249061041462365,1923,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP1,high,0.1111111111111111,0.25,M3,0.047244503065890654,1923,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP1,low,0.1111111111111111,0.25,M1c,0.36301170863860815,2794,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP1,low,0.1111111111111111,0.25,M2,-0.19234792308889137,2794,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP1,low,0.1111111111111111,0.25,M3,-0.14181553304389616,2794,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP1,medium,0.1111111111111111,0.25,M1c,0.4467821100520668,3475,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP1,medium,0.1111111111111111,0.25,M2,-0.05280617841549155,3475,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP1,medium,0.1111111111111111,0.25,M3,-0.024402056365753984,3475,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP3,high,0.1111111111111111,0.25,M1c,0.08855516074363971,1923,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP3,high,0.1111111111111111,0.25,M2,0.22283481104835784,1923,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP3,high,0.1111111111111111,0.25,M3,0.18224778461753371,1923,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP3,low,0.1111111111111111,0.25,M1c,0.07296588638801403,2794,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP3,low,0.1111111111111111,0.25,M2,0.08994109063048754,2794,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP3,low,0.1111111111111111,0.25,M3,0.06592223566916335,2794,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP3,medium,0.1111111111111111,0.25,M1c,0.17199398100074806,3475,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP3,medium,0.1111111111111111,0.25,M2,0.22811005887594502,3475,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP3,medium,0.1111111111111111,0.25,M3,0.1915259990129904,3475,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP35,high,0.0,0.16666666666666666,M1c,0.057598387180631906,2422,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP35,high,0.0,0.16666666666666666,M2,0.21127952366022956,2422,per-protein target-kmer-overlap tertiles fixed before outcome inspection
DBP35,high,0.0,0.16666666666666666,M3,0.14069282148389936,2422,per-protein target-kmer-overlap tertiles fixed before outcome inspection
