dbp_id,model,spearman_prediction_vs_target_kmer_overlap,spearman_prediction_vs_experimental,n_rc_classes
DBP1,M0,0.07837936552595597,0.2817300381775797,8192
DBP1,M1,0.00439530384141472,0.4725638087850142,8192
DBP1,M1c,0.04056135913672677,0.46383554220557477,8192
DBP1,M2,0.1126733063955279,-0.06761969034107282,8192
DBP1,M3,0.07168941799116901,-0.0360451018574092,8192
DBP3,M0,0.07837936552595597,0.28041539213051214,8192
DBP3,M1,0.10208481235972913,0.09278300215036282,8192
DBP3,M1c,0.10740179604977425,0.12759133259981537,8192
DBP3,M2,0.1126733063955279,0.1902950387887135,8192
DBP3,M3,0.07235804157805031,0.15257892693880065,8192
DBP35,M0,0.22800154920387297,0.18437025951728295,8192
DBP35,M1,0.01804017774193287,-0.07731913985089418,8192
DBP35,M1c,0.05393756884569523,-0.03149336372833993,8192
DBP35,M2,0.17179527684626378,0.12294002375462622,8192
DBP35,M3,0.06131762890851001,0.18506288710336094,8192
DBP48,M0,-0.3530991525926461,-0.1735775764023234,8192
DBP48,M1,-0.3224772172092122,-0.11739402414768196,8192
DBP48,M1c,-0.3341042031586521,-0.18751670967290632,8192
DBP48,M2,-0.3388106692732565,-0.14953768153658695,8192
DBP48,M3,-0.36539610882490325,-0.22013237249817524,8192
DBP5,M0,0.22800154920387297,0.07873844115967185,8192
DBP5,M1,0.12886303533240523,0.0991866842922979,8192
DBP5,M1c,0.17577204882362893,0.06991303602529318,8192
DBP5,M2,0.17179527684626378,-0.004574563132081988,8192
DBP5,M3,0.06124935987011813,0.3460442530107387,8192
DBP6,M0,0.26282775312655304,0.2410021115331121,8192
DBP6,M1,0.16971830959999815,-0.018463853556502142,8192
DBP6,M1c,0.20686690149060502,0.007043172707045772,8192
DBP6,M2,0.20076135909705092,0.08046406030446493,8192
DBP6,M3,0.23420183998075972,0.10233035951205552,8192
DBP9,M0,0.26282775312655304,0.11860460234758644,8192
DBP9,M1,0.18330428196728998,0.21327173629340573,8192
DBP9,M1c,0.20870126399398656,0.20251967872321655,8192
DBP9,M2,0.20076135909705092,0.14403211303134297,8192
DBP9,M3,0.234277603151777,0.12339707856265798,8192
