protein,protocol,pair_count,unique_candidates,candidate_coverage,rank_deciles_covered,n_rank_deciles_covered,easy_pairs,medium_pairs,hard_pairs,duplicate_pair_fraction
DBP1,S512,512,957,0.1168212890625,0|1|2|3|4|5|6|7|8|9,10,205,179,128,0.0
DBP3,S512,512,952,0.1162109375,0|1|2|3|4|5|6|7|8|9,10,205,179,128,0.0
DBP35,S512,512,966,0.117919921875,0|1|2|3|4|5|6|7|8|9,10,205,179,128,0.0
DBP48,S512,512,973,0.1187744140625,0|1|2|3|4|5|6|7|8|9,10,205,179,128,0.0
DBP5,S512,512,964,0.11767578125,0|1|2|3|4|5|6|7|8|9,10,205,179,128,0.0
DBP6,S512,512,965,0.1177978515625,0|1|2|3|4|5|6|7|8|9,10,205,179,128,0.0
DBP9,S512,512,959,0.1170654296875,0|1|2|3|4|5|6|7|8|9,10,205,179,128,0.0
DBP1,D4096,4096,6310,0.770263671875,0|1|2|3|4|5|6|7|8|9,10,1638,1434,1024,0.0
DBP3,D4096,4096,6282,0.766845703125,0|1|2|3|4|5|6|7|8|9,10,1638,1434,1024,0.0
DBP35,D4096,4096,6298,0.768798828125,0|1|2|3|4|5|6|7|8|9,10,1638,1434,1024,0.0
DBP48,D4096,4096,6271,0.7655029296875,0|1|2|3|4|5|6|7|8|9,10,1638,1434,1024,0.0
DBP5,D4096,4096,6264,0.7646484375,0|1|2|3|4|5|6|7|8|9,10,1638,1434,1024,0.0
DBP6,D4096,4096,6271,0.7655029296875,0|1|2|3|4|5|6|7|8|9,10,1638,1434,1024,0.0
DBP9,D4096,4096,6278,0.766357421875,0|1|2|3|4|5|6|7|8|9,10,1638,1434,1024,0.0
DBP1,D16384,16384,8192,1.0,0|1|2|3|4|5|6|7|8|9,10,6554,5734,4096,0.0
DBP3,D16384,16384,8192,1.0,0|1|2|3|4|5|6|7|8|9,10,6554,5734,4096,0.0
DBP35,D16384,16384,8192,1.0,0|1|2|3|4|5|6|7|8|9,10,6554,5734,4096,0.0
DBP48,D16384,16384,8192,1.0,0|1|2|3|4|5|6|7|8|9,10,6554,5734,4096,0.0
DBP5,D16384,16384,8192,1.0,0|1|2|3|4|5|6|7|8|9,10,6554,5734,4096,0.0
DBP6,D16384,16384,8192,1.0,0|1|2|3|4|5|6|7|8|9,10,6554,5734,4096,0.0
DBP9,D16384,16384,8192,1.0,0|1|2|3|4|5|6|7|8|9,10,6554,5734,4096,0.0
