model,protocol,dbp_id,shuffle_type,permutation_source,prediction_correlation,mean_abs_score_change,retrained
M0,S512,DBP48,none,,,0.0,False
M1c,S512,DBP48,protein,DBP5,0.8321343609064693,0.5090987682342529,False
M2,S512,DBP48,target,DBP5,0.8951120915576027,0.23870426416397095,False
M3,S512,DBP48,protein,DBP5,0.9999982540819479,0.0033229049295186996,False
M3,S512,DBP48,target,DBP5,0.9680692766859347,0.1642366647720337,False
M0,D4096,DBP48,none,,,0.0,False
M1c,D4096,DBP48,protein,DBP5,0.9999835186814364,0.02999337762594223,False
M2,D4096,DBP48,target,DBP5,0.996247022572253,0.02540978603065014,False
M3,D4096,DBP48,protein,DBP5,0.999998831114923,0.0004025362723041326,False
M3,D4096,DBP48,target,DBP5,0.9813593747584806,0.0414845272898674,False
M0,D16384,DBP48,none,,,0.0,False
M1c,D16384,DBP48,protein,DBP5,0.9999969673469885,0.03149626776576042,False
M2,D16384,DBP48,target,DBP5,0.9973361065045057,0.03875088319182396,False
M3,D16384,DBP48,protein,DBP5,0.9999982483864294,0.003343109507113695,False
M3,D16384,DBP48,target,DBP5,0.9810129952758847,0.10986007004976273,False
