model,epoch,mean_pairwise_loss,reported_model,protocol
M0_CandidateDNAOnly,1,0.6920980115731558,M0,S512
M0_CandidateDNAOnly,2,0.6850378240148226,M0,S512
M0_CandidateDNAOnly,3,0.6780556539694468,M0,S512
M0_CandidateDNAOnly,4,0.6689505452911059,M0,S512
M0_CandidateDNAOnly,5,0.6618897418181101,M0,S512
M0_CandidateDNAOnly,6,0.6585360119740168,M0,S512
M0_CandidateDNAOnly,7,0.6548600196838379,M0,S512
M0_CandidateDNAOnly,8,0.6533610746264458,M0,S512
M0_CandidateDNAOnly,9,0.6463702991604805,M0,S512
M0_CandidateDNAOnly,10,0.6441360463698705,M0,S512
M0_CandidateDNAOnly,11,0.6410369003812472,M0,S512
M0_CandidateDNAOnly,12,0.6404783899585406,M0,S512
M0_CandidateDNAOnly,13,0.6391117324431738,M0,S512
M0_CandidateDNAOnly,14,0.6365239371856054,M0,S512
M0_CandidateDNAOnly,15,0.6363826071222624,M0,S512
M0_CandidateDNAOnly,16,0.6304130926728249,M0,S512
M0_CandidateDNAOnly,17,0.6297226374348005,M0,S512
M0_CandidateDNAOnly,18,0.6272577370206515,M0,S512
M1_ProteinCandidate,1,0.6963653564453125,M1c,S512
M1_ProteinCandidate,2,0.6906323209404945,M1c,S512
M1_ProteinCandidate,3,0.6885467444856962,M1c,S512
M1_ProteinCandidate,4,0.6898889640967051,M1c,S512
M1_ProteinCandidate,5,0.6822613030672073,M1c,S512
M1_ProteinCandidate,6,0.6852357213695844,M1c,S512
M1_ProteinCandidate,7,0.6848398397366205,M1c,S512
M1_ProteinCandidate,8,0.6844269732634226,M1c,S512
M1_ProteinCandidate,9,0.677138609190782,M1c,S512
M1_ProteinCandidate,10,0.6694420799612999,M1c,S512
M1_ProteinCandidate,11,0.6565980737408003,M1c,S512
M1_ProteinCandidate,12,0.6602686072389284,M1c,S512
M1_ProteinCandidate,13,0.6470072418451309,M1c,S512
M1_ProteinCandidate,14,0.6498954519629478,M1c,S512
M1_ProteinCandidate,15,0.635694200793902,M1c,S512
M1_ProteinCandidate,16,0.627552809814612,M1c,S512
M1_ProteinCandidate,17,0.6272653316458067,M1c,S512
M1_ProteinCandidate,18,0.616532397766908,M1c,S512
M2_TargetCandidateOnly,1,0.6943297311663628,M2,S512
M2_TargetCandidateOnly,2,0.6919299910465876,M2,S512
M2_TargetCandidateOnly,3,0.6942683930198351,M2,S512
M2_TargetCandidateOnly,4,0.6872884755333265,M2,S512
M2_TargetCandidateOnly,5,0.6794668411215147,M2,S512
M2_TargetCandidateOnly,6,0.6797781636317571,M2,S512
M2_TargetCandidateOnly,7,0.6716960469881693,M2,S512
M2_TargetCandidateOnly,8,0.6726439346869787,M2,S512
M2_TargetCandidateOnly,9,0.6625143165389696,M2,S512
M2_TargetCandidateOnly,10,0.6589750374356905,M2,S512
M2_TargetCandidateOnly,11,0.6561155021190643,M2,S512
M2_TargetCandidateOnly,12,0.6512190128366152,M2,S512
M2_TargetCandidateOnly,13,0.6470470155278841,M2,S512
M2_TargetCandidateOnly,14,0.6420582210024198,M2,S512
M2_TargetCandidateOnly,15,0.6382120028138161,M2,S512
M2_TargetCandidateOnly,16,0.6357701768477758,M2,S512
M2_TargetCandidateOnly,17,0.6350663801034292,M2,S512
M2_TargetCandidateOnly,18,0.6343707715471586,M2,S512
M3_ProteinTargetCandidate,1,0.696598100165526,M3,S512
M3_ProteinTargetCandidate,2,0.6946913376450539,M3,S512
M3_ProteinTargetCandidate,3,0.6889514774084091,M3,S512
M3_ProteinTargetCandidate,4,0.678038145105044,M3,S512
M3_ProteinTargetCandidate,5,0.6795421789089838,M3,S512
M3_ProteinTargetCandidate,6,0.6718174467484156,M3,S512
M3_ProteinTargetCandidate,7,0.665495311220487,M3,S512
M3_ProteinTargetCandidate,8,0.6663281495372454,M3,S512
M3_ProteinTargetCandidate,9,0.6585865293939909,M3,S512
M3_ProteinTargetCandidate,10,0.6563127636909485,M3,S512
M3_ProteinTargetCandidate,11,0.6481859584649404,M3,S512
M3_ProteinTargetCandidate,12,0.6416352714101473,M3,S512
M3_ProteinTargetCandidate,13,0.644791878759861,M3,S512
M3_ProteinTargetCandidate,14,0.6340282509724299,M3,S512
M3_ProteinTargetCandidate,15,0.626846099893252,M3,S512
M3_ProteinTargetCandidate,16,0.6281264772017797,M3,S512
M3_ProteinTargetCandidate,17,0.6324235374728838,M3,S512
M3_ProteinTargetCandidate,18,0.6191815336545309,M3,S512
M0_CandidateDNAOnly,1,0.6832035882398486,M0,D4096
M0_CandidateDNAOnly,2,0.6804922719796499,M0,D4096
M0_CandidateDNAOnly,3,0.6758568184450269,M0,D4096
M0_CandidateDNAOnly,4,0.6745599977051219,M0,D4096
M0_CandidateDNAOnly,5,0.6772750563298663,M0,D4096
M0_CandidateDNAOnly,6,0.6761734702934822,M0,D4096
M0_CandidateDNAOnly,7,0.6750644948333502,M0,D4096
M0_CandidateDNAOnly,8,0.669046384592851,M0,D4096
M0_CandidateDNAOnly,9,0.6681661770368615,M0,D4096
M0_CandidateDNAOnly,10,0.6673337981725732,M0,D4096
M0_CandidateDNAOnly,11,0.6651475684096416,M0,D4096
M0_CandidateDNAOnly,12,0.6647575801859299,M0,D4096
M0_CandidateDNAOnly,13,0.6654562276477615,M0,D4096
M0_CandidateDNAOnly,14,0.6623403495177627,M0,D4096
M0_CandidateDNAOnly,15,0.663800907942156,M0,D4096
M0_CandidateDNAOnly,16,0.6618411671370268,M0,D4096
M0_CandidateDNAOnly,17,0.664596873956422,M0,D4096
M0_CandidateDNAOnly,18,0.660734796586136,M0,D4096
M1_ProteinCandidate,1,0.6848673410713673,M1c,D4096
M1_ProteinCandidate,2,0.6819796329364181,M1c,D4096
M1_ProteinCandidate,3,0.6776187702392539,M1c,D4096
M1_ProteinCandidate,4,0.6716106962412596,M1c,D4096
M1_ProteinCandidate,5,0.6683284385750691,M1c,D4096
M1_ProteinCandidate,6,0.6654946664348245,M1c,D4096
M1_ProteinCandidate,7,0.6652027384067575,M1c,D4096
M1_ProteinCandidate,8,0.6632562829181552,M1c,D4096
M1_ProteinCandidate,9,0.6638122405856848,M1c,D4096
M1_ProteinCandidate,10,0.663211541560789,M1c,D4096
M1_ProteinCandidate,11,0.6610848382115364,M1c,D4096
M1_ProteinCandidate,12,0.663180822506547,M1c,D4096
M1_ProteinCandidate,13,0.6625967187186083,M1c,D4096
M1_ProteinCandidate,14,0.6614511609077454,M1c,D4096
M1_ProteinCandidate,15,0.6609910844514767,M1c,D4096
M1_ProteinCandidate,16,0.66111233116438,M1c,D4096
M1_ProteinCandidate,17,0.6633579038704435,M1c,D4096
M1_ProteinCandidate,18,0.6622528253744046,M1c,D4096
M2_TargetCandidateOnly,1,0.6822202339147528,M2,D4096
M2_TargetCandidateOnly,2,0.6804462037980556,M2,D4096
M2_TargetCandidateOnly,3,0.6805069533487161,M2,D4096
M2_TargetCandidateOnly,4,0.6786812559391061,M2,D4096
M2_TargetCandidateOnly,5,0.6793327905858556,M2,D4096
M2_TargetCandidateOnly,6,0.6747518355647723,M2,D4096
M2_TargetCandidateOnly,7,0.6732647229606906,M2,D4096
M2_TargetCandidateOnly,8,0.672280739992857,M2,D4096
M2_TargetCandidateOnly,9,0.674180061245958,M2,D4096
M2_TargetCandidateOnly,10,0.6846124598135551,M2,D4096
M2_TargetCandidateOnly,11,0.6728394171223044,M2,D4096
M2_TargetCandidateOnly,12,0.667862880975008,M2,D4096
M2_TargetCandidateOnly,13,0.6671720156446099,M2,D4096
M2_TargetCandidateOnly,14,0.6659152352561554,M2,D4096
M2_TargetCandidateOnly,15,0.6654021417101225,M2,D4096
M2_TargetCandidateOnly,16,0.6639901554832855,M2,D4096
M2_TargetCandidateOnly,17,0.6651637898758054,M2,D4096
M2_TargetCandidateOnly,18,0.6633704168101152,M2,D4096
M3_ProteinTargetCandidate,1,0.6804838655516505,M3,D4096
M3_ProteinTargetCandidate,2,0.6779322248573104,M3,D4096
M3_ProteinTargetCandidate,3,0.674840203486383,M3,D4096
M3_ProteinTargetCandidate,4,0.6767666998008887,M3,D4096
M3_ProteinTargetCandidate,5,0.6744651238744458,M3,D4096
M3_ProteinTargetCandidate,6,0.6747469169398149,M3,D4096
M3_ProteinTargetCandidate,7,0.6740975019832453,M3,D4096
M3_ProteinTargetCandidate,8,0.6733254659920931,M3,D4096
M3_ProteinTargetCandidate,9,0.6744756593058506,M3,D4096
M3_ProteinTargetCandidate,10,0.6734898981327812,M3,D4096
M3_ProteinTargetCandidate,11,0.6726481970399618,M3,D4096
M3_ProteinTargetCandidate,12,0.6715272692963481,M3,D4096
M3_ProteinTargetCandidate,13,0.6731121617679795,M3,D4096
M3_ProteinTargetCandidate,14,0.6694414454201857,M3,D4096
M3_ProteinTargetCandidate,15,0.6718147083496054,M3,D4096
M3_ProteinTargetCandidate,16,0.6727851567169031,M3,D4096
M3_ProteinTargetCandidate,17,0.6704147119695941,M3,D4096
M3_ProteinTargetCandidate,18,0.6704394758368531,M3,D4096
M0_CandidateDNAOnly,1,0.6606767866760492,M0,D16384
M0_CandidateDNAOnly,2,0.6560983282979578,M0,D16384
M0_CandidateDNAOnly,3,0.653696404149135,M0,D16384
M0_CandidateDNAOnly,4,0.6504897194293638,M0,D16384
