model,protocol,dbp_id,partition,spearman,ndcg_1pct,ndcg_5pct,pairwise_accuracy,top1pct_recovery,n_rc_units
M0,S512,DBP1,train,0.4070268434290798,0.8311962938995836,0.7870906601907111,0.636675,0.0975609756097561,8192
M0,S512,DBP3,train,0.2778638440536517,0.8014371269234586,0.72399551987009,0.594225,0.08536585365853659,8192
M0,S512,DBP35,train,0.35762538637431696,0.8444202301672908,0.7705821525874686,0.6213560678033901,0.0975609756097561,8192
M0,S512,DBP5,train,0.32828267950798545,0.7817547006253764,0.7439404509176089,0.607375,0.0975609756097561,8192
M0,S512,DBP6,train,0.17868571442075848,0.766093243085203,0.6708700234598878,0.555175,0.07317073170731707,8192
M0,S512,DBP9,train,0.24433876251867534,0.7491726688546537,0.6952260949542485,0.577425,0.012195121951219513,8192
M0,S512,DBP48,test,-0.20299364023121,0.41095059021491337,0.39886372782161217,0.43644682234111704,0.0,8192
M1c,S512,DBP1,train,0.3899962857962883,0.8815020751007865,0.7910482901769482,0.628675,0.17073170731707318,8192
M1c,S512,DBP3,train,0.30174609067850333,0.8949489110173562,0.7902610400468543,0.601775,0.18292682926829268,8192
M1c,S512,DBP35,train,0.3125520749190915,0.8412889082070693,0.7634843480700496,0.6025551277563879,0.17073170731707318,8192
M1c,S512,DBP5,train,0.3604349485824057,0.7693323046019683,0.7440635764202324,0.619375,0.13414634146341464,8192
M1c,S512,DBP6,train,0.310711045940584,0.807620579034882,0.730884143050392,0.599775,0.04878048780487805,8192
M1c,S512,DBP9,train,0.2164430605440145,0.6939656996666795,0.6560630044653787,0.571375,0.012195121951219513,8192
M1c,S512,DBP48,test,-0.16433443269185333,0.5345922601932843,0.46704256066584926,0.44914745737286865,0.0,8192
M2,S512,DBP1,train,0.37445769986745153,0.8870038310316838,0.7783830364981912,0.625525,0.25609756097560976,8192
M2,S512,DBP3,train,0.25933190314922644,0.8740538061151871,0.7709343018099309,0.587475,0.3170731707317073,8192
M2,S512,DBP35,train,0.26599496998125804,0.9005018403761337,0.790166528757482,0.5863043152157608,0.3170731707317073,8192
M2,S512,DBP5,train,0.2701203578435807,0.827637971098862,0.735141629713795,0.582525,0.18292682926829268,8192
M2,S512,DBP6,train,0.1355071709149104,0.8059966136881421,0.6891661099693119,0.544825,0.21951219512195122,8192
M2,S512,DBP9,train,0.22021821406245143,0.6350346318210951,0.6096384873888991,0.572675,0.024390243902439025,8192
M2,S512,DBP48,test,-0.18326613118926852,0.5149483501657215,0.5130433580870577,0.44374718735936797,0.0,8192
M3,S512,DBP1,train,0.40516735008448257,0.8587795457365609,0.7844180420589754,0.635525,0.24390243902439024,8192
M3,S512,DBP3,train,0.26676335898076786,0.8621294799055972,0.7686933291593793,0.587825,0.3048780487804878,8192
M3,S512,DBP35,train,0.3448182750291176,0.8521058615254753,0.7768377574078003,0.6107055352767639,0.2926829268292683,8192
M3,S512,DBP5,train,0.3475278413962397,0.814765685994708,0.7575818317760018,0.612625,0.18292682926829268,8192
M3,S512,DBP6,train,0.1801788702950205,0.7855648116320301,0.6936144072129765,0.558675,0.06097560975609756,8192
M3,S512,DBP9,train,0.23723786705429792,0.707591483165893,0.6832862640079829,0.577725,0.024390243902439025,8192
M3,S512,DBP48,test,-0.25593261407618806,0.549687807108357,0.4538961865200401,0.41619580979048953,0.0,8192
M0,D4096,DBP1,train,0.4640951284622397,0.9034247700167264,0.8058967958587357,0.662125,0.15853658536585366,8192
M0,D4096,DBP3,train,0.26756410043792417,0.83697690122003,0.7293705256996534,0.590475,0.17073170731707318,8192
M0,D4096,DBP35,train,0.3778164853581988,0.8961956056864852,0.7935656242191775,0.6306065303265164,0.15853658536585366,8192
M0,D4096,DBP5,train,0.39250569982854827,0.8392645927128218,0.7551828987840402,0.636925,0.17073170731707318,8192
M0,D4096,DBP6,train,0.16163462970846829,0.7961770274368615,0.6920109340856601,0.553025,0.14634146341463414,8192
M0,D4096,DBP9,train,0.28821316761619115,0.8133283111437456,0.7548152089944554,0.596675,0.024390243902439025,8192
M0,D4096,DBP48,test,-0.2733872380523387,0.43492017972783054,0.4119558855253914,0.4088954447722386,0.012195121951219513,8192
M1c,D4096,DBP1,train,0.43408853942485504,0.9063075553079922,0.8189953270162884,0.650175,0.24390243902439024,8192
M1c,D4096,DBP3,train,0.2734346630033384,0.8939356720753358,0.7691156799456531,0.591725,0.3048780487804878,8192
M1c,D4096,DBP35,train,0.3541973364042302,0.9146833869152159,0.8030118171635723,0.6209560478023901,0.2804878048780488,8192
M1c,D4096,DBP5,train,0.35562466515266367,0.8355612370692757,0.7660794859585514,0.621725,0.18292682926829268,8192
M1c,D4096,DBP6,train,0.19108284920243399,0.8441794813447694,0.7014083919531713,0.556475,0.1951219512195122,8192
M1c,D4096,DBP9,train,0.2846256153021419,0.7737186172002305,0.7187886940313813,0.593275,0.024390243902439025,8192
M1c,D4096,DBP48,test,-0.18191712637179852,0.5312127124928666,0.45643106681318085,0.4396469823491175,0.012195121951219513,8192
M2,D4096,DBP1,train,0.43878295447127585,0.8595628403542498,0.8025352343845794,0.648725,0.036585365853658534,8192
M2,D4096,DBP3,train,0.2005852914783852,0.7193061552817397,0.6726091304154849,0.564475,0.036585365853658534,8192
M2,D4096,DBP35,train,0.3266104717233205,0.8118737847868953,0.7443304076778678,0.6099554977748888,0.036585365853658534,8192
M2,D4096,DBP5,train,0.36866574681611225,0.8283304403759301,0.7667999934640627,0.626375,0.08536585365853659,8192
M2,D4096,DBP6,train,0.1009697898344202,0.6911085982881015,0.642930147308791,0.531675,0.024390243902439025,8192
M2,D4096,DBP9,train,0.2774944378962856,0.7969156374234772,0.7407492057625127,0.593925,0.012195121951219513,8192
M2,D4096,DBP48,test,-0.3287124280533806,0.3558706138249178,0.3950765689463052,0.3913445672283614,0.0,8192
M3,D4096,DBP1,train,0.44940954667884275,0.844511649136936,0.8094250910258093,0.654375,0.07317073170731707,8192
M3,D4096,DBP3,train,0.2353719252103518,0.686774826349201,0.6600201777602309,0.576675,0.07317073170731707,8192
M3,D4096,DBP35,train,0.3293121540335934,0.7761190525902208,0.7259620985188485,0.6087804390219511,0.06097560975609756,8192
M3,D4096,DBP5,train,0.37211097796996895,0.8364970426427702,0.7786938519168767,0.621,0.0975609756097561,8192
M3,D4096,DBP6,train,0.09584625461988226,0.6416036759416595,0.5860968705040278,0.5271,0.036585365853658534,8192
M3,D4096,DBP9,train,0.2484131255123957,0.7964701152581116,0.7317153467472949,0.5814,0.012195121951219513,8192
M3,D4096,DBP48,test,-0.29310276085156417,0.28348041349282377,0.3257324985167168,0.39976998849942497,0.0,8192
M0,D16384,DBP1,train,0.33105551370121916,0.7520673701203351,0.7313791683353229,0.616475,0.0,8192
M0,D16384,DBP3,train,0.12534745685409515,0.4719554286787287,0.5459954482509866,0.540425,0.0,8192
M0,D16384,DBP35,train,0.25130565933058396,0.6992180947107832,0.68331325932403,0.580254012700635,0.0,8192
M0,D16384,DBP5,train,0.293010293233954,0.7537713002410646,0.7236612447948257,0.602375,0.08536585365853659,8192
M0,D16384,DBP6,train,0.1503085791302518,0.45108501977536714,0.5139486105246143,0.549475,0.0,8192
M0,D16384,DBP9,train,0.3998636898725865,0.8868956290012817,0.792480074560603,0.636725,0.0,8192
M0,D16384,DBP48,test,-0.2244529339590933,0.1523060408266673,0.2513142365468247,0.4236961848092405,0.0,8192
M1c,D16384,DBP1,train,0.2656277707825754,0.7917317950639756,0.7248069817648959,0.591825,0.0,8192
M1c,D16384,DBP3,train,0.1101005284484658,0.5772325273430555,0.5673679211576349,0.536175,0.0,8192
M1c,D16384,DBP35,train,0.2038080026452075,0.7431292316904803,0.6820928935371552,0.5672033601680084,0.0,8192
M1c,D16384,DBP5,train,0.23921734540470765,0.7652312807854531,0.7091761872957488,0.581225,0.07317073170731707,8192
M1c,D16384,DBP6,train,0.1861930134638235,0.5318174194163536,0.5397312660284467,0.560425,0.0,8192
M1c,D16384,DBP9,train,0.40504352491233125,0.8554323278082864,0.7858035972139324,0.637325,0.0,8192
M1c,D16384,DBP48,test,-0.11802827514091144,0.2300921600740322,0.2836170684749691,0.4607980399019951,0.0,8192
M2,D16384,DBP1,train,0.35602007701568994,0.7614583418300103,0.7498221342781113,0.622525,0.06097560975609756,8192
M2,D16384,DBP3,train,0.1436545739487171,0.4771543007325446,0.560427638000233,0.548275,0.06097560975609756,8192
M2,D16384,DBP35,train,0.2694350527616774,0.6874128769115044,0.6912260297895922,0.5867043352167608,0.012195121951219513,8192
M2,D16384,DBP5,train,0.32054980538704647,0.7507867671647372,0.731716964734873,0.608525,0.08536585365853659,8192
M2,D16384,DBP6,train,0.14716524628936464,0.4322442198161213,0.5335724220380914,0.547525,0.012195121951219513,8192
M2,D16384,DBP9,train,0.40108389823237234,0.8848271377726599,0.8074341276728421,0.632175,0.024390243902439025,8192
M2,D16384,DBP48,test,-0.2533000987676552,0.14659449648622758,0.26280373439562454,0.41554577728886444,0.0,8192
M3,D16384,DBP1,train,0.30250962401363224,0.7864137133555116,0.7379353738264165,0.600675,0.06097560975609756,8192
M3,D16384,DBP3,train,0.08598965341505767,0.4603744962007872,0.5287575035191733,0.524525,0.06097560975609756,8192
M3,D16384,DBP35,train,0.24595264611368417,0.6819493968589625,0.6756745863116895,0.579553977698885,0.012195121951219513,8192
M3,D16384,DBP5,train,0.31356441065060403,0.7832518867861149,0.7392298235540623,0.605425,0.07317073170731707,8192
M3,D16384,DBP6,train,0.08492317667822906,0.41471618197097465,0.4927636712239369,0.530225,0.024390243902439025,8192
M3,D16384,DBP9,train,0.33234916321441715,0.8740791069047715,0.794885198839377,0.615475,0.012195121951219513,8192
M3,D16384,DBP48,test,-0.26898919069919164,0.1459795156661642,0.24095179982182638,0.4135956797839892,0.0,8192
