model,protocol,runtime_seconds,training_proteins,test_proteins
M0,S512,1.7742257000063546,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48
M1c,S512,2.6729460999922594,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48
M2,S512,2.8611969000048703,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48
M3,S512,4.110554599988973,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48
M0,D4096,14.332724800013239,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48
M1c,D4096,23.013786499999696,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48
M2,D4096,31.864901300010388,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48
M3,D4096,50.63034770000377,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48
M0,D16384,56.04559639999934,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48
M1c,D16384,86.58685500000138,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48
M2,D16384,134.39889219999895,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48
M3,D16384,225.84499339999456,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48
