protein_id,left_index,right_index,left_score,right_score,difficulty,protocol
DBP1,7032,3655,-0.11973,0.03685,easy,S512
DBP1,4043,2564,-0.077725,0.085595,easy,S512
DBP1,6557,6380,-0.14206000000000002,0.07859000000000001,easy,S512
DBP1,7004,6381,-0.18599,0.026459999999999997,easy,S512
DBP1,3,5247,0.081265,-0.155935,easy,S512
DBP1,2704,1022,-0.127825,0.13147,easy,S512
DBP1,6114,5918,0.045535000000000006,-0.105605,easy,S512
DBP1,4239,708,-0.1152,0.082455,easy,S512
DBP1,1584,8191,0.08612,-0.08723,easy,S512
DBP1,6223,199,-0.24023,0.081205,easy,S512
DBP1,7951,569,0.06472,-0.09013499999999999,easy,S512
DBP1,7810,2930,-0.14365499999999998,0.16153,easy,S512
DBP1,6830,3454,-0.22101500000000002,0.10198499999999999,easy,S512
DBP1,3223,6297,-0.11621,0.098485,easy,S512
DBP1,7331,1581,0.13334000000000001,-0.042085,easy,S512
DBP1,1683,1459,0.073635,-0.08699000000000001,easy,S512
DBP1,4038,1859,-0.179095,0.03444,easy,S512
DBP1,8055,5303,0.22727,-0.11143499999999999,easy,S512
DBP1,103,3106,-0.20112,-0.006375000000000002,easy,S512
DBP1,7481,3961,0.098365,-0.081535,easy,S512
DBP1,1667,3945,0.44364000000000003,-0.022144999999999998,easy,S512
DBP1,7281,1000,0.11878,-0.05511,easy,S512
DBP1,786,1050,-0.111675,0.10045,easy,S512
DBP1,535,7723,-0.10355,0.095055,easy,S512
DBP1,4186,8007,0.180395,-0.110325,easy,S512
DBP1,5833,487,-0.06293,0.07947,easy,S512
DBP1,1785,3119,-0.16439,0.04313,easy,S512
DBP1,4608,2787,-0.14251999999999998,0.01273,easy,S512
DBP1,2738,4335,0.11446500000000001,-0.066675,easy,S512
DBP1,6706,5297,0.095975,-0.0626,easy,S512
DBP1,204,4239,0.07341500000000001,-0.1152,easy,S512
DBP1,6822,3816,-0.04845,0.19555,easy,S512
DBP1,5114,4799,0.064725,-0.08644,easy,S512
DBP1,4485,4416,0.21152500000000002,-0.11325,easy,S512
DBP1,7159,788,0.023065000000000002,-0.14761,easy,S512
DBP1,6706,6452,0.095975,-0.13910499999999998,easy,S512
DBP1,5078,7864,-0.10849500000000001,0.200325,easy,S512
DBP1,184,4734,0.30145,-0.067915,easy,S512
DBP1,3887,4934,0.0588,-0.16854,easy,S512
DBP1,4289,3835,-0.08285000000000001,0.11368,easy,S512
DBP1,5005,1201,-0.13479,0.04982,easy,S512
DBP1,5973,3015,-0.031380000000000005,0.17938,easy,S512
DBP1,1292,6697,0.029575,-0.14765,easy,S512
