model,protocol,training_pair_count,optimizer_steps,first_epoch_loss,final_epoch_loss,loss_reduction,train_macro_median_spearman,test_macro_median_spearman,test_prediction_variance,nan_inf_count,runtime_seconds,status
M0,S512,3072,432,0.6920980115731558,0.6272577370206515,0.0648402745525043,0.3030732617808186,-0.20299364023121,0.3116868734359741,0,1.7742257000063546,complete
M1c,S512,3072,432,0.6963653564453125,0.616532397766908,0.07983295867840445,0.31163156042983775,-0.16433443269185333,0.3809351325035095,0,2.6729460999922594,complete
M2,S512,3072,432,0.6943297311663628,0.6343707715471586,0.059958959619204166,0.26266343656524227,-0.18326613118926852,0.23300184309482574,0,2.8611969000048703,complete
M3,S512,3072,432,0.696598100165526,0.6191815336545309,0.07741656651099516,0.3057908170049427,-0.25593261407618806,0.48349934816360474,0,4.110554599988973,complete
M0,D4096,24576,3456,0.6832035882398486,0.660734796586136,0.022468791653712628,0.33301482648719494,-0.2733872380523387,0.09306179732084274,0,14.332724800013239,complete
M1c,D4096,24576,3456,0.6848673410713673,0.6622528253744046,0.02261451569696271,0.3194114758531861,-0.18191712637179852,0.07020826637744904,0,23.013786499999696,complete
M2,D4096,24576,3456,0.6822202339147528,0.6633704168101152,0.018849817104637623,0.30205245480980303,-0.3287124280533806,0.11268385499715805,0,31.864901300010388,complete
M3,D4096,24576,3456,0.6804838655516505,0.6704394758368531,0.010044389714797375,0.28886263977299453,-0.29310276085156417,0.05645376816391945,0,50.63034770000377,complete
M0,D16384,98304,13824,0.6606767866760492,0.6468367562629282,0.013840030413120985,0.272157976282269,-0.2244529339590933,0.2445930540561676,0,56.04559639999934,complete
M1c,D16384,98304,13824,0.6647890888464948,0.6470154153648764,0.0177736734816184,0.22151267402495756,-0.11802827514091144,0.213448166847229,0,86.58685500000138,complete
M2,D16384,98304,13824,0.66619449093317,0.6478072002064437,0.01838729072672629,0.29499242907436196,-0.2533000987676552,0.17401671409606934,0,134.39889219999895,complete
M3,D16384,98304,13824,0.6625365042127669,0.6519155621839067,0.010620942028860214,0.2742311350636582,-0.26898919069919164,0.1981199085712433,0,225.84499339999456,complete
