protein_id,left_index,right_index,left_score,right_score,difficulty
DBP1,126,5333,-0.128975,0.051705,easy
DBP1,7826,260,-0.086605,0.047555,easy
DBP1,5696,7370,-0.21651,0.238605,easy
DBP1,6931,5901,0.367485,-0.207205,easy
DBP1,318,1988,-0.10319,0.11066499999999999,easy
DBP1,7245,876,-0.056235,0.22793999999999998,easy
DBP1,4181,6801,-0.007100000000000002,-0.23269,easy
DBP1,5753,1614,0.05242,-0.20266,easy
DBP1,4931,1179,-0.05661,0.08909,easy
DBP1,5384,5037,-0.14049999999999999,0.08664,easy
DBP1,889,1040,-0.037975,0.210335,easy
DBP1,1371,6740,0.031975,-0.11416,easy
DBP1,6690,6727,-0.15831,0.15814999999999999,easy
DBP1,7546,5191,0.08924499999999999,-0.062435,easy
DBP1,995,5582,0.16525499999999999,-0.051295,easy
DBP1,3408,6833,-0.11380499999999999,0.0937,easy
DBP1,1994,7212,0.0099,-0.201385,easy
DBP1,3194,7820,0.052239999999999995,-0.103325,easy
DBP1,6494,7621,0.145185,-0.046405,easy
DBP1,2253,4130,-0.10759,0.13951,easy
DBP1,3980,4077,-0.08047,0.07659,easy
DBP1,5577,5997,-0.107785,0.06834,easy
DBP1,686,6864,-0.108,0.060149999999999995,easy
DBP1,4986,8143,-0.05503,0.132,easy
DBP1,753,6910,0.100355,-0.056275000000000006,easy
DBP1,1298,1963,0.135655,-0.164445,easy
DBP1,1850,5262,-0.07623,0.10730999999999999,easy
DBP1,3997,742,0.057025,-0.12255,easy
DBP1,629,3354,0.11653000000000001,-0.043185,easy
DBP1,6122,2228,0.06636,-0.12343000000000001,easy
DBP1,3577,2276,0.04387,-0.18329,easy
DBP1,5834,1912,-0.14885500000000002,0.03416,easy
DBP1,4503,4284,0.114315,-0.13006,easy
DBP1,3532,6431,0.171965,-0.11938499999999999,easy
DBP1,4195,6500,0.07869999999999999,-0.109215,easy
DBP1,38,847,0.0912,-0.157775,easy
DBP1,1183,6116,0.237985,-0.09758,easy
DBP1,5104,2816,0.10617499999999999,-0.07555,easy
DBP1,7687,3171,0.07095499999999999,-0.090985,easy
DBP1,5529,3738,-0.10993,0.178145,easy
DBP1,6010,2835,-0.110745,0.13929999999999998,easy
DBP1,8167,295,0.10258500000000001,-0.097795,easy
DBP1,1712,6252,0.11005999999999999,-0.08859,easy
DBP1,6286,6436,0.133385,-0.15789,easy
DBP1,6028,8072,-0.074205,0.245025,easy
DBP1,2980,7702,0.024505,-0.12126499999999998,easy
DBP1,1172,4521,0.071265,-0.10622,easy
DBP1,4040,422,0.00686,-0.17089,easy
DBP1,6991,3641,-0.046955,0.11113999999999999,easy
DBP1,7606,1366,0.174295,-0.06903000000000001,easy
DBP1,3865,7299,0.06537,-0.11269,easy
DBP1,4589,8156,-0.11734,0.07517,easy
DBP1,5487,7968,0.07128999999999999,-0.082845,easy
DBP1,224,3758,0.06998,-0.09423999999999999,easy
DBP1,1007,1723,0.11602000000000001,-0.057905,easy
DBP1,3503,4272,-0.02461499999999999,0.25982,easy
DBP1,5424,1050,-0.148385,0.10045,easy
DBP1,4390,5960,0.069635,-0.118045,easy
DBP1,1210,1349,0.10005,-0.083425,easy
DBP1,5782,3309,-0.08885,0.07418,easy
DBP1,925,2753,0.373115,-0.24147,easy
DBP1,7270,7187,0.16791,-0.143845,easy
DBP1,3764,4056,-0.052575,0.099325,easy
DBP1,1893,5098,0.104365,-0.108595,easy
DBP1,6400,1267,0.082775,-0.09806999999999999,easy
DBP1,3783,2198,0.23462,-0.09706,easy
DBP1,569,5652,-0.09013499999999999,0.06985,easy
DBP1,2228,536,-0.12343000000000001,0.11316999999999999,easy
DBP1,881,974,-0.048644999999999994,0.12426499999999999,easy
DBP1,6289,5837,0.10908,-0.0654,easy
DBP1,7841,4802,0.102415,-0.094605,easy
DBP1,1925,1397,-0.070275,0.11906,easy
DBP1,7945,1628,0.06408,-0.0959,easy
DBP1,7141,6388,0.18656499999999998,-0.07407000000000001,easy
DBP1,3795,4783,0.15459,-0.06619,easy
DBP1,287,3894,-0.07183,0.108235,easy
DBP1,128,5156,-0.00689,-0.229385,easy
DBP1,1285,5265,0.06053,-0.075875,easy
DBP1,6787,3229,-0.09662499999999999,0.11569499999999999,easy
DBP1,1820,3378,-0.15279500000000001,0.09247,easy
DBP1,5540,6330,0.17513499999999999,-0.084505,easy
DBP1,4865,5801,-0.007709999999999995,-0.260055,easy
DBP1,5867,1755,-0.07153999999999999,0.15382,easy
DBP1,5754,1956,0.1182,-0.18473,easy
DBP1,2975,1520,0.186795,-0.029840000000000002,easy
DBP1,5595,1770,-0.06964,0.102675,easy
DBP1,5704,476,0.09462,-0.09143499999999999,easy
DBP1,76,7625,0.091415,-0.11832000000000001,easy
DBP1,7010,4272,-0.024525,0.25982,easy
DBP1,3588,6490,-0.11835999999999999,0.46279000000000003,easy
DBP1,275,7495,-0.04548,0.169425,easy
DBP1,2626,6719,0.05888,-0.13279,easy
DBP1,4141,7458,-0.1187,0.073075,easy
DBP1,4389,3455,0.089195,-0.086085,easy
DBP1,2304,3581,-0.06858500000000001,0.076855,easy
DBP1,2255,1296,-0.181855,0.034999999999999996,easy
DBP1,7026,3882,-0.140015,0.037610000000000005,easy
DBP1,7888,7382,0.13052999999999998,-0.05759,easy
DBP1,692,7816,0.04716,-0.097265,easy
DBP1,7633,2580,0.215605,-0.0655,easy
DBP1,3924,5338,0.09671500000000001,-0.110185,easy
DBP1,5878,2467,0.063375,-0.10060500000000001,easy
DBP1,136,7170,0.08480499999999999,-0.083665,easy
DBP1,203,6657,0.18024,-0.085715,easy
DBP1,1697,4098,0.06318,-0.13226500000000002,easy
DBP1,2511,2246,0.079175,-0.121845,easy
DBP1,3202,3644,0.122545,-0.08671,easy
DBP1,5855,5930,0.040355,-0.099935,easy
DBP1,4902,6312,-0.1386,0.105525,easy
DBP1,69,5859,0.03534,-0.135955,easy
DBP1,4186,4501,0.180395,-0.14101,easy
DBP1,2905,2488,0.03925,-0.09486,easy
DBP1,2782,5687,0.023450000000000002,-0.230375,easy
DBP1,7083,7514,-0.03814,0.119,easy
DBP1,1793,1733,0.18034,-0.030824999999999998,easy
DBP1,7231,3110,0.18047,-0.15188000000000001,easy
DBP1,7102,7864,-0.118385,0.200325,easy
DBP1,4023,1202,-0.149785,0.21567,easy
DBP1,5366,1176,-0.21449000000000001,0.092135,easy
DBP1,3656,268,-0.06842,0.163375,easy
DBP1,2032,1907,-0.08754,0.11385,easy
DBP1,7840,5551,0.20781,-0.066085,easy
DBP1,3375,2530,0.203155,-0.02525,easy
DBP1,248,3159,-0.07237,0.08236500000000001,easy
