split_type,fold_id,seed,dbp_id,replacement_protein_id,prediction_correlation,mean_abs_score_change,protein_conditioning_effect_size,retrained
protein_cluster_loco,protein_cluster_loco_fold_1,17,DBP1,DBP3,0.9999999695758061,0.0007002959027886391,3.042419394194695e-08,False
protein_cluster_loco,protein_cluster_loco_fold_1,17,DBP3,DBP35,0.9999999632061878,0.004906914196908474,3.679381221921574e-08,False
protein_cluster_loco,protein_cluster_loco_fold_1,29,DBP1,DBP3,0.999999481226081,0.004282963462173939,5.187739190448681e-07,False
protein_cluster_loco,protein_cluster_loco_fold_1,29,DBP3,DBP35,0.9999996250610278,0.0032648062333464622,3.749389722029761e-07,False
protein_cluster_loco,protein_cluster_loco_fold_1,43,DBP1,DBP3,0.9999989764473286,0.0031592578161507845,1.0235526713975318e-06,False
protein_cluster_loco,protein_cluster_loco_fold_1,43,DBP3,DBP35,0.9999990060876564,0.0036410538014024496,9.93912343649761e-07,False
protein_cluster_loco,protein_cluster_loco_fold_2,17,DBP35,DBP48,0.9999725243914019,0.3272111117839813,2.7475608598059864e-05,False
protein_cluster_loco,protein_cluster_loco_fold_2,17,DBP5,DBP6,0.9994940056648587,0.8554995656013489,0.0005059943351413132,False
protein_cluster_loco,protein_cluster_loco_fold_2,29,DBP35,DBP48,0.9999999990212676,0.0009492606041021645,9.787324284360466e-10,False
protein_cluster_loco,protein_cluster_loco_fold_2,29,DBP5,DBP6,0.9999999978818137,0.0007842099294066429,2.118186293031954e-09,False
protein_cluster_loco,protein_cluster_loco_fold_2,43,DBP35,DBP48,0.9916036425244003,0.04853712022304535,0.008396357475599747,False
protein_cluster_loco,protein_cluster_loco_fold_2,43,DBP5,DBP6,0.9990268416922071,0.06648050248622894,0.0009731583077928763,False
protein_cluster_loco,protein_cluster_loco_fold_3,17,DBP48,DBP5,0.9999996497461824,0.03135551139712334,3.502538176158865e-07,False
protein_cluster_loco,protein_cluster_loco_fold_3,29,DBP48,DBP5,0.9999999384570599,0.0010232673957943916,6.154294007743033e-08,False
protein_cluster_loco,protein_cluster_loco_fold_3,43,DBP48,DBP5,0.9999928207136178,0.013516051694750786,7.17928638216403e-06,False
protein_cluster_loco,protein_cluster_loco_fold_4,17,DBP6,DBP9,0.9999999998494751,1.1382216143829282e-05,1.5052492585709842e-10,False
protein_cluster_loco,protein_cluster_loco_fold_4,17,DBP9,DBP1,0.9999999980257678,4.426221130415797e-05,1.9742322221460995e-09,False
protein_cluster_loco,protein_cluster_loco_fold_4,29,DBP6,DBP9,0.9999999993130293,0.00010282960283802822,6.869707025458638e-10,False
protein_cluster_loco,protein_cluster_loco_fold_4,29,DBP9,DBP1,0.9999999967487758,0.00017942485283128917,3.2512241787685525e-09,False
protein_cluster_loco,protein_cluster_loco_fold_4,43,DBP6,DBP9,0.9999999995228867,3.425058093853295e-05,4.771133488290502e-10,False
protein_cluster_loco,protein_cluster_loco_fold_4,43,DBP9,DBP1,0.9999999952385906,0.00011419755173847079,4.761409377884718e-09,False
