category,count,fraction_of_reference_1515,fraction_of_denominator,denominator_n,reference_population,n_proteins,proteins,experimental_score_median,target_hamming_median,target_edit_median,target_kmer_overlap_median,gc_fraction_median,experimental_percentile_available,interpretation
sequence_only_rescued,164,0.1082508250825082,0.1082508250825082,1515,1515 preregistered hard cases,6,DBP1|DBP3|DBP35|DBP48|DBP5|DBP6,0.251285,0.4285714285714286,0.5714285714285714,0.1428571428571428,0.5714285714285714,False,"pre-registered subset; ranking discrepancy, not binding failure"
conditional_m1c_rescued,154,0.1016501650165016,0.1016501650165016,1515,1515 preregistered hard cases,7,DBP1|DBP3|DBP35|DBP48|DBP5|DBP6|DBP9,0.24353,0.5714285714285714,0.5714285714285714,0.1428571428571428,0.5714285714285714,False,"pre-registered subset; ranking discrepancy, not binding failure"
conditional_m2_rescued,118,0.0778877887788778,0.0778877887788778,1515,1515 preregistered hard cases,7,DBP1|DBP3|DBP35|DBP48|DBP5|DBP6|DBP9,0.2286174999999999,0.4285714285714286,0.5714285714285714,0.125,0.3571428571428571,False,"pre-registered subset; ranking discrepancy, not binding failure"
joint_conditional_rescued,99,0.0653465346534653,0.0653465346534653,1515,1515 preregistered hard cases,6,DBP1|DBP3|DBP35|DBP48|DBP5|DBP6,0.22567,0.5714285714285714,0.5714285714285714,0.125,0.2857142857142857,False,"pre-registered subset; ranking discrepancy, not binding failure"
all_model_failure,871,0.574917491749175,0.574917491749175,1515,1515 preregistered hard cases,7,DBP1|DBP3|DBP35|DBP48|DBP5|DBP6|DBP9,0.246415,0.5714285714285714,0.5714285714285714,0.1666666666666666,0.5714285714285714,False,"pre-registered subset; ranking discrepancy, not binding failure"
protein_sensitive_cases,1,,0.0476190476190476,21,21 v0.6 inference-only shuffle rows,7,DBP1|DBP3|DBP35|DBP48|DBP5|DBP6|DBP9,,,,,,False,inference-only shuffle sensitivity threshold <0.995; 21 eligible rows
target_sensitive_cases,10,,0.4761904761904761,21,21 v0.6 inference-only shuffle rows,7,DBP1|DBP3|DBP35|DBP48|DBP5|DBP6|DBP9,,,,,,False,inference-only shuffle sensitivity threshold <0.995; 21 eligible rows
motif_near_target,144,0.095049504950495,0.1653272101033295,871,871 all-model-failure subset,7,DBP1|DBP3|DBP35|DBP48|DBP5|DBP6|DBP9,0.27995,0.7142857142857143,0.7142857142857143,0.6,0.5714285714285714,True,fixed descriptive stratum: target k-mer overlap >= 0.50
highly_dissimilar_off_target,50,0.033003300330033,0.0574052812858783,871,871 all-model-failure subset,7,DBP1|DBP3|DBP35|DBP48|DBP5|DBP6|DBP9,0.25142,0.8571428571428572,0.8571428571428572,0.775,0.5714285714285714,True,fixed descriptive stratum: target Hamming distance >= 6/7
high_experimental_low_predicted,481,0.3174917491749175,0.5522388059701493,871,871 all-model-failure subset,7,DBP1|DBP3|DBP35|DBP48|DBP5|DBP6|DBP9,0.269985,0.5714285714285714,0.5714285714285714,0.2,0.5714285714285714,True,experimental top decile with M3 at/below median within protein
low_experimental_high_predicted,0,0.0,0.0,871,871 all-model-failure subset,0,,,,,,,True,experimental bottom decile with M3 at/above 90th percentile
DeepPBS_structure_evaluable,398,0.2627062706270627,1.0,398,1515 hard cases; eligible structure subset,2,DBP35|DBP48,,,,,,True,"structure coverage, not universal structure-method failure"
NA-MPNN_structure_evaluable,398,0.2627062706270627,1.0,398,1515 hard cases; eligible structure subset,2,DBP35|DBP48,,,,,,True,"structure coverage, not universal structure-method failure"
