simulation,replicate,n_training_proteins,n_dna_per_protein,n_test_proteins,model_capacity_parameters,held_out_spearman_median,protein_shuffle_correlation_median,protein_shuffle_effect_size,simulation_only,interpretation,stage
synthetic_low_rank_protein_specific_landscapes,0,2,256,20,96,0.4509366416800182,0.7717326619363698,0.2282673380636302,True,DNA observations held high; only independent protein units vary,v0.8_reused_simulation
synthetic_low_rank_protein_specific_landscapes,0,3,256,20,96,0.6192024061570153,0.2323357747768367,0.7676642252231632,True,DNA observations held high; only independent protein units vary,v0.8_reused_simulation
synthetic_low_rank_protein_specific_landscapes,0,4,256,20,96,0.6338067206454565,0.5189059281300068,0.4810940718699932,True,DNA observations held high; only independent protein units vary,v0.8_reused_simulation
synthetic_low_rank_protein_specific_landscapes,0,5,256,20,96,0.8005614843213549,0.2056380893797207,0.7943619106202793,True,DNA observations held high; only independent protein units vary,v0.8_reused_simulation
synthetic_low_rank_protein_specific_landscapes,0,10,256,20,96,0.999572270542458,0.3901643682764933,0.6098356317235066,True,DNA observations held high; only independent protein units vary,v0.8_reused_simulation
synthetic_low_rank_protein_specific_landscapes,0,20,256,20,96,0.9999045119020368,0.3857669089036392,0.6142330910963608,True,DNA observations held high; only independent protein units vary,v0.8_reused_simulation
synthetic_low_rank_protein_specific_landscapes,0,40,256,20,96,0.999968170634012,0.3867056963836117,0.6132943036163883,True,DNA observations held high; only independent protein units vary,v0.8_reused_simulation
synthetic_low_rank_protein_specific_landscapes,0,80,256,20,96,0.9999724622339206,0.3849361266880292,0.6150638733119708,True,DNA observations held high; only independent protein units vary,v0.8_reused_simulation
synthetic_low_rank_protein_specific_landscapes,1,2,256,20,96,0.4636862697413595,0.1841876001373311,0.8158123998626688,True,DNA observations held high; only independent protein units vary,v0.8_reused_simulation
synthetic_low_rank_protein_specific_landscapes,1,3,256,20,96,0.6883801356145569,0.4653210116731516,0.5346789883268483,True,DNA observations held high; only independent protein units vary,v0.8_reused_simulation
synthetic_low_rank_protein_specific_landscapes,1,4,256,20,96,0.8062732461661706,-0.1826061455710688,1.1826061455710688,True,DNA observations held high; only independent protein units vary,v0.8_reused_simulation
synthetic_low_rank_protein_specific_landscapes,1,5,256,20,96,0.7478956855115586,0.0361567292286564,0.9638432707713436,True,DNA observations held high; only independent protein units vary,v0.8_reused_simulation
synthetic_low_rank_protein_specific_landscapes,1,10,256,20,96,0.9986831940947584,0.1638901207370107,0.8361098792629893,True,DNA observations held high; only independent protein units vary,v0.8_reused_simulation
synthetic_low_rank_protein_specific_landscapes,1,20,256,20,96,0.9998823386358432,0.161509713321126,0.8384902866788739,True,DNA observations held high; only independent protein units vary,v0.8_reused_simulation
synthetic_low_rank_protein_specific_landscapes,1,40,256,20,96,0.999938129434653,0.1602268825818264,0.8397731174181735,True,DNA observations held high; only independent protein units vary,v0.8_reused_simulation
synthetic_low_rank_protein_specific_landscapes,1,80,256,20,96,0.999970674067292,0.1618115558480201,0.8381884441519799,True,DNA observations held high; only independent protein units vary,v0.8_reused_simulation
synthetic_low_rank_protein_specific_landscapes,2,2,256,20,96,0.5095470216296635,-0.1981267166399633,1.1981267166399634,True,DNA observations held high; only independent protein units vary,v0.8_reused_simulation
synthetic_low_rank_protein_specific_landscapes,2,3,256,20,96,0.5776843957427329,0.0317192149233234,0.9682807850766766,True,DNA observations held high; only independent protein units vary,v0.8_reused_simulation
synthetic_low_rank_protein_specific_landscapes,2,4,256,20,96,0.6591335975051498,-0.039152981231403,1.039152981231403,True,DNA observations held high; only independent protein units vary,v0.8_reused_simulation
synthetic_low_rank_protein_specific_landscapes,2,5,256,20,96,0.7998100967040511,-0.1587316176470588,1.1587316176470588,True,DNA observations held high; only independent protein units vary,v0.8_reused_simulation
synthetic_low_rank_protein_specific_landscapes,2,10,256,20,96,0.9997657501716636,-0.3085023746852826,1.3085023746852826,True,DNA observations held high; only independent protein units vary,v0.8_reused_simulation
synthetic_low_rank_protein_specific_landscapes,2,20,256,20,96,0.9998916371023115,-0.3137717441062027,1.313771744106203,True,DNA observations held high; only independent protein units vary,v0.8_reused_simulation
