method,protein_a,protein_b,landscape_spearman,landscape_pearson,n_shared_candidates,conditioning_effect_pair
NA-MPNN specificity PPM,DBP1,DBP3,0.3396048148316234,0.365914799887625,8192,0.6603951851683766
NA-MPNN specificity PPM,DBP1,DBP35,-0.29405041652509867,-0.2798765223639654,8192,1.2940504165250988
NA-MPNN specificity PPM,DBP1,DBP48,-0.0568865596688096,-0.06249910136280839,8192,1.0568865596688095
NA-MPNN specificity PPM,DBP1,DBP5,-0.27373606706250186,-0.25413259517603154,8192,1.2737360670625018
NA-MPNN specificity PPM,DBP1,DBP6,-0.010347257798939129,0.0037828267429744072,8192,1.0103472577989392
NA-MPNN specificity PPM,DBP1,DBP9,0.011770975522136417,0.022858492847909934,8192,0.9882290244778635
NA-MPNN specificity PPM,DBP3,DBP35,-0.10474704904861541,-0.1158493610508716,8192,1.1047470490486153
NA-MPNN specificity PPM,DBP3,DBP48,-0.10119950102857966,-0.1043326853171611,8192,1.1011995010285798
NA-MPNN specificity PPM,DBP3,DBP5,-0.1792612340732522,-0.19537827141435385,8192,1.1792612340732522
NA-MPNN specificity PPM,DBP3,DBP6,-0.12585257729912758,-0.14119110314712513,8192,1.1258525772991277
NA-MPNN specificity PPM,DBP3,DBP9,-0.15785384054677462,-0.1499439221036101,8192,1.1578538405467746
NA-MPNN specificity PPM,DBP35,DBP48,0.00590010116199415,0.0005007283354502881,8192,0.9940998988380059
NA-MPNN specificity PPM,DBP35,DBP5,0.7591297330196372,0.7833555294490032,8192,0.24087026698036285
NA-MPNN specificity PPM,DBP35,DBP6,0.07765844828859919,0.07109741861138995,8192,0.9223415517114009
NA-MPNN specificity PPM,DBP35,DBP9,-0.017251845204240668,-0.02358539021508671,8192,1.0172518452042407
NA-MPNN specificity PPM,DBP48,DBP5,0.16999139190842374,0.18937518187187188,8192,0.8300086080915763
NA-MPNN specificity PPM,DBP48,DBP6,0.5573156831697453,0.6232994788744713,8192,0.44268431683025466
NA-MPNN specificity PPM,DBP48,DBP9,0.5830148218011482,0.6449525248070316,8192,0.41698517819885184
NA-MPNN specificity PPM,DBP5,DBP6,0.3419301030173145,0.3789897309549505,8192,0.6580698969826855
NA-MPNN specificity PPM,DBP5,DBP9,0.27429706795927195,0.31061462107661303,8192,0.725702932040728
NA-MPNN specificity PPM,DBP6,DBP9,0.7859685063934266,0.8836460090108617,8192,0.21403149360657336
