protein_id,method,v0_8_status,v1_0_structure_status,coverage_failure_class,reason,biological_limitation_inferred,action
DBP1,DeepPBS,not_evaluable_missing_structure_prediction,structure_available,previous_pipeline_resource_audit_gap,historical v0.8 search omitted Nature Supplementary Data 6; structure now available,False,re-audit/re-run with frozen method
DBP1,NA-MPNN,not_evaluable_missing_structure_prediction,structure_available,previous_pipeline_resource_audit_gap,historical v0.8 search omitted Nature Supplementary Data 6; structure now available,False,re-audit/re-run with frozen method
DBP3,DeepPBS,not_evaluable_missing_structure_prediction,structure_available,previous_pipeline_resource_audit_gap,historical v0.8 search omitted Nature Supplementary Data 6; structure now available,False,re-audit/re-run with frozen method
DBP3,NA-MPNN,not_evaluable_missing_structure_prediction,structure_available,previous_pipeline_resource_audit_gap,historical v0.8 search omitted Nature Supplementary Data 6; structure now available,False,re-audit/re-run with frozen method
DBP5,DeepPBS,not_evaluable_missing_structure_prediction,structure_available,previous_pipeline_resource_audit_gap,historical v0.8 search omitted Nature Supplementary Data 6; structure now available,False,re-audit/re-run with frozen method
DBP5,NA-MPNN,not_evaluable_missing_structure_prediction,structure_available,previous_pipeline_resource_audit_gap,historical v0.8 search omitted Nature Supplementary Data 6; structure now available,False,re-audit/re-run with frozen method
DBP6,DeepPBS,not_evaluable_missing_structure_prediction,structure_available,previous_pipeline_resource_audit_gap,historical v0.8 search omitted Nature Supplementary Data 6; structure now available,False,re-audit/re-run with frozen method
DBP6,NA-MPNN,not_evaluable_missing_structure_prediction,structure_available,previous_pipeline_resource_audit_gap,historical v0.8 search omitted Nature Supplementary Data 6; structure now available,False,re-audit/re-run with frozen method
DBP9,DeepPBS,not_evaluable_missing_structure_prediction,structure_available,previous_pipeline_resource_audit_gap,historical v0.8 search omitted Nature Supplementary Data 6; structure now available,False,re-audit/re-run with frozen method
DBP9,NA-MPNN,not_evaluable_missing_structure_prediction,structure_available,previous_pipeline_resource_audit_gap,historical v0.8 search omitted Nature Supplementary Data 6; structure now available,False,re-audit/re-run with frozen method
DBP35,DeepPBS,evaluated,structure_available,previous_pipeline_resource_audit_gap,historical v0.8 search omitted Nature Supplementary Data 6; structure now available,False,re-audit/re-run with frozen method
DBP35,NA-MPNN,evaluated,structure_available,previous_pipeline_resource_audit_gap,historical v0.8 search omitted Nature Supplementary Data 6; structure now available,False,re-audit/re-run with frozen method
DBP48,DeepPBS,evaluated,structure_available,previous_pipeline_resource_audit_gap,historical v0.8 search omitted Nature Supplementary Data 6; structure now available,False,re-audit/re-run with frozen method
DBP48,NA-MPNN,evaluated,structure_available,previous_pipeline_resource_audit_gap,historical v0.8 search omitted Nature Supplementary Data 6; structure now available,False,re-audit/re-run with frozen method
