source_file,purpose,proteins_covered,assay,raw_processed_derived,dimensions,sha256,url,doi
results/v1_0_structure/nampnn_results.csv,DeepPBS/NA-MPNN/target/PBM source,DBP001|DBP003|DBP005|DBP006|DBP009|DBP035|DBP048,structure/model metadata,processed,"(100, 57344)",404ef088a553ba41360f0c92cc53ea0b4ae91678fab9157afbcf8d76dc4924bc,,
data/processed/v0_3_1/designed_dbp_upbm_rc_class_v0_3_1.parquet,DeepPBS/NA-MPNN/target/PBM source,see source metadata,uPBM,processed,schema inspected,63e8f790df05b825058e5e3ced73c522341c87dcadcdd349e356e70559f47f0a,,
metadata/v0_3_1/designed_dbp_target_definitions.csv,DeepPBS/NA-MPNN/target/PBM source,see source metadata,structure/model metadata,processed,schema inspected,3bc2e2f28babd53346a2607920ac4c010eb24534f1f0e056fc815ab108aad413,,
data/raw/v0_3_1/41594_2025_1669_MOESM12_ESM.xlsx,DeepPBS/NA-MPNN/target/PBM source,see source metadata,uPBM,raw,,496eccd6204e320f5bc778905feb3ec1c13754c4dd5dddb220f9c7c16a02cf8e,,
data/raw/v0_3_1/41594_2025_1669_MOESM20_ESM.xls,DeepPBS/NA-MPNN/target/PBM source,see source metadata,structure/model metadata,raw,,4e1aea8e0593cb4108ad7e2b5d03ac2181321cdca81b7044c474e463a4012d28,,
data/raw/gse237017/nature_41594_2025_1669_MOESM3_ESM.xlsx,DeepPBS/NA-MPNN/target/PBM source,see source metadata,structure/model metadata,raw,,20574e1685a2075bf086612865271338d7cd2a3d4e13bfd6b2608ed0356cf1fb,,
frozen_design7_20260914.tar.gz,DeepPBS/NA-MPNN/target/PBM source,see source metadata,structure/model metadata,raw,,3b216f9ca60e92b610352bbe6af392b65a55deb4bd707e978746a091730ea335,,
data/raw/v1_1_deeppbs/frozen_design7_20260914/predictions/DBP001.npz_predict.npz,DeepPBS/NA-MPNN/target/PBM source,DBP001|DBP003|DBP005|DBP006|DBP009|DBP035|DBP048,structure/model metadata,raw,,c0f90e8d43c4377483d8e907c772b0631cbb57a212acf23f55be4a73e2e0391c,,
data/raw/v1_1_deeppbs/frozen_design7_20260914/predictions/DBP003.npz_predict.npz,DeepPBS/NA-MPNN/target/PBM source,DBP001|DBP003|DBP005|DBP006|DBP009|DBP035|DBP048,structure/model metadata,raw,,448ab1a5928e1522674a1459c25147737243f6ca67c03f870111c6b77faca048,,
data/raw/v1_1_deeppbs/frozen_design7_20260914/predictions/DBP005.npz_predict.npz,DeepPBS/NA-MPNN/target/PBM source,DBP001|DBP003|DBP005|DBP006|DBP009|DBP035|DBP048,structure/model metadata,raw,,3448f9cbb29ceaed3a761f1719d487bf72777e44747a431c95656d0ce548555a,,
data/raw/v1_1_deeppbs/frozen_design7_20260914/predictions/DBP006.npz_predict.npz,DeepPBS/NA-MPNN/target/PBM source,DBP001|DBP003|DBP005|DBP006|DBP009|DBP035|DBP048,structure/model metadata,raw,,0e7363f0b7de97d0dd43a46ff35c8a1d0cac06849ea08b0f5adbd9ad5843c00f,,
data/raw/v1_1_deeppbs/frozen_design7_20260914/predictions/DBP009.npz_predict.npz,DeepPBS/NA-MPNN/target/PBM source,DBP001|DBP003|DBP005|DBP006|DBP009|DBP035|DBP048,structure/model metadata,raw,,194d27c8fdf50315364c9e95740fedf796ebbcab78409a77c0d22ed0aa44c924,,
data/raw/v1_1_deeppbs/frozen_design7_20260914/predictions/DBP035.npz_predict.npz,DeepPBS/NA-MPNN/target/PBM source,DBP001|DBP003|DBP005|DBP006|DBP009|DBP035|DBP048,structure/model metadata,raw,,742d81f9141ffbc543b2ec6cf9adedb9cc857a0b8a206987c6417296561881fe,,
data/raw/v1_1_deeppbs/frozen_design7_20260914/predictions/DBP048.npz_predict.npz,DeepPBS/NA-MPNN/target/PBM source,DBP001|DBP003|DBP005|DBP006|DBP009|DBP035|DBP048,structure/model metadata,raw,,42a613ecbb9f2ad8fd00a50e610c9e26a9b21c63c86eb92552c761d6a24b9d71,,
data/raw/v1_1_competition/source_data_extended_data_fig3.xls,Glasscock Extended Data Fig. 3 full competition assay source,DBP001|DBP003|DBP005|DBP006|DBP009|DBP023|DBP035|DBP048|DBP056|DBP062,yeast-display competition,raw,10 sheets; 13/14 positions; 3 substitutions per position,5ba651f551af207beb1fb91be255317242bd93b213d5b35de7a032cf1b76ace0,https://pmc.ncbi.nlm.nih.gov/articles/instance/12618268/bin/41594_2025_1669_MOESM16_ESM.xls,10.1038/s41594-025-01669-4
