method	protein_a	protein_b	spearman	n
DeepPBS	DBP001	DBP003	0.4340457540451149	8192
DeepPBS	DBP001	DBP005	0.32913514586157383	8192
DeepPBS	DBP001	DBP006	-0.22800454615173882	8192
DeepPBS	DBP001	DBP009	-0.06136045352953231	8192
DeepPBS	DBP001	DBP035	0.32394460129899777	8192
DeepPBS	DBP001	DBP048	-0.15281267400831244	8192
DeepPBS	DBP003	DBP005	0.2799929230926901	8192
DeepPBS	DBP003	DBP006	-0.37105694757283075	8192
DeepPBS	DBP003	DBP009	0.012602215791480105	8192
DeepPBS	DBP003	DBP035	0.2711516676813962	8192
DeepPBS	DBP003	DBP048	0.23643650261672128	8192
DeepPBS	DBP005	DBP006	0.23061801222724676	8192
DeepPBS	DBP005	DBP009	0.39739170265135326	8192
DeepPBS	DBP005	DBP035	0.8850873609747134	8192
DeepPBS	DBP005	DBP048	-0.05441180066871579	8192
DeepPBS	DBP006	DBP009	0.6584006724690304	8192
DeepPBS	DBP006	DBP035	0.31670345015742835	8192
DeepPBS	DBP006	DBP048	-0.2793679837060746	8192
DeepPBS	DBP009	DBP035	0.47644442364804984	8192
DeepPBS	DBP009	DBP048	-0.22113605574040154	8192
DeepPBS	DBP035	DBP048	-0.2925289161728813	8192
NA-MPNN	DBP001	DBP003	0.3396048148316234	8192
NA-MPNN	DBP001	DBP005	-0.27373606706250186	8192
NA-MPNN	DBP001	DBP006	-0.010347257798939129	8192
NA-MPNN	DBP001	DBP009	0.011770975522136417	8192
NA-MPNN	DBP001	DBP035	-0.29405041652509867	8192
NA-MPNN	DBP001	DBP048	-0.0568865596688096	8192
NA-MPNN	DBP003	DBP005	-0.1792612340732522	8192
NA-MPNN	DBP003	DBP006	-0.12585257729912758	8192
NA-MPNN	DBP003	DBP009	-0.15785384054677462	8192
NA-MPNN	DBP003	DBP035	-0.10474704904861541	8192
NA-MPNN	DBP003	DBP048	-0.10119950102857966	8192
NA-MPNN	DBP005	DBP006	0.3419301030173145	8192
NA-MPNN	DBP005	DBP009	0.27429706795927195	8192
NA-MPNN	DBP005	DBP035	0.7591297330196372	8192
NA-MPNN	DBP005	DBP048	0.16999139190842374	8192
NA-MPNN	DBP006	DBP009	0.7859685063934266	8192
NA-MPNN	DBP006	DBP035	0.07765844828859919	8192
NA-MPNN	DBP006	DBP048	0.5573156831697453	8192
NA-MPNN	DBP009	DBP035	-0.017251845204240668	8192
NA-MPNN	DBP009	DBP048	0.5830148218011482	8192
NA-MPNN	DBP035	DBP048	0.00590010116199415	8192
