protein	null_type	permutation	spearman
DBP001	all_mutation_shuffle	0	0.17874493927125507
DBP001	all_mutation_shuffle	1	-0.09777327935222672
DBP001	all_mutation_shuffle	2	-0.1645748987854251
DBP001	all_mutation_shuffle	3	-0.3751012145748988
DBP001	all_mutation_shuffle	4	-0.07914979757085021
DBP001	all_mutation_shuffle	5	0.20789473684210527
DBP001	all_mutation_shuffle	6	0.020242914979757085
DBP001	all_mutation_shuffle	7	-0.0854251012145749
DBP001	all_mutation_shuffle	8	0.11497975708502024
DBP001	all_mutation_shuffle	9	0.1091093117408907
DBP001	all_mutation_shuffle	10	0.16093117408906882
DBP001	all_mutation_shuffle	11	-0.2097165991902834
DBP001	all_mutation_shuffle	12	0.42186234817813767
DBP001	all_mutation_shuffle	13	0.3303643724696356
DBP001	all_mutation_shuffle	14	0.18603238866396762
DBP001	all_mutation_shuffle	15	-0.0714574898785425
DBP001	all_mutation_shuffle	16	-0.22327935222672063
DBP001	all_mutation_shuffle	17	0.039473684210526314
DBP001	all_mutation_shuffle	18	-0.16133603238866398
DBP001	all_mutation_shuffle	19	0.1437246963562753
DBP001	all_mutation_shuffle	20	0.28643724696356276
DBP001	all_mutation_shuffle	21	-0.07064777327935223
DBP001	all_mutation_shuffle	22	-0.19615384615384618
DBP001	all_mutation_shuffle	23	-0.016194331983805668
DBP001	all_mutation_shuffle	24	0.027125506072874495
DBP001	all_mutation_shuffle	25	0.10526315789473685
DBP001	all_mutation_shuffle	26	0.01862348178137652
DBP001	all_mutation_shuffle	27	0.18117408906882593
DBP001	all_mutation_shuffle	28	-0.2963562753036438
DBP001	all_mutation_shuffle	29	-0.0665991902834008
DBP001	all_mutation_shuffle	30	-0.09271255060728746
DBP001	all_mutation_shuffle	31	-0.009109311740890687
DBP001	all_mutation_shuffle	32	-0.016194331983805668
DBP001	all_mutation_shuffle	33	-0.06720647773279352
DBP001	all_mutation_shuffle	34	-0.05242914979757085
DBP001	all_mutation_shuffle	35	0.4046558704453442
DBP001	all_mutation_shuffle	36	0.102834008097166
DBP001	all_mutation_shuffle	37	-0.05
DBP001	all_mutation_shuffle	38	0.07105263157894738
DBP001	all_mutation_shuffle	39	0.07368421052631578
DBP001	all_mutation_shuffle	40	-0.15890688259109312
DBP001	all_mutation_shuffle	41	0.036032388663967616
DBP001	all_mutation_shuffle	42	-0.06619433198380567
DBP001	all_mutation_shuffle	43	0.12935222672064778
DBP001	all_mutation_shuffle	44	0.15242914979757086
DBP001	all_mutation_shuffle	45	-0.15161943319838056
DBP001	all_mutation_shuffle	46	0.04777327935222673
DBP001	all_mutation_shuffle	47	-0.08927125506072874
DBP001	all_mutation_shuffle	48	0.02611336032388664
DBP001	all_mutation_shuffle	49	0.027732793522267207
DBP001	all_mutation_shuffle	50	0.0012145748987854252
DBP001	all_mutation_shuffle	51	-0.08906882591093118
DBP001	all_mutation_shuffle	52	0.03623481781376518
DBP001	all_mutation_shuffle	53	-0.24858299595141697
DBP001	all_mutation_shuffle	54	0.16761133603238867
DBP001	all_mutation_shuffle	55	-0.14554655870445346
DBP001	all_mutation_shuffle	56	-0.08603238866396762
DBP001	all_mutation_shuffle	57	-0.3546558704453441
DBP001	all_mutation_shuffle	58	0.25647773279352226
DBP001	all_mutation_shuffle	59	-0.05445344129554656
DBP001	all_mutation_shuffle	60	0.13218623481781377
DBP001	all_mutation_shuffle	61	0.10506072874493927
DBP001	all_mutation_shuffle	62	-0.13178137651821864
DBP001	all_mutation_shuffle	63	-0.22469635627530365
DBP001	all_mutation_shuffle	64	0.3878542510121458
DBP001	all_mutation_shuffle	65	-0.10566801619433198
DBP001	all_mutation_shuffle	66	-0.025910931174089068
DBP001	all_mutation_shuffle	67	0.057692307692307696
DBP001	all_mutation_shuffle	68	-0.11821862348178139
DBP001	all_mutation_shuffle	69	-0.16761133603238867
DBP001	all_mutation_shuffle	70	0.14716599190283403
DBP001	all_mutation_shuffle	71	-0.06315789473684211
DBP001	all_mutation_shuffle	72	0.02813765182186235
DBP001	all_mutation_shuffle	73	-0.021862348178137654
DBP001	all_mutation_shuffle	74	-0.05101214574898785
DBP001	all_mutation_shuffle	75	0.020850202429149797
DBP001	all_mutation_shuffle	76	-0.0340080971659919
DBP001	all_mutation_shuffle	77	0.10991902834008098
DBP001	all_mutation_shuffle	78	-0.12834008097165991
DBP001	all_mutation_shuffle	79	-0.3508097165991903
DBP001	all_mutation_shuffle	80	-0.1159919028340081
DBP001	all_mutation_shuffle	81	0.04777327935222673
DBP001	all_mutation_shuffle	82	0.003036437246963563
DBP001	all_mutation_shuffle	83	-0.1665991902834008
DBP001	all_mutation_shuffle	84	-0.07004048582995952
DBP001	all_mutation_shuffle	85	0.15060728744939272
DBP001	all_mutation_shuffle	86	-0.15323886639676113
DBP001	all_mutation_shuffle	87	0.0805668016194332
DBP001	all_mutation_shuffle	88	-0.04453441295546559
DBP001	all_mutation_shuffle	89	0.19149797570850202
DBP001	all_mutation_shuffle	90	-0.11133603238866398
DBP001	all_mutation_shuffle	91	0.10991902834008098
DBP001	all_mutation_shuffle	92	-0.05161943319838057
DBP001	all_mutation_shuffle	93	0.13947368421052633
DBP001	all_mutation_shuffle	94	-0.015789473684210527
DBP001	all_mutation_shuffle	95	-0.10465587044534413
DBP001	all_mutation_shuffle	96	0.08036437246963564
DBP001	all_mutation_shuffle	97	-0.05607287449392713
DBP001	all_mutation_shuffle	98	-0.25323886639676113
DBP001	all_mutation_shuffle	99	-0.09635627530364373
DBP001	all_mutation_shuffle	100	0.0
DBP001	all_mutation_shuffle	101	0.1665991902834008
DBP001	all_mutation_shuffle	102	0.0257085020242915
DBP001	all_mutation_shuffle	103	-0.14352226720647773
DBP001	all_mutation_shuffle	104	-0.16072874493927128
DBP001	all_mutation_shuffle	105	0.10647773279352227
DBP001	all_mutation_shuffle	106	0.0714574898785425
DBP001	all_mutation_shuffle	107	0.07975708502024292
DBP001	all_mutation_shuffle	108	0.042914979757085026
DBP001	all_mutation_shuffle	109	-0.102834008097166
DBP001	all_mutation_shuffle	110	-0.15566801619433202
DBP001	all_mutation_shuffle	111	-0.14878542510121456
DBP001	all_mutation_shuffle	112	-0.08036437246963564
DBP001	all_mutation_shuffle	113	-0.0925101214574899
DBP001	all_mutation_shuffle	114	-0.1686234817813765
DBP001	all_mutation_shuffle	115	-0.002631578947368421
DBP001	all_mutation_shuffle	116	0.2765182186234818
DBP001	all_mutation_shuffle	117	0.1562753036437247
DBP001	all_mutation_shuffle	118	-0.05931174089068827
