protein	null_type	observed_spearman	null_median	null_q025	null_q975	empirical_p_greater	n_mutations	n_permutations	seed
DBP001	all_mutation_shuffle	0.2271255060728745	-0.0011133603238866396	-0.32044534412955467	0.31620951417004023	0.08399160083991601	39	10000	1201
DBP001	position_preserving_shuffle	0.2271255060728745	0.24574898785425103	0.13015688259109312	0.3635627530364373	0.6223377662233777	39	10000	1202
DBP003	all_mutation_shuffle	0.18238866396761136	0.0006072874493927126	-0.3176214574898786	0.31377530364372463	0.1337866213378662	39	10000	1301
DBP003	position_preserving_shuffle	0.18238866396761136	0.1797570850202429	0.08886133603238867	0.2678137651821862	0.48235176482351766	39	10000	1302
DBP005	all_mutation_shuffle	0.34916133214488293	-0.0035653512681306215	-0.30216757150960216	0.29911271371849896	0.010998900109989001	42	10000	1401
DBP005	position_preserving_shuffle	0.34916133214488293	0.3314966372255085	0.26131999027631475	0.3989182400129649	0.31596840315968405	42	10000	1402
DBP006	all_mutation_shuffle	0.7447532614861032	0.0029981362936552956	-0.2995745887691435	0.3071874240337088	9.999000099990002e-05	42	10000	1501
DBP006	position_preserving_shuffle	0.7447532614861032	0.7575561137671177	0.7074791345920104	0.8089295843124545	0.6788321167883211	42	10000	1502
DBP009	all_mutation_shuffle	0.5655133295519001	-0.0021878291872619725	-0.3015233773600195	0.3058909326634795	9.999000099990002e-05	42	10000	1601
DBP009	position_preserving_shuffle	0.5655133295519001	0.5629203468114415	0.5168949031683008	0.614455878778057	0.46355364463553644	42	10000	1602
DBP035	all_mutation_shuffle	0.3583988331577668	0.00024309213191799696	-0.3018475002025768	0.3023296329308807	0.0096990300969903	42	10000	1701
DBP035	position_preserving_shuffle	0.3583988331577668	0.21772951948788596	0.05047808119277206	0.32420387326796857	0.0015998400159984002	42	10000	1702
DBP048	all_mutation_shuffle	0.049833887043189376	-0.0025119520298193016	-0.3078397212543554	0.3065391783485941	0.3698630136986301	42	10000	1801
DBP048	position_preserving_shuffle	0.049833887043189376	0.010290900251195204	-0.07868082003079167	0.10137347054533662	0.20127987201279873	42	10000	1802
