protein	comparison	level	metric	value	status
DBP001	PBM_vs_competition_mean	GLOBAL	global_spearman	-0.422077922077922	EVALUABLE_DIFFERENT_ASSAY_ESTIMANDS
DBP001	PBM_vs_competition_mean	POSITION	position_spearman	-0.9642857142857144	EVALUABLE_DIFFERENT_ASSAY_ESTIMANDS
DBP001	PBM_vs_competition_mean	IDENTITY	within_position_residual_spearman	0.1402597402597402	EVALUABLE_DIFFERENT_ASSAY_ESTIMANDS
DBP001	PBM_vs_competition_mean	IDENTITY_PAIRWISE	within_position_pairwise_accuracy	0.5714285714285714	EVALUABLE_DIFFERENT_ASSAY_ESTIMANDS
DBP003	PBM_vs_competition_mean	GLOBAL	global_spearman	0.1688311688311688	EVALUABLE_DIFFERENT_ASSAY_ESTIMANDS
DBP003	PBM_vs_competition_mean	POSITION	position_spearman	-0.25	EVALUABLE_DIFFERENT_ASSAY_ESTIMANDS
DBP003	PBM_vs_competition_mean	IDENTITY	within_position_residual_spearman	-0.0584415584415584	EVALUABLE_DIFFERENT_ASSAY_ESTIMANDS
DBP003	PBM_vs_competition_mean	IDENTITY_PAIRWISE	within_position_pairwise_accuracy	0.4285714285714285	EVALUABLE_DIFFERENT_ASSAY_ESTIMANDS
DBP005	PBM_vs_competition_mean	GLOBAL	global_spearman	0.148051948051948	EVALUABLE_DIFFERENT_ASSAY_ESTIMANDS
DBP005	PBM_vs_competition_mean	POSITION	position_spearman	-0.2857142857142857	EVALUABLE_DIFFERENT_ASSAY_ESTIMANDS
DBP005	PBM_vs_competition_mean	IDENTITY	within_position_residual_spearman	-0.0168831168831168	EVALUABLE_DIFFERENT_ASSAY_ESTIMANDS
DBP005	PBM_vs_competition_mean	IDENTITY_PAIRWISE	within_position_pairwise_accuracy	0.4285714285714285	EVALUABLE_DIFFERENT_ASSAY_ESTIMANDS
DBP006	PBM_vs_competition_mean	GLOBAL	global_spearman	0.8132510984294133	EVALUABLE_DIFFERENT_ASSAY_ESTIMANDS
