model	shuffle_type	split_type	fold_id	seed	protein_id	replacement_id	prediction_correlation	mean_abs_prediction_shift	normalized_rank_shift	retrained	development_status	source_file
M3	protein	protein_cluster_loco	protein_cluster_loco_fold_1	17	DBP001	DBP003	0.999999969575806	0.0007002959027886	3.042419394194695e-08	False	development_exposed_historical_v0_6	results/v0_6_representation/protein_shuffle.csv
M3	protein	protein_cluster_loco	protein_cluster_loco_fold_1	17	DBP003	DBP035	0.9999999632061878	0.0049069141969084	3.6793812219215745e-08	False	development_exposed_historical_v0_6	results/v0_6_representation/protein_shuffle.csv
M3	protein	protein_cluster_loco	protein_cluster_loco_fold_1	29	DBP001	DBP003	0.999999481226081	0.0042829634621739	5.187739190448681e-07	False	development_exposed_historical_v0_6	results/v0_6_representation/protein_shuffle.csv
M3	protein	protein_cluster_loco	protein_cluster_loco_fold_1	29	DBP003	DBP035	0.9999996250610278	0.0032648062333464	3.749389722029761e-07	False	development_exposed_historical_v0_6	results/v0_6_representation/protein_shuffle.csv
M3	protein	protein_cluster_loco	protein_cluster_loco_fold_1	43	DBP001	DBP003	0.9999989764473286	0.0031592578161507	1.0235526713975318e-06	False	development_exposed_historical_v0_6	results/v0_6_representation/protein_shuffle.csv
M3	protein	protein_cluster_loco	protein_cluster_loco_fold_1	43	DBP003	DBP035	0.9999990060876564	0.0036410538014024	9.93912343649761e-07	False	development_exposed_historical_v0_6	results/v0_6_representation/protein_shuffle.csv
M3	protein	protein_cluster_loco	protein_cluster_loco_fold_2	17	DBP035	DBP048	0.999972524391402	0.3272111117839813	2.7475608598059864e-05	False	development_exposed_historical_v0_6	results/v0_6_representation/protein_shuffle.csv
M3	protein	protein_cluster_loco	protein_cluster_loco_fold_2	17	DBP005	DBP006	0.9994940056648588	0.8554995656013489	0.0005059943351413	False	development_exposed_historical_v0_6	results/v0_6_representation/protein_shuffle.csv
M3	protein	protein_cluster_loco	protein_cluster_loco_fold_2	29	DBP035	DBP048	0.9999999990212676	0.0009492606041021	9.787324284360466e-10	False	development_exposed_historical_v0_6	results/v0_6_representation/protein_shuffle.csv
M3	protein	protein_cluster_loco	protein_cluster_loco_fold_2	29	DBP005	DBP006	0.9999999978818136	0.0007842099294066	2.118186293031954e-09	False	development_exposed_historical_v0_6	results/v0_6_representation/protein_shuffle.csv
M3	protein	protein_cluster_loco	protein_cluster_loco_fold_2	43	DBP035	DBP048	0.9916036425244004	0.0485371202230453	0.0083963574755997	False	development_exposed_historical_v0_6	results/v0_6_representation/protein_shuffle.csv
M3	protein	protein_cluster_loco	protein_cluster_loco_fold_2	43	DBP005	DBP006	0.9990268416922072	0.0664805024862289	0.0009731583077928	False	development_exposed_historical_v0_6	results/v0_6_representation/protein_shuffle.csv
M3	protein	protein_cluster_loco	protein_cluster_loco_fold_3	17	DBP048	DBP005	0.9999996497461824	0.0313555113971233	3.502538176158865e-07	False	development_exposed_historical_v0_6	results/v0_6_representation/protein_shuffle.csv
M3	protein	protein_cluster_loco	protein_cluster_loco_fold_3	29	DBP048	DBP005	0.99999993845706	0.0010232673957943	6.154294007743033e-08	False	development_exposed_historical_v0_6	results/v0_6_representation/protein_shuffle.csv
M3	protein	protein_cluster_loco	protein_cluster_loco_fold_3	43	DBP048	DBP005	0.9999928207136178	0.0135160516947507	7.17928638216403e-06	False	development_exposed_historical_v0_6	results/v0_6_representation/protein_shuffle.csv
M3	protein	protein_cluster_loco	protein_cluster_loco_fold_4	17	DBP006	DBP009	0.9999999998494752	1.1382216143829282e-05	1.5052492585709842e-10	False	development_exposed_historical_v0_6	results/v0_6_representation/protein_shuffle.csv
M3	protein	protein_cluster_loco	protein_cluster_loco_fold_4	17	DBP009	DBP001	0.9999999980257678	4.426221130415797e-05	1.9742322221460995e-09	False	development_exposed_historical_v0_6	results/v0_6_representation/protein_shuffle.csv
M3	protein	protein_cluster_loco	protein_cluster_loco_fold_4	29	DBP006	DBP009	0.9999999993130292	0.000102829602838	6.869707025458638e-10	False	development_exposed_historical_v0_6	results/v0_6_representation/protein_shuffle.csv
M3	protein	protein_cluster_loco	protein_cluster_loco_fold_4	29	DBP009	DBP001	0.9999999967487758	0.0001794248528312	3.251224178768552e-09	False	development_exposed_historical_v0_6	results/v0_6_representation/protein_shuffle.csv
M3	protein	protein_cluster_loco	protein_cluster_loco_fold_4	43	DBP006	DBP009	0.9999999995228868	3.425058093853295e-05	4.771133488290501e-10	False	development_exposed_historical_v0_6	results/v0_6_representation/protein_shuffle.csv
M3	protein	protein_cluster_loco	protein_cluster_loco_fold_4	43	DBP009	DBP001	0.9999999952385906	0.0001141975517384	4.761409377884718e-09	False	development_exposed_historical_v0_6	results/v0_6_representation/protein_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_1	17	DBP001	DBP003	0.9999999999999954	1.6167177818715572e-08	4.551914400963142e-15	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_1	17	DBP003	DBP035	0.6938041706212055	1.7345956563949585	0.3061958293787945	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_1	29	DBP001	DBP003	0.9999999999999988	1.5512341633439064e-08	1.2212453270876722e-15	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_1	29	DBP003	DBP035	0.6010111250115631	1.1891318559646606	0.3989888749884369	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_1	43	DBP001	DBP003	0.9999999999999998	8.263782547146548e-09	2.220446049250313e-16	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_1	43	DBP003	DBP035	0.545459200993673	0.865420401096344	0.454540799006327	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_2	17	DBP035	DBP048	0.9980295582373636	0.1135819405317306	0.0019704417626362	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_2	17	DBP005	DBP006	0.999999999999999	1.5716068446636202e-09	9.992007221626409e-16	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_2	29	DBP035	DBP048	0.9968705672603728	0.0741792917251586	0.0031294327396272	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_2	29	DBP005	DBP006	0.9999999999999996	7.71251507103443e-10	3.3306690738754696e-16	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_2	43	DBP035	DBP048	0.5144099249916928	2.275673151016236	0.4855900750083072	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_2	43	DBP005	DBP006	0.9999999999999996	7.255493983393534e-10	4.440892098500626e-16	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
M3	target	protein_cluster_loco	protein_cluster_loco_fold_3	17	DBP048	DBP005	0.9432308295834494	0.4039428830146789	0.0567691704165506	False	development_exposed_historical_v0_6	results/v0_6_representation/target_shuffle.csv
