protein	source_figure	published_mean_available	replicate_values_available	status
DBP001	Extended Data Fig. 3	True	False	NOT_EVALUABLE_SOURCE_DATA_MEAN_ONLY
DBP003	Extended Data Fig. 3	True	False	NOT_EVALUABLE_SOURCE_DATA_MEAN_ONLY
DBP005	Extended Data Fig. 3	True	False	NOT_EVALUABLE_SOURCE_DATA_MEAN_ONLY
DBP006	Extended Data Fig. 3	True	False	NOT_EVALUABLE_SOURCE_DATA_MEAN_ONLY
DBP009	Extended Data Fig. 3	True	False	NOT_EVALUABLE_SOURCE_DATA_MEAN_ONLY
DBP023	Extended Data Fig. 3	True	False	NOT_EVALUABLE_SOURCE_DATA_MEAN_ONLY
DBP035	Extended Data Fig. 3	True	False	NOT_EVALUABLE_SOURCE_DATA_MEAN_ONLY
DBP048	Extended Data Fig. 3	True	False	NOT_EVALUABLE_SOURCE_DATA_MEAN_ONLY
DBP056	Extended Data Fig. 3	True	False	NOT_EVALUABLE_SOURCE_DATA_MEAN_ONLY
DBP062	Extended Data Fig. 3	True	False	NOT_EVALUABLE_SOURCE_DATA_MEAN_ONLY
