method	protein_a	protein_b	spearman	mean_abs_prediction_shift	n_7mers	protein_variance_fraction
DeepPBS	DBP001	DBP003	0.4340457540451149	4.107514216485779	8192	
DeepPBS	DBP001	DBP005	0.32913514586157383	3.060935069080145	8192	
DeepPBS	DBP001	DBP006	-0.22800454615173882	5.338124776333732	8192	
DeepPBS	DBP001	DBP009	-0.06136045352953231	3.908345148906079	8192	
DeepPBS	DBP001	DBP035	0.32394460129899777	2.884644723456607	8192	
DeepPBS	DBP001	DBP048	-0.15281267400831244	3.6004521240908414	8192	
DeepPBS	DBP003	DBP005	0.2799929230926901	3.5724819557350456	8192	
DeepPBS	DBP003	DBP006	-0.37105694757283075	5.189222943883477	8192	
DeepPBS	DBP003	DBP009	0.012602215791480105	4.243477482124575	8192	
DeepPBS	DBP003	DBP035	0.2711516676813962	3.6853984282772716	8192	
DeepPBS	DBP003	DBP048	0.23643650261672128	4.225543408806962	8192	
DeepPBS	DBP005	DBP006	0.23061801222724676	3.9487581876042954	8192	
DeepPBS	DBP005	DBP009	0.39739170265135326	2.849078837105226	8192	
DeepPBS	DBP005	DBP035	0.8850873609747134	1.1704574485485584	8192	
DeepPBS	DBP005	DBP048	-0.05441180066871579	3.8043918581396126	8192	
DeepPBS	DBP006	DBP009	0.6584006724690304	3.038776487232188	8192	
DeepPBS	DBP006	DBP035	0.31670345015742835	3.8336320755480333	8192	
DeepPBS	DBP006	DBP048	-0.2793679837060746	5.390275742645377	8192	
DeepPBS	DBP009	DBP035	0.47644442364804984	2.632164071555485	8192	
DeepPBS	DBP009	DBP048	-0.22113605574040154	4.354082566232529	8192	
DeepPBS	DBP035	DBP048	-0.2925289161728813	4.0840035755669994	8192	
DeepPBS	SUMMARY	SUMMARY		9.776379417993521	8192	0.768320953237603
NA-MPNN	DBP001	DBP003	0.3396048148316234	1.0268809470509193	8192	
NA-MPNN	DBP001	DBP005	-0.27373606706250186	1.2248171167942918	8192	
NA-MPNN	DBP001	DBP006	-0.010347257798939129	1.0604760780993039	8192	
NA-MPNN	DBP001	DBP009	0.011770975522136417	1.064104646170099	8192	
NA-MPNN	DBP001	DBP035	-0.29405041652509867	1.3239039140864872	8192	
NA-MPNN	DBP001	DBP048	-0.0568865596688096	1.0665617385596844	8192	
NA-MPNN	DBP003	DBP005	-0.1792612340732522	1.4396780220344372	8192	
NA-MPNN	DBP003	DBP006	-0.12585257729912758	1.389070449024029	8192	
NA-MPNN	DBP003	DBP009	-0.15785384054677462	1.4232338721299795	8192	
NA-MPNN	DBP003	DBP035	-0.10474704904861541	1.4552201546981385	8192	
NA-MPNN	DBP003	DBP048	-0.10119950102857966	1.352587058333306	8192	
NA-MPNN	DBP005	DBP006	0.3419301030173145	0.8886201392190269	8192	
NA-MPNN	DBP005	DBP009	0.27429706795927195	0.9472399833451646	8192	
NA-MPNN	DBP005	DBP035	0.7591297330196372	0.5879673031685599	8192	
NA-MPNN	DBP005	DBP048	0.16999139190842374	0.9790116187236051	8192	
NA-MPNN	DBP006	DBP009	0.7859685063934266	0.31371749625895695	8192	
NA-MPNN	DBP006	DBP035	0.07765844828859919	1.1602978751925692	8192	
NA-MPNN	DBP006	DBP048	0.5573156831697453	0.585189862972299	8192	
NA-MPNN	DBP009	DBP035	-0.017251845204240668	1.2352201738614543	8192	
NA-MPNN	DBP009	DBP048	0.5830148218011482	0.600886886183931	8192	
NA-MPNN	DBP035	DBP048	0.00590010116199415	1.1598481567467995	8192	
NA-MPNN	SUMMARY	SUMMARY		0.8212475098141498	8192	0.7622004092062895
