analysis_set	method	metric	n_proteins	median	mean	ci_low	ci_high	chance_baseline
primary_six	DeepPBS	global_spearman	6	0.3537800826513249	0.40455682106352314	0.20475708502024292	0.6551332955190017	0.0
primary_six	DeepPBS	position_spearman	6	0.40604395604395604	0.43663003663003663	0.18296703296703296	0.720879120879121	0.0
primary_six	DeepPBS	within_residual_spearman	6	0.11398861534918497	0.1281082467502147	-0.03271873288964372	0.30305485779110286	0.0
primary_six	DeepPBS	within_pairwise_accuracy	6	0.5064102564102563	0.5106837606837605	0.4065934065934065	0.6190476190476191	0.5
primary_six	NA-MPNN	global_spearman	6	0.1487012987012987	0.17164502164502168	0.03636363636363636	0.32987012987012987	0.0
primary_six	NA-MPNN	position_spearman	6	0.3214285714285715	0.25000000000000006	-0.16071428571428575	0.5892857142857144	0.0
primary_six	NA-MPNN	within_residual_spearman	6	0.15909090909090906	0.10692640692640691	-0.21363636363636362	0.3753246753246753	0.0
primary_six	NA-MPNN	within_pairwise_accuracy	6	0.5476190476190477	0.5238095238095238	0.4285714285714286	0.5952380952380953	0.5
primary_six	PBM_experimental	global_spearman	6	0.36363636363636365	0.32493578913217497	-0.137012987012987	0.7481839907731482	0.0
primary_six	PBM_experimental	position_spearman	6	0.1964285714285715	0.11309523809523812	-0.6250000000000001	0.767857142857143	0.0
primary_six	PBM_experimental	within_residual_spearman	6	0.09350649350649351	0.1699134199134199	-0.03766233766233766	0.45389610389610385	0.0
primary_six	PBM_experimental	within_pairwise_accuracy	6	0.5238095238095237	0.5158730158730158	0.4285714285714285	0.5952380952380951	0.5
all_seven_descriptive	DeepPBS	global_spearman	7	0.34916133214488293	0.3538821162034755	0.18238866396761136	0.5655133295519001	0.0
all_seven_descriptive	DeepPBS	position_spearman	7	0.367032967032967	0.4266875981161696	0.23626373626373626	0.7010989010989012	0.0
all_seven_descriptive	DeepPBS	within_residual_spearman	7	0.11319990276314726	0.11141610704002221	0.007085020242914981	0.1619803905680253	0.0
all_seven_descriptive	DeepPBS	within_pairwise_accuracy	7	0.49999999999999994	0.5023547880690736	0.4285714285714285	0.5714285714285714	0.5
all_seven_descriptive	NA-MPNN	global_spearman	7	0.06883116883116883	0.14063079777365495	0.005194805194805195	0.3103896103896104	0.0
all_seven_descriptive	NA-MPNN	position_spearman	7	0.1785714285714286	0.1836734693877551	-0.21428571428571433	0.5	0.0
all_seven_descriptive	NA-MPNN	within_residual_spearman	7	0.17662337662337665	0.11688311688311688	-0.11168831168831168	0.3675324675324675	0.0
all_seven_descriptive	NA-MPNN	within_pairwise_accuracy	7	0.5238095238095238	0.5238095238095238	0.5238095238095238	0.5714285714285714	0.5
all_seven_descriptive	PBM_experimental	global_spearman	7	0.48181818181818176	0.34734755951589025	0.14805194805194805	0.6831168831168831	0.0
all_seven_descriptive	PBM_experimental	position_spearman	7	0.5714285714285715	0.1785714285714286	-0.28571428571428575	0.7142857142857144	0.0
all_seven_descriptive	PBM_experimental	within_residual_spearman	7	0.14025974025974028	0.19870129870129868	-0.016883116883116882	0.42207792207792205	0.0
all_seven_descriptive	PBM_experimental	within_pairwise_accuracy	7	0.5714285714285714	0.5510204081632653	0.42857142857142855	0.619047619047619	0.5
