tf_id	binding_site_id	perturbation_type	comparison	split_seed	n_perturbations	n_positions	global_status	global_spearman	global_pearson	global_mae	position_status	position_spearman	position_pearson	identity_status	identity_pairwise_status	n_identity_perturbations	n_identity_positions	n_identity_pairs	identity_residual_spearman	identity_residual_pearson	identity_pairwise_accuracy	identity_kendall_style_concordance	fraction_position_a	fraction_identity_a	fraction_position_b	fraction_identity_b
Cbf1	Cbf1	canonical_watson_crick	technical_spot_split_A_vs_B	1301	36	12	EVALUABLE	0.9325611325611326	0.9954071864100137	0.1779367633462677	EVALUABLE	0.8811188811188813	0.9986063490175506	EVALUABLE	EVALUABLE	36	12	36	0.9032175032175033	0.9613862138470171	0.8055555555555556	0.6111111111111112	0.933033351985529	0.06696664801447118	0.9198742236249846	0.08012577637501528
Egr1	Egr1	canonical_watson_crick	technical_spot_split_A_vs_B	1301	36	12	EVALUABLE	0.9819819819819822	0.9968055993176711	0.11909013773959552	EVALUABLE	0.965034965034965	0.9981641191689997	EVALUABLE	EVALUABLE	36	12	36	0.9534105534105534	0.9808180974749537	0.8888888888888888	0.7777777777777777	0.917774955098449	0.08222504490155122	0.9177465360361294	0.08225346396387101
Ets1	Ets1_site_1	canonical_watson_crick	technical_spot_split_A_vs_B	1301	33	11	EVALUABLE	0.9849598930481284	0.9941489281163169	0.13451192454695926	EVALUABLE	1.0	0.9979249132163793	EVALUABLE	EVALUABLE	33	11	33	0.9455213903743317	0.9878633056227772	0.8787878787878788	0.7575757575757576	0.6939836195914623	0.3060163804085377	0.7094981657568592	0.29050183424314097
Ets1	Ets1_site_3	canonical_watson_crick	technical_spot_split_A_vs_B	1301	33	11	EVALUABLE	0.8750836242755062	0.8355772463504021	0.10714083975789368	EVALUABLE	0.5909090909090909	0.7291671659326967	EVALUABLE	EVALUABLE	33	11	32	0.6292303857516697	0.6935522471960963	0.75	0.5	0.5830214751202603	0.41697852487973963	0.6193899254055875	0.3806100745944125
GR	GR	canonical_watson_crick	technical_spot_split_A_vs_B	1301	45	15	EVALUABLE	0.9670619235836626	0.9593214280270068	0.22549293221552835	EVALUABLE	0.9178571428571428	0.9693990506721049	EVALUABLE	EVALUABLE	45	15	45	0.6447957839262187	0.6652333703522477	0.7333333333333333	0.46666666666666656	0.9228028640884235	0.07719713591157638	0.9305780823334686	0.06942191766653147
Max	Max_site_1	canonical_watson_crick	technical_spot_split_A_vs_B	1301	36	12	EVALUABLE	0.964993564993565	0.9868796411679659	0.7253869813799723	EVALUABLE	0.8461538461538463	0.9508021082855184	EVALUABLE	EVALUABLE	36	12	36	0.8061776061776061	0.81956353333828	0.8611111111111112	0.7222222222222223	0.9507507203965606	0.04924927960343961	0.9360291608458734	0.06397083915412659
Max	Max_site_2	canonical_watson_crick	technical_spot_split_A_vs_B	1301	36	12	EVALUABLE	0.9480051480051481	0.9668081440395342	0.23848109137030116	EVALUABLE	0.9160839160839163	0.934571422608456	EVALUABLE	EVALUABLE	36	12	36	0.8398970398970399	0.9311566973408905	0.8611111111111112	0.7222222222222223	0.6791107022490714	0.32088929775092856	0.6408579016655204	0.35914209833447985
TBP	TBP_site_1	canonical_watson_crick	technical_spot_split_A_vs_B	1301	30	10	EVALUABLE	0.971078976640712	0.9826863261957038	0.06716390245152605	EVALUABLE	0.9999999999999999	0.993753122140527	EVALUABLE	EVALUABLE	30	10	30	0.9666295884315905	0.9749057008700436	0.9	0.8	0.6144878359508981	0.38551216404910194	0.6091367033316467	0.3908632966683535
TBP	TBP_site_2	canonical_watson_crick	technical_spot_split_A_vs_B	1301	30	10	EVALUABLE	0.9234705228031145	0.9654760039052273	0.11677959225593605	EVALUABLE	0.9515151515151514	0.9762772781513782	EVALUABLE	EVALUABLE	30	10	30	0.9110122358175751	0.9378819688202195	0.8333333333333334	0.6666666666666667	0.6677819242166362	0.332218075783364	0.6228216553589649	0.3771783446410353
p53	p53	canonical_watson_crick	technical_spot_split_A_vs_B	1301	48	16	EVALUABLE	0.9253148067737734	0.9425313541113125	0.8427032308740703	EVALUABLE	0.7088235294117646	0.851408423614035	EVALUABLE	EVALUABLE	48	16	48	0.7206904038211029	0.8774889111082047	0.7916666666666666	0.5833333333333333	0.6236102221578727	0.3763897778421273	0.5861159082121354	0.41388409178786467
