tf_id	binding_site_id	perturbation_type	null_type	metric	observed	chance_baseline	null_median	null_q025	null_q975	empirical_p	tail	n_permutations
Cbf1	Cbf1	canonical_watson_crick	position_label	position_spearman	0.8811188811188813	0.0	-0.02097902097902098	-0.5666083916083916	0.5734265734265735	0.0009995002498750624	two_sided	2000
Cbf1	Cbf1	canonical_watson_crick	within_position_base_label	identity_residual_spearman	0.9032175032175033	0.0	0.02290862290862291	-0.401061776061776	0.5403088803088801	0.0004997501249375312	two_sided	2000
Cbf1	Cbf1	canonical_watson_crick	within_position_base_label	identity_pairwise_accuracy	0.8055555555555556	0.5	0.49999999999999994	0.33333333333333326	0.6666666666666667	0.0004997501249375312	upper	2000
Cbf1	Cbf1	mismatch	position_label	position_spearman	0.9230769230769231	0.0	0.006993006993006993	-0.5804195804195805	0.5805944055944048	0.0009995002498750624	two_sided	2000
Cbf1	Cbf1	mismatch	within_position_base_label	identity_residual_spearman	0.9198979181737803	0.0	0.0010348846555743108	-0.20292410176030867	0.2035712563298769	0.0004997501249375312	two_sided	2000
Cbf1	Cbf1	mismatch	within_position_base_label	identity_pairwise_accuracy	0.7954545454545454	0.5	0.49873737373737376	0.43686868686868685	0.5643939393939393	0.0004997501249375312	upper	2000
Egr1	Egr1	canonical_watson_crick	position_label	position_spearman	0.965034965034965	0.0	0.0	-0.5664335664335665	0.5874125874125874	0.0004997501249375312	two_sided	2000
Egr1	Egr1	canonical_watson_crick	within_position_base_label	identity_residual_spearman	0.9534105534105534	0.0	0.03590733590733591	-0.398996138996139	0.4871557271557264	0.0004997501249375312	two_sided	2000
Egr1	Egr1	canonical_watson_crick	within_position_base_label	identity_pairwise_accuracy	0.8888888888888888	0.5	0.5	0.33333333333333326	0.6666666666666667	0.0004997501249375312	upper	2000
Egr1	Egr1	mismatch	position_label	position_spearman	0.9790209790209792	0.0	-0.006993006993006993	-0.5944055944055945	0.5456293706293698	0.0004997501249375312	two_sided	2000
Egr1	Egr1	mismatch	within_position_base_label	identity_residual_spearman	0.9109436540471023	0.0	0.044602523912868744	-0.15062555260831123	0.25623834498834497	0.0004997501249375312	two_sided	2000
Egr1	Egr1	mismatch	within_position_base_label	identity_pairwise_accuracy	0.8232323232323232	0.5	0.5	0.4343118686868687	0.563131313131313	0.0004997501249375312	upper	2000
Ets1	Ets1_site_1	canonical_watson_crick	position_label	position_spearman	1.0	0.0	0.009090909090909092	-0.6000000000000001	0.6181818181818182	0.0004997501249375312	two_sided	2000
Ets1	Ets1_site_1	canonical_watson_crick	within_position_base_label	identity_residual_spearman	0.9455213903743317	0.0	0.044284759358288774	-0.3933823529411765	0.5541610962566844	0.0004997501249375312	two_sided	2000
Ets1	Ets1_site_1	canonical_watson_crick	within_position_base_label	identity_pairwise_accuracy	0.8787878787878788	0.5	0.48484848484848486	0.30303030303030304	0.6969696969696969	0.0004997501249375312	upper	2000
Ets1	Ets1_site_1	mismatch	position_label	position_spearman	0.990909090909091	0.0	-0.009090909090909092	-0.5909090909090909	0.6181818181818182	0.0004997501249375312	two_sided	2000
Ets1	Ets1_site_1	mismatch	within_position_base_label	identity_residual_spearman	0.971319147056324	0.0	0.10219942630545675	-0.07710195158216585	0.28647139545933004	0.0004997501249375312	two_sided	2000
Ets1	Ets1_site_1	mismatch	within_position_base_label	identity_pairwise_accuracy	0.8767217630853994	0.5	0.5006887052341596	0.4359504132231405	0.5640495867768595	0.0004997501249375312	upper	2000
Ets1	Ets1_site_3	canonical_watson_crick	position_label	position_spearman	0.5909090909090909	0.0	-0.009090909090909092	-0.5909090909090909	0.645681818181817	0.06696651674162919	two_sided	2000
