tf_id	binding_site_id	perturbation_type	split_seed	global_spearman	position_spearman	identity_residual_spearman	identity_pairwise_accuracy
Cbf1	Cbf1	canonical_watson_crick	1301	0.9325611325611326	0.8811188811188813	0.9032175032175033	0.8055555555555556
Cbf1	Cbf1	mismatch	1301	0.9585764809902741	0.9230769230769231	0.9198979181737803	0.7954545454545454
Egr1	Egr1	canonical_watson_crick	1301	0.9819819819819822	0.965034965034965	0.9534105534105534	0.8888888888888888
Egr1	Egr1	mismatch	1301	0.9827144120247568	0.9790209790209792	0.9109436540471023	0.8232323232323232
Ets1	Ets1_site_1	canonical_watson_crick	1301	0.9849598930481284	1.0	0.9455213903743317	0.8787878787878788
Ets1	Ets1_site_1	mismatch	1301	0.9892485742197729	0.990909090909091	0.971319147056324	0.8767217630853994
Ets1	Ets1_site_3	canonical_watson_crick	1301	0.8750836242755062	0.5909090909090909	0.6292303857516697	0.75
Ets1	Ets1_site_3	mismatch	1301	0.5800249615201776	0.790909090909091	0.5306311465578719	0.6241234221598878
GR	GR	canonical_watson_crick	1301	0.9670619235836626	0.9178571428571428	0.6447957839262187	0.7333333333333333
GR	GR	mismatch	1301	0.939035155406031	0.9857142857142854	0.8547815261787916	0.803030303030303
Max	Max_site_1	canonical_watson_crick	1301	0.964993564993565	0.8461538461538463	0.8061776061776061	0.8611111111111112
Max	Max_site_1	mismatch	1301	0.9646551013887577	0.9300699300699302	0.8922313318865044	0.8345959595959596
Max	Max_site_2	canonical_watson_crick	1301	0.9480051480051481	0.9160839160839163	0.8398970398970399	0.8611111111111112
Max	Max_site_2	mismatch	1301	0.8401327872888407	0.8741258741258742	0.609392331806125	0.6868686868686869
TBP	TBP_site_1	canonical_watson_crick	1301	0.971078976640712	0.9999999999999999	0.9666295884315905	0.9
TBP	TBP_site_1	mismatch	1301	0.9582332106396276	0.9757575757575757	0.8952357802625182	0.8378787878787879
TBP	TBP_site_2	canonical_watson_crick	1301	0.9234705228031145	0.9515151515151514	0.9110122358175751	0.8333333333333334
TBP	TBP_site_2	mismatch	1301	0.9642197374817695	0.8545454545454544	0.9282033474546842	0.8590909090909091
p53	p53	canonical_watson_crick	1301	0.9253148067737734	0.7088235294117646	0.7206904038211029	0.7916666666666666
p53	p53	mismatch	1301	0.9257197063796091	0.6029411764705882	0.8816466043385269	0.8319128787878788
Cbf1	Cbf1	canonical_watson_crick	1302	0.9341055341055342	0.9020979020979022	0.8651222651222652	0.6666666666666666
Cbf1	Cbf1	mismatch	1302	0.9572863917691504	0.9510489510489512	0.9290330359295875	0.8042929292929293
Egr1	Egr1	canonical_watson_crick	1302	0.9773487773487773	0.9720279720279721	0.862805662805663	0.8611111111111112
Egr1	Egr1	mismatch	1302	0.9839040270074753	0.9930069930069931	0.9086648983200708	0.821969696969697
Ets1	Ets1_site_1	canonical_watson_crick	1302	0.9888851746615411	1.0	0.9592245989304813	0.9090909090909091
Ets1	Ets1_site_1	mismatch	1302	0.9895341161983132	1.0	0.9743465987687802	0.8865836791147994
Ets1	Ets1_site_3	canonical_watson_crick	1302	0.8406887328652625	0.8181818181818182	0.5856104307234663	0.7121212121212122
Ets1	Ets1_site_3	mismatch	1302	0.5558602383105871	0.8181818181818182	0.5522176419943124	0.6309859154929578
GR	GR	canonical_watson_crick	1302	0.9484848484848485	0.9607142857142855	0.5847167325428194	0.6888888888888889
GR	GR	mismatch	1302	0.926901036040207	0.9571428571428571	0.8379435579287426	0.7787878787878788
Max	Max_site_1	canonical_watson_crick	1302	0.9711711711711712	0.9300699300699302	0.8306306306306308	0.8611111111111112
Max	Max_site_1	mismatch	1302	0.9608148895401183	0.9720279720279721	0.8772463572991667	0.7996207332490518
Max	Max_site_2	canonical_watson_crick	1302	0.9508365508365509	0.8111888111888113	0.8375804375804377	0.8888888888888888
Max	Max_site_2	mismatch	1302	0.837310291125991	0.8741258741258742	0.572386810519272	0.6706700379266751
TBP	TBP_site_1	canonical_watson_crick	1302	0.9537263626251389	0.9878787878787878	0.9016685205784205	0.8666666666666667
