method	protein_id	global_spearman	position_spearman	within_position_residual_spearman	within_position_pairwise_accuracy	within_kendall_style_concordance	n_mutations	n_positions	holdout_status	analysis_status	mapping_status	coverage_scope	global_chance	position_chance	within_residual_chance	within_pairwise_chance	within_kendall_chance
DeepPBS	DBP001	0.2271255060728745	0.510989010989011	0.0070850202429149	0.3846153846153845	-0.2307692307692309	39	13	DEVELOPMENT_EXPOSED	PRIMARY	PRIMARY	full_competition_landscape	0.0	0.0	0.0	0.5	0.0
DeepPBS	DBP003	0.1823886639676113	0.2362637362637362	0.1147773279352226	0.5128205128205127	0.0256410256410253	39	13	DEVELOPMENT_EXPOSED	PRIMARY	PRIMARY	full_competition_landscape	0.0	0.0	0.0	0.5	0.0
DeepPBS	DBP005	0.3491613321448829	0.3010989010989011	0.1131999027631472	0.4999999999999999	-1.1102230246251563e-16	42	14	DEVELOPMENT_EXPOSED	PRIMARY	PRIMARY	full_competition_landscape	0.0	0.0	0.0	0.5	0.0
DeepPBS	DBP006	0.7447532614861032	0.7010989010989012	-0.0725224860222024	0.4285714285714285	-0.142857142857143	42	14	DEVELOPMENT_EXPOSED	PRIMARY	PRIMARY	full_competition_landscape	0.0	0.0	0.0	0.5	0.0
DeepPBS	DBP009	0.5655133295519001	0.7406593406593407	0.1619803905680253	0.5714285714285714	0.1428571428571428	42	14	DEVELOPMENT_EXPOSED	PRIMARY	PRIMARY	full_competition_landscape	0.0	0.0	0.0	0.5	0.0
DeepPBS	DBP035	0.3583988331577668	0.1296703296703296	0.4441293250141804	0.6666666666666666	0.3333333333333332	42	14	DEVELOPMENT_EXPOSED	PRIMARY	PRIMARY	full_competition_landscape	0.0	0.0	0.0	0.5	0.0
DeepPBS	DBP048	0.0498338870431893	0.367032967032967	0.0112632687788671	0.4523809523809523	-0.0952380952380954	42	14	DEVELOPMENT_EXPOSED	SENSITIVITY_ONLY	AMBIGUOUS	full_competition_landscape	0.0	0.0	0.0	0.5	0.0
PBM_experimental	DBP001	-0.422077922077922	-0.9642857142857144	0.1402597402597402	0.5714285714285714	0.1428571428571428	21	7	DEVELOPMENT_EXPOSED	PRIMARY	PRIMARY	fixed_7mer_window	0.0	0.0	0.0	0.5	0.0
PBM_experimental	DBP003	0.1688311688311688	-0.25	-0.0584415584415584	0.4285714285714285	-0.1428571428571429	21	7	DEVELOPMENT_EXPOSED	PRIMARY	PRIMARY	fixed_7mer_window	0.0	0.0	0.0	0.5	0.0
PBM_experimental	DBP005	0.148051948051948	-0.2857142857142857	-0.0168831168831168	0.4285714285714285	-0.142857142857143	21	7	DEVELOPMENT_EXPOSED	PRIMARY	PRIMARY	fixed_7mer_window	0.0	0.0	0.0	0.5	0.0
PBM_experimental	DBP006	0.8132510984294133	0.8214285714285715	0.4857142857142856	0.5714285714285714	0.1428571428571428	21	7	DEVELOPMENT_EXPOSED	PRIMARY	PRIMARY	fixed_7mer_window	0.0	0.0	0.0	0.5	0.0
PBM_experimental	DBP009	0.6831168831168831	0.7142857142857144	0.422077922077922	0.619047619047619	0.2380952380952379	21	7	DEVELOPMENT_EXPOSED	PRIMARY	PRIMARY	fixed_7mer_window	0.0	0.0	0.0	0.5	0.0
PBM_experimental	DBP035	0.5584415584415584	0.642857142857143	0.0467532467532467	0.4761904761904761	-0.0476190476190476	21	7	DEVELOPMENT_EXPOSED	PRIMARY	PRIMARY	fixed_7mer_window	0.0	0.0	0.0	0.5	0.0
PBM_experimental	DBP048	0.4818181818181817	0.5714285714285715	0.3714285714285714	0.7619047619047619	0.5238095238095237	21	7	DEVELOPMENT_EXPOSED	SENSITIVITY_ONLY	AMBIGUOUS	fixed_7mer_window	0.0	0.0	0.0	0.5	0.0
NA-MPNN	DBP001	0.2285714285714285	-0.3571428571428572	0.3675324675324675	0.6190476190476192	0.2380952380952383	21	7	DEVELOPMENT_EXPOSED	PRIMARY	PRIMARY	fixed_7mer_window	0.0	0.0	0.0	0.5	0.0
NA-MPNN	DBP003	0.3493506493506493	0.1785714285714286	0.3181818181818181	0.5714285714285714	0.1428571428571428	21	7	DEVELOPMENT_EXPOSED	PRIMARY	PRIMARY	fixed_7mer_window	0.0	0.0	0.0	0.5	0.0
NA-MPNN	DBP005	0.3103896103896104	0.4642857142857144	0.0	0.5238095238095238	0.0476190476190476	21	7	DEVELOPMENT_EXPOSED	PRIMARY	PRIMARY	fixed_7mer_window	0.0	0.0	0.0	0.5	0.0
NA-MPNN	DBP006	0.0675324675324675	0.5	0.3831168831168831	0.5238095238095238	0.0476190476190476	21	7	DEVELOPMENT_EXPOSED	PRIMARY	PRIMARY	fixed_7mer_window	0.0	0.0	0.0	0.5	0.0
NA-MPNN	DBP009	0.0688311688311688	0.6785714285714287	-0.1116883116883116	0.5714285714285714	0.1428571428571428	21	7	DEVELOPMENT_EXPOSED	PRIMARY	PRIMARY	fixed_7mer_window	0.0	0.0	0.0	0.5	0.0
NA-MPNN	DBP035	0.0051948051948051	0.0357142857142857	-0.3155844155844156	0.3333333333333333	-0.3333333333333333	21	7	DEVELOPMENT_EXPOSED	PRIMARY	PRIMARY	fixed_7mer_window	0.0	0.0	0.0	0.5	0.0
NA-MPNN	DBP048	-0.0454545454545454	-0.2142857142857143	0.1766233766233766	0.5238095238095238	0.0476190476190476	21	7	DEVELOPMENT_EXPOSED	SENSITIVITY_ONLY	AMBIGUOUS	fixed_7mer_window	0.0	0.0	0.0	0.5	0.0
