protein_id	cohort	comparison	level	correlation	status
DBP001	development_exposed	DeepPBS_vs_competition	GLOBAL	0.2271255060728745	EVALUABLE
DBP001	development_exposed	DeepPBS_vs_competition	POSITION	0.510989010989011	EVALUABLE
DBP001	development_exposed	DeepPBS_vs_competition	IDENTITY	0.0070850202429149	EVALUABLE
DBP003	development_exposed	DeepPBS_vs_competition	GLOBAL	0.1823886639676113	EVALUABLE
DBP003	development_exposed	DeepPBS_vs_competition	POSITION	0.2362637362637362	EVALUABLE
DBP003	development_exposed	DeepPBS_vs_competition	IDENTITY	0.1147773279352226	EVALUABLE
DBP005	development_exposed	DeepPBS_vs_competition	GLOBAL	0.3491613321448829	EVALUABLE
DBP005	development_exposed	DeepPBS_vs_competition	POSITION	0.3010989010989011	EVALUABLE
DBP005	development_exposed	DeepPBS_vs_competition	IDENTITY	0.1131999027631472	EVALUABLE
DBP006	development_exposed	DeepPBS_vs_competition	GLOBAL	0.7447532614861032	EVALUABLE
DBP006	development_exposed	DeepPBS_vs_competition	POSITION	0.7010989010989012	EVALUABLE
DBP006	development_exposed	DeepPBS_vs_competition	IDENTITY	-0.0725224860222024	EVALUABLE
DBP009	development_exposed	DeepPBS_vs_competition	GLOBAL	0.5655133295519001	EVALUABLE
DBP009	development_exposed	DeepPBS_vs_competition	POSITION	0.7406593406593407	EVALUABLE
DBP009	development_exposed	DeepPBS_vs_competition	IDENTITY	0.1619803905680253	EVALUABLE
DBP035	development_exposed	DeepPBS_vs_competition	GLOBAL	0.3583988331577668	EVALUABLE
DBP035	development_exposed	DeepPBS_vs_competition	POSITION	0.1296703296703296	EVALUABLE
DBP035	development_exposed	DeepPBS_vs_competition	IDENTITY	0.4441293250141804	EVALUABLE
DBP023	locked_holdout	DeepPBS_vs_competition	GLOBAL	0.3078356697188234	EVALUABLE
DBP023	locked_holdout	DeepPBS_vs_competition	POSITION	0.5604395604395604	EVALUABLE
DBP023	locked_holdout	DeepPBS_vs_competition	IDENTITY	0.0057531804553925	EVALUABLE
DBP056	locked_holdout	DeepPBS_vs_competition	GLOBAL	0.0850012154606596	EVALUABLE
DBP056	locked_holdout	DeepPBS_vs_competition	POSITION	0.4549450549450549	EVALUABLE
DBP056	locked_holdout	DeepPBS_vs_competition	IDENTITY	0.0007292763957539	EVALUABLE
DBP062	locked_holdout	DeepPBS_vs_competition	GLOBAL	-0.0303865164897496	EVALUABLE
DBP062	locked_holdout	DeepPBS_vs_competition	POSITION	0.7054945054945055	EVALUABLE
DBP062	locked_holdout	DeepPBS_vs_competition	IDENTITY	-0.0375172190260108	EVALUABLE
DBP001	experimental_replicate	competition_R1_vs_R2	GLOBAL	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP001	experimental_replicate	competition_R1_vs_R2	POSITION	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP001	experimental_replicate	competition_R1_vs_R2	IDENTITY	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP003	experimental_replicate	competition_R1_vs_R2	GLOBAL	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP003	experimental_replicate	competition_R1_vs_R2	POSITION	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP003	experimental_replicate	competition_R1_vs_R2	IDENTITY	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP005	experimental_replicate	competition_R1_vs_R2	GLOBAL	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP005	experimental_replicate	competition_R1_vs_R2	POSITION	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP005	experimental_replicate	competition_R1_vs_R2	IDENTITY	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP006	experimental_replicate	competition_R1_vs_R2	GLOBAL	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP006	experimental_replicate	competition_R1_vs_R2	POSITION	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP006	experimental_replicate	competition_R1_vs_R2	IDENTITY	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP009	experimental_replicate	competition_R1_vs_R2	GLOBAL	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP009	experimental_replicate	competition_R1_vs_R2	POSITION	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP009	experimental_replicate	competition_R1_vs_R2	IDENTITY	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP023	experimental_replicate	competition_R1_vs_R2	GLOBAL	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP023	experimental_replicate	competition_R1_vs_R2	POSITION	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP023	experimental_replicate	competition_R1_vs_R2	IDENTITY	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP035	experimental_replicate	competition_R1_vs_R2	GLOBAL	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP035	experimental_replicate	competition_R1_vs_R2	POSITION	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP035	experimental_replicate	competition_R1_vs_R2	IDENTITY	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP048	experimental_replicate	competition_R1_vs_R2	GLOBAL	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP048	experimental_replicate	competition_R1_vs_R2	POSITION	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP048	experimental_replicate	competition_R1_vs_R2	IDENTITY	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP056	experimental_replicate	competition_R1_vs_R2	GLOBAL	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP056	experimental_replicate	competition_R1_vs_R2	POSITION	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP056	experimental_replicate	competition_R1_vs_R2	IDENTITY	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP062	experimental_replicate	competition_R1_vs_R2	GLOBAL	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP062	experimental_replicate	competition_R1_vs_R2	POSITION	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
DBP062	experimental_replicate	competition_R1_vs_R2	IDENTITY	NA	NOT_EVALUABLE_PUBLIC_SOURCE_MEAN_ONLY
