cohort	status	unit	global	position	identity	pairwise
Designed DBP development	MODEL PERFORMANCE	DBP001	0.2271255060728745	0.510989010989011	0.0070850202429149	0.3846153846153845
Designed DBP development	MODEL PERFORMANCE	DBP003	0.1823886639676113	0.2362637362637362	0.1147773279352226	0.5128205128205127
Designed DBP development	MODEL PERFORMANCE	DBP005	0.3491613321448829	0.3010989010989011	0.1131999027631472	0.4999999999999999
Designed DBP development	MODEL PERFORMANCE	DBP006	0.7447532614861032	0.7010989010989012	-0.0725224860222024	0.4285714285714285
Designed DBP development	MODEL PERFORMANCE	DBP009	0.5655133295519001	0.7406593406593407	0.1619803905680253	0.5714285714285714
Designed DBP development	MODEL PERFORMANCE	DBP035	0.3583988331577668	0.1296703296703296	0.4441293250141804	0.6666666666666666
Designed DBP prospective holdout	PROSPECTIVE HOLDOUT	DBP023	0.3078356697188234	0.5604395604395604	0.0057531804553925	0.5476190476190476
Designed DBP prospective holdout	PROSPECTIVE HOLDOUT	DBP056	0.0850012154606596	0.4549450549450549	0.0007292763957539	0.4523809523809524
Designed DBP prospective holdout	PROSPECTIVE HOLDOUT	DBP062	-0.0303865164897496	0.7054945054945055	-0.0375172190260108	0.5714285714285714
SaMBA technical repeatability	TECHNICAL REPEATABILITY	Cbf1	0.9325611325611326	0.8811188811188813	0.9032175032175032	0.8055555555555556
SaMBA technical repeatability	TECHNICAL REPEATABILITY	Egr1	0.9819819819819822	0.965034965034965	0.9534105534105534	0.8888888888888888
SaMBA technical repeatability	TECHNICAL REPEATABILITY	Ets1	0.9300217586618174	0.7954545454545454	0.7873758880630006	0.8143939393939394
SaMBA technical repeatability	TECHNICAL REPEATABILITY	GR	0.9670619235836626	0.9178571428571428	0.6447957839262187	0.7333333333333333
SaMBA technical repeatability	TECHNICAL REPEATABILITY	Max	0.9564993564993566	0.8811188811188813	0.823037323037323	0.8611111111111112
SaMBA technical repeatability	TECHNICAL REPEATABILITY	TBP	0.9472747497219132	0.9757575757575756	0.9388209121245829	0.8666666666666667
SaMBA technical repeatability	TECHNICAL REPEATABILITY	p53	0.9253148067737734	0.7088235294117646	0.7206904038211029	0.7916666666666666
Natural TF DeepPBS	MODEL PERFORMANCE / NOT EVALUABLE	Ets1_site_1	NA	NA	NA	NA
Natural TF DeepPBS	MODEL PERFORMANCE / NOT EVALUABLE	Ets1_site_3	NA	NA	NA	NA
