analysis_set	method	omitted_protein	metric	n_proteins	median	mean
primary_six	DeepPBS	DBP001	global_spearman	5	0.3583988331577668	0.44004308406165293
primary_six	DeepPBS	DBP001	position_spearman	5	0.3010989010989011	0.4217582417582418
primary_six	DeepPBS	DBP001	within_residual_spearman	5	0.11477732793522268	0.15231289205167467
primary_six	DeepPBS	DBP001	within_pairwise_accuracy	5	0.5128205128205127	0.5358974358974359
primary_six	DeepPBS	DBP003	global_spearman	5	0.3583988331577668	0.4489904524827056
primary_six	DeepPBS	DBP003	position_spearman	5	0.510989010989011	0.4767032967032967
primary_six	DeepPBS	DBP003	within_residual_spearman	5	0.11319990276314726	0.1307744305132131
primary_six	DeepPBS	DBP003	within_pairwise_accuracy	5	0.49999999999999994	0.5102564102564102
primary_six	DeepPBS	DBP005	global_spearman	5	0.3583988331577668	0.41563591884725126
primary_six	DeepPBS	DBP005	position_spearman	5	0.510989010989011	0.46373626373626375
primary_six	DeepPBS	DBP005	within_residual_spearman	5	0.11477732793522268	0.1310899155476282
primary_six	DeepPBS	DBP005	within_pairwise_accuracy	5	0.5128205128205127	0.5128205128205128
primary_six	DeepPBS	DBP006	global_spearman	5	0.34916133214488293	0.33651753297900716
primary_six	DeepPBS	DBP006	position_spearman	5	0.3010989010989011	0.38373626373626374
primary_six	DeepPBS	DBP006	within_residual_spearman	5	0.11477732793522268	0.16823439330469814
primary_six	DeepPBS	DBP006	within_pairwise_accuracy	5	0.5128205128205127	0.527106227106227
primary_six	DeepPBS	DBP009	global_spearman	5	0.34916133214488293	0.3723655193658478
primary_six	DeepPBS	DBP009	position_spearman	5	0.3010989010989011	0.3758241758241758
primary_six	DeepPBS	DBP009	within_residual_spearman	5	0.11319990276314726	0.12133381798665259
primary_six	DeepPBS	DBP009	within_pairwise_accuracy	5	0.49999999999999994	0.49853479853479843
primary_six	DeepPBS	DBP035	global_spearman	5	0.34916133214488293	0.4137884186446744
primary_six	DeepPBS	DBP035	position_spearman	5	0.510989010989011	0.498021978021978
primary_six	DeepPBS	DBP035	within_residual_spearman	5	0.11319990276314726	0.06490403109742156
primary_six	DeepPBS	DBP035	within_pairwise_accuracy	5	0.49999999999999994	0.4794871794871794
primary_six	NA-MPNN	DBP001	global_spearman	5	0.06883116883116883	0.16025974025974027
