method	protein_id	analysis_status	null_type	metric	observed	chance_baseline	null_median	null_q025	null_q975	empirical_p	tail	n_permutations
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	0.510989010989011	0.0	0.0	-0.5604395604395606	0.5549450549450549	0.0769615192403798	two_sided	2000
DeepPBS	DBP001	PRIMARY	within_position_base_label	within_residual_spearman	0.007085020242914981	0.0	0.008805668016194333	-0.39396255060728746	0.37676619433198355	0.9710144927536232	two_sided	2000
DeepPBS	DBP001	PRIMARY	within_position_base_label	within_pairwise_accuracy	0.3846153846153845	0.5	0.4871794871794872	0.3076923076923077	0.6666666666666667	0.9165417291354323	upper	2000
DeepPBS	DBP003	PRIMARY	position_label	position_spearman	0.23626373626373626	0.0	0.005494505494505494	-0.549587912087912	0.5714285714285714	0.42128935532233885	two_sided	2000
DeepPBS	DBP003	PRIMARY	within_position_base_label	within_residual_spearman	0.11477732793522268	0.0	-0.0020242914979757085	-0.3553694331983806	0.3856427125506072	0.5432283858070964	two_sided	2000
DeepPBS	DBP003	PRIMARY	within_position_base_label	within_pairwise_accuracy	0.5128205128205127	0.5	0.4871794871794872	0.3333333333333333	0.6666666666666666	0.487256371814093	upper	2000
DeepPBS	DBP005	PRIMARY	position_label	position_spearman	0.3010989010989011	0.0	0.002197802197802198	-0.5078021978021978	0.5472527472527472	0.28535732133933034	two_sided	2000
DeepPBS	DBP005	PRIMARY	within_position_base_label	within_residual_spearman	0.11319990276314726	0.0	-0.0002430921319179969	-0.3293209626448424	0.296908678389109	0.4912543728135932	two_sided	2000
DeepPBS	DBP005	PRIMARY	within_position_base_label	within_pairwise_accuracy	0.49999999999999994	0.5	0.5	0.3333333333333333	0.6666666666666667	0.5622188905547226	upper	2000
DeepPBS	DBP006	PRIMARY	position_label	position_spearman	0.7010989010989012	0.0	-0.002197802197802198	-0.5076923076923077	0.5340659340659341	0.006496751624187906	two_sided	2000
DeepPBS	DBP006	PRIMARY	within_position_base_label	within_residual_spearman	-0.07252248602220242	0.0	0.0014585527915079817	-0.39519487885908755	0.397945871485293	0.7106446776611695	two_sided	2000
DeepPBS	DBP006	PRIMARY	within_position_base_label	within_pairwise_accuracy	0.4285714285714285	0.5	0.5	0.3333333333333333	0.6666666666666666	0.8420789605197402	upper	2000
DeepPBS	DBP009	PRIMARY	position_label	position_spearman	0.7406593406593407	0.0	0.006593406593406593	-0.5428571428571429	0.5296703296703297	0.00399800099950025	two_sided	2000
DeepPBS	DBP009	PRIMARY	within_position_base_label	within_residual_spearman	0.1619803905680253	0.0	-0.013208005834211167	-0.39600113442994894	0.3733571023417873	0.42828585707146427	two_sided	2000
DeepPBS	DBP009	PRIMARY	within_position_base_label	within_pairwise_accuracy	0.5714285714285714	0.5	0.5	0.3333333333333333	0.6666666666666667	0.24437781109445278	upper	2000
DeepPBS	DBP035	PRIMARY	position_label	position_spearman	0.12967032967032965	0.0	0.002197802197802198	-0.5428571428571429	0.5384615384615385	0.6666666666666666	two_sided	2000
DeepPBS	DBP035	PRIMARY	within_position_base_label	within_residual_spearman	0.4441293250141804	0.0	-0.00939956243416255	-0.41725954136617777	0.35677821894498013	0.026986506746626688	two_sided	2000
DeepPBS	DBP035	PRIMARY	within_position_base_label	within_pairwise_accuracy	0.6666666666666666	0.5	0.5	0.33333333333333337	0.6666666666666666	0.028985507246376812	upper	2000
DeepPBS	DBP048	SENSITIVITY_ONLY	position_label	position_spearman	0.367032967032967	0.0	-0.015384615384615385	-0.5253846153846154	0.5560439560439561	0.2193903048475762	two_sided	2000
DeepPBS	DBP048	SENSITIVITY_ONLY	within_position_base_label	within_residual_spearman	0.011263268778867191	0.0	0.00980471598735921	-0.357284660886476	0.4151365367474272	0.9660169915042479	two_sided	2000
DeepPBS	DBP048	SENSITIVITY_ONLY	within_position_base_label	within_pairwise_accuracy	0.4523809523809523	0.5	0.5	0.3333333333333333	0.6666666666666666	0.7576211894052973	upper	2000
PBM_experimental	DBP001	PRIMARY	position_label	position_spearman	-0.9642857142857145	0.0	0.0	-0.7500000000000002	0.7500000000000002	0.004497751124437781	two_sided	2000
PBM_experimental	DBP001	PRIMARY	within_position_base_label	within_residual_spearman	0.14025974025974028	0.0	-0.02077922077922078	-0.5051948051948052	0.4208116883116881	0.5612193903048476	two_sided	2000
PBM_experimental	DBP001	PRIMARY	within_position_base_label	within_pairwise_accuracy	0.5714285714285714	0.5	0.4761904761904762	0.2857142857142857	0.7142857142857143	0.34132933533233384	upper	2000
PBM_experimental	DBP003	PRIMARY	position_label	position_spearman	-0.25	0.0	0.0	-0.7500000000000002	0.7500000000000002	0.5952023988005997	two_sided	2000
PBM_experimental	DBP003	PRIMARY	within_position_base_label	within_residual_spearman	-0.05844155844155843	0.0	-0.0025974025974025974	-0.4910064935064935	0.42990259740259723	0.8170914542728636	two_sided	2000
PBM_experimental	DBP003	PRIMARY	within_position_base_label	within_pairwise_accuracy	0.42857142857142855	0.5	0.4761904761904762	0.2857142857142857	0.7619047619047619	0.7521239380309845	upper	2000
PBM_experimental	DBP005	PRIMARY	position_label	position_spearman	-0.28571428571428575	0.0	0.0	-0.7857142857142859	0.7857142857142859	0.5702148925537232	two_sided	2000
PBM_experimental	DBP005	PRIMARY	within_position_base_label	within_residual_spearman	-0.016883116883116882	0.0	0.0012987012987012987	-0.4104220779220779	0.4389935064935063	0.9465267366316842	two_sided	2000
PBM_experimental	DBP005	PRIMARY	within_position_base_label	within_pairwise_accuracy	0.4285714285714285	0.5	0.5238095238095237	0.2857142857142857	0.7142857142857143	0.7901049475262368	upper	2000
PBM_experimental	DBP006	PRIMARY	position_label	position_spearman	0.8214285714285715	0.0	0.0	-0.7508928571428574	0.7500000000000002	0.038980509745127435	two_sided	2000
PBM_experimental	DBP006	PRIMARY	within_position_base_label	within_residual_spearman	0.48571428571428565	0.0	-0.003246753246753247	-0.5337662337662338	0.5924025974025963	0.09045477261369315	two_sided	2000
PBM_experimental	DBP006	PRIMARY	within_position_base_label	within_pairwise_accuracy	0.5714285714285714	0.5	0.4761904761904762	0.2857142857142857	0.7142857142857143	0.3583208395802099	upper	2000
PBM_experimental	DBP009	PRIMARY	position_label	position_spearman	0.7142857142857144	0.0	0.0	-0.7500000000000002	0.7508928571428525	0.09045477261369315	two_sided	2000
PBM_experimental	DBP009	PRIMARY	within_position_base_label	within_residual_spearman	0.42207792207792205	0.0	-0.023376623376623374	-0.5104220779220779	0.4948376623376622	0.10394802598700649	two_sided	2000
PBM_experimental	DBP009	PRIMARY	within_position_base_label	within_pairwise_accuracy	0.619047619047619	0.5	0.4761904761904762	0.2857142857142857	0.7142857142857143	0.20689655172413793	upper	2000
PBM_experimental	DBP035	PRIMARY	position_label	position_spearman	0.642857142857143	0.0	0.0	-0.7500000000000002	0.7500000000000002	0.1374312843578211	two_sided	2000
PBM_experimental	DBP035	PRIMARY	within_position_base_label	within_residual_spearman	0.04675324675324675	0.0	0.024675324675324677	-0.4207792207792207	0.503993506493506	0.8545727136431784	two_sided	2000
PBM_experimental	DBP035	PRIMARY	within_position_base_label	within_pairwise_accuracy	0.47619047619047616	0.5	0.5238095238095237	0.23809523809523808	0.7619047619047619	0.6591704147926037	upper	2000
PBM_experimental	DBP048	SENSITIVITY_ONLY	position_label	position_spearman	0.5714285714285715	0.0	0.0	-0.7500000000000002	0.7500000000000002	0.1794102948525737	two_sided	2000
PBM_experimental	DBP048	SENSITIVITY_ONLY	within_position_base_label	within_residual_spearman	0.37142857142857144	0.0	-0.0038961038961038965	-0.5221103896103897	0.464935064935065	0.15642178910544727	two_sided	2000
PBM_experimental	DBP048	SENSITIVITY_ONLY	within_position_base_label	within_pairwise_accuracy	0.7619047619047619	0.5	0.5238095238095237	0.2857142857142857	0.7142857142857143	0.01899050474762619	upper	2000
NA-MPNN	DBP001	PRIMARY	position_label	position_spearman	-0.3571428571428572	0.0	0.0	-0.7857142857142859	0.7500000000000002	0.4577711144427786	two_sided	2000
NA-MPNN	DBP001	PRIMARY	within_position_base_label	within_residual_spearman	0.3675324675324675	0.0	0.007792207792207793	-0.48834415584415586	0.48834415584415564	0.1854072963518241	two_sided	2000
NA-MPNN	DBP001	PRIMARY	within_position_base_label	within_pairwise_accuracy	0.6190476190476192	0.5	0.5238095238095237	0.2857142857142857	0.7142857142857143	0.1294352823588206	upper	2000
NA-MPNN	DBP003	PRIMARY	position_label	position_spearman	0.1785714285714286	0.0	0.0	-0.7500000000000002	0.7500000000000002	0.711144427786107	two_sided	2000
NA-MPNN	DBP003	PRIMARY	within_position_base_label	within_residual_spearman	0.3181818181818181	0.0	0.031168831168831172	-0.345487012987013	0.4311688311688312	0.1294352823588206	two_sided	2000
NA-MPNN	DBP003	PRIMARY	within_position_base_label	within_pairwise_accuracy	0.5714285714285714	0.5	0.4761904761904762	0.2857142857142857	0.715476190476184	0.3343328335832084	upper	2000
NA-MPNN	DBP005	PRIMARY	position_label	position_spearman	0.4642857142857144	0.0	0.0	-0.7857142857142859	0.7500000000000002	0.2958520739630185	two_sided	2000
NA-MPNN	DBP005	PRIMARY	within_position_base_label	within_residual_spearman	0.0	0.0	-0.013636363636363636	-0.467564935064935	0.45074675324675273	1.0	two_sided	2000
NA-MPNN	DBP005	PRIMARY	within_position_base_label	within_pairwise_accuracy	0.5238095238095238	0.5	0.5238095238095237	0.2857142857142857	0.7142857142857143	0.4852573713143428	upper	2000
