protein	cohort	full_global_spearman	position_only_global_spearman	delta_global	full_identity_spearman	full_pairwise_accuracy
DBP001	development	0.2271255060728745	0.3452417132214992	0.11811620714862472	0.007085020242914981	0.3846153846153845
DBP003	development	0.18238866396761136	0.17475197829730205	-0.007636685670309312	0.11477732793522268	0.5128205128205127
DBP005	development	0.34916133214488293	0.32039390888982144	-0.028767423255061486	0.11319990276314726	0.49999999999999994
DBP006	development	0.7447532614861032	0.7726000647069383	0.027846803220835104	-0.07252248602220242	0.4285714285714285
DBP009	development	0.5655133295519001	0.6673451836115749	0.10183185405967476	0.1619803905680253	0.5714285714285714
DBP035	development	0.3583988331577668	0.18151594077788366	-0.17688289237988317	0.4441293250141804	0.6666666666666666
DBP048	development	0.049833887043189376	-0.009989467881735879	-0.05982335492492526	0.011263268778867191	0.4523809523809523
DBP023	prospective_holdout	0.3078356697188234	0.3145464154956346	0.006710745776811189	0.005753180455392594	0.5476190476190476
DBP056	prospective_holdout	0.0850012154606596	0.07090085740451563	-0.014100358056143972	0.0007292763957539907	0.4523809523809524
DBP062	prospective_holdout	-0.030386516489749615	-0.010476758997918115	0.0199097574918315	-0.037517219026010865	0.5714285714285714
