protein	status	global_rep_rho	global_rep_pearson	global_rep_mae	global_normalized_disagreement	position_rep_rho	identity_rep_rho	identity_pairwise_rep_accuracy	identity_concordance
DBP001	NOT_EVALUABLE_SOURCE_DATA_MEAN_ONLY	NA	NA	NA	NA	NA	NA	NA	NA
DBP003	NOT_EVALUABLE_SOURCE_DATA_MEAN_ONLY	NA	NA	NA	NA	NA	NA	NA	NA
DBP005	NOT_EVALUABLE_SOURCE_DATA_MEAN_ONLY	NA	NA	NA	NA	NA	NA	NA	NA
DBP006	NOT_EVALUABLE_SOURCE_DATA_MEAN_ONLY	NA	NA	NA	NA	NA	NA	NA	NA
DBP009	NOT_EVALUABLE_SOURCE_DATA_MEAN_ONLY	NA	NA	NA	NA	NA	NA	NA	NA
DBP023	NOT_EVALUABLE_SOURCE_DATA_MEAN_ONLY	NA	NA	NA	NA	NA	NA	NA	NA
DBP035	NOT_EVALUABLE_SOURCE_DATA_MEAN_ONLY	NA	NA	NA	NA	NA	NA	NA	NA
DBP048	NOT_EVALUABLE_SOURCE_DATA_MEAN_ONLY	NA	NA	NA	NA	NA	NA	NA	NA
DBP056	NOT_EVALUABLE_SOURCE_DATA_MEAN_ONLY	NA	NA	NA	NA	NA	NA	NA	NA
DBP062	NOT_EVALUABLE_SOURCE_DATA_MEAN_ONLY	NA	NA	NA	NA	NA	NA	NA	NA
