protein	cohort	source_type	total_variance	position_variance	identity_variance	position_fraction	identity_fraction	n_mutations	n_positions
DBP001	development	experimental_competition	0.1223721725906259	0.08655643197569098	0.03581574061493495	0.7073212001003689	0.29267879989963136	39	13
DBP003	development	experimental_competition	0.06189773272525705	0.037534420566494996	0.02436331215876205	0.6063941103157607	0.3936058896842392	39	13
DBP005	development	experimental_competition	0.11852454722594905	0.09464343113970251	0.023881116086246552	0.7985133320887461	0.20148666791125414	42	14
DBP006	development	experimental_competition	0.0755079828555703	0.06611265184151446	0.009395331014055847	0.8755716858172866	0.12442831418271352	42	14
DBP009	development	experimental_competition	0.1001570373782202	0.09197816178242679	0.008178875595793425	0.918339481579235	0.08166051842076527	42	14
DBP035	development	experimental_competition	0.061360584141129465	0.05065100878994401	0.010709575351185455	0.8254649055075256	0.17453509449247437	42	14
DBP048	development	experimental_competition	0.06341252701050336	0.05210081813877234	0.01131170887173101	0.8216171251169757	0.17838287488302415	42	14
DBP001	development	DeepPBS_prediction	2.5198362624142896	1.6184352272379807	0.9014010351763084	0.6422779334429197	0.3577220665570801	39	13
DBP003	development	DeepPBS_prediction	4.348877913006576	3.8250737915311808	0.5238041214753948	0.879554190309917	0.12044580969008287	39	13
DBP005	development	DeepPBS_prediction	2.9265200248137635	2.3087008745971076	0.6178191502166562	0.7888894847880044	0.21111051521199575	42	14
DBP006	development	DeepPBS_prediction	4.745105137542556	4.342242181317488	0.40286295622506774	0.9150992560654395	0.08490074393456044	42	14
DBP009	development	DeepPBS_prediction	3.0625658680141097	2.5446628430344225	0.5179030249796879	0.8308924453221584	0.16910755467784172	42	14
DBP035	development	DeepPBS_prediction	2.0995026137345336	1.398872438429071	0.7006301753054627	0.6662875431913836	0.33371245680861633	42	14
DBP048	development	DeepPBS_prediction	4.899199798351655	4.503368578622347	0.39583121972930935	0.9192049240648471	0.08079507593515323	42	14
DBP023	prospective_holdout	experimental_competition	0.04519629539944017	0.03393089303524342	0.01126540236419676	0.7507450054338681	0.24925499456613207	42	14
DBP056	prospective_holdout	experimental_competition	0.16954003767559295	0.14312206554757306	0.026417972128019846	0.8441785640122986	0.15582143598770115	42	14
DBP062	prospective_holdout	experimental_competition	0.14005903112422846	0.11356196684280968	0.02649706428141872	0.8108150251452431	0.1891849748547565	42	14
DBP023	prospective_holdout	DeepPBS_prediction	3.7450358304369433	3.3263394640982487	0.41869636633869395	0.8881996367202062	0.11180036327979365	42	14
DBP056	prospective_holdout	DeepPBS_prediction	4.161981122752918	3.8960498833147597	0.2659312394381566	0.9361046502627433	0.06389534973725637	42	14
DBP062	prospective_holdout	DeepPBS_prediction	4.058115207038401	3.0006073902936996	1.0575078167447007	0.7394091190633134	0.2605908809366865	42	14
