protein_id_a,protein_id_b,sequence_identity,identity_method,cluster_threshold
DBP1,DBP1,1.0,1 - Levenshtein edit distance / max sequence length,0.6
DBP1,DBP3,0.6379310344827587,1 - Levenshtein edit distance / max sequence length,0.6
DBP1,DBP35,0.2063492063492064,1 - Levenshtein edit distance / max sequence length,0.6
DBP1,DBP48,0.23076923076923073,1 - Levenshtein edit distance / max sequence length,0.6
DBP1,DBP5,0.2222222222222222,1 - Levenshtein edit distance / max sequence length,0.6
DBP1,DBP6,0.2068965517241379,1 - Levenshtein edit distance / max sequence length,0.6
DBP1,DBP9,0.24137931034482762,1 - Levenshtein edit distance / max sequence length,0.6
DBP3,DBP1,0.6379310344827587,1 - Levenshtein edit distance / max sequence length,0.6
DBP3,DBP3,1.0,1 - Levenshtein edit distance / max sequence length,0.6
DBP3,DBP35,0.2222222222222222,1 - Levenshtein edit distance / max sequence length,0.6
DBP3,DBP48,0.2153846153846154,1 - Levenshtein edit distance / max sequence length,0.6
DBP3,DBP5,0.2063492063492064,1 - Levenshtein edit distance / max sequence length,0.6
DBP3,DBP6,0.15517241379310343,1 - Levenshtein edit distance / max sequence length,0.6
DBP3,DBP9,0.1724137931034483,1 - Levenshtein edit distance / max sequence length,0.6
DBP35,DBP1,0.2063492063492064,1 - Levenshtein edit distance / max sequence length,0.6
DBP35,DBP3,0.2222222222222222,1 - Levenshtein edit distance / max sequence length,0.6
DBP35,DBP35,1.0,1 - Levenshtein edit distance / max sequence length,0.6
DBP35,DBP48,0.32307692307692304,1 - Levenshtein edit distance / max sequence length,0.6
DBP35,DBP5,0.7301587301587302,1 - Levenshtein edit distance / max sequence length,0.6
DBP35,DBP6,0.3492063492063492,1 - Levenshtein edit distance / max sequence length,0.6
DBP35,DBP9,0.39682539682539686,1 - Levenshtein edit distance / max sequence length,0.6
DBP48,DBP1,0.23076923076923073,1 - Levenshtein edit distance / max sequence length,0.6
DBP48,DBP3,0.2153846153846154,1 - Levenshtein edit distance / max sequence length,0.6
DBP48,DBP35,0.32307692307692304,1 - Levenshtein edit distance / max sequence length,0.6
DBP48,DBP48,1.0,1 - Levenshtein edit distance / max sequence length,0.6
DBP48,DBP5,0.27692307692307694,1 - Levenshtein edit distance / max sequence length,0.6
DBP48,DBP6,0.4,1 - Levenshtein edit distance / max sequence length,0.6
DBP48,DBP9,0.41538461538461535,1 - Levenshtein edit distance / max sequence length,0.6
DBP5,DBP1,0.2222222222222222,1 - Levenshtein edit distance / max sequence length,0.6
DBP5,DBP3,0.2063492063492064,1 - Levenshtein edit distance / max sequence length,0.6
DBP5,DBP35,0.7301587301587302,1 - Levenshtein edit distance / max sequence length,0.6
DBP5,DBP48,0.27692307692307694,1 - Levenshtein edit distance / max sequence length,0.6
DBP5,DBP5,1.0,1 - Levenshtein edit distance / max sequence length,0.6
DBP5,DBP6,0.3650793650793651,1 - Levenshtein edit distance / max sequence length,0.6
DBP5,DBP9,0.39682539682539686,1 - Levenshtein edit distance / max sequence length,0.6
DBP6,DBP1,0.2068965517241379,1 - Levenshtein edit distance / max sequence length,0.6
DBP6,DBP3,0.15517241379310343,1 - Levenshtein edit distance / max sequence length,0.6
DBP6,DBP35,0.3492063492063492,1 - Levenshtein edit distance / max sequence length,0.6
DBP6,DBP48,0.4,1 - Levenshtein edit distance / max sequence length,0.6
DBP6,DBP5,0.3650793650793651,1 - Levenshtein edit distance / max sequence length,0.6
DBP6,DBP6,1.0,1 - Levenshtein edit distance / max sequence length,0.6
DBP6,DBP9,0.8214285714285714,1 - Levenshtein edit distance / max sequence length,0.6
DBP9,DBP1,0.24137931034482762,1 - Levenshtein edit distance / max sequence length,0.6
DBP9,DBP3,0.1724137931034483,1 - Levenshtein edit distance / max sequence length,0.6
DBP9,DBP35,0.39682539682539686,1 - Levenshtein edit distance / max sequence length,0.6
DBP9,DBP48,0.41538461538461535,1 - Levenshtein edit distance / max sequence length,0.6
DBP9,DBP5,0.39682539682539686,1 - Levenshtein edit distance / max sequence length,0.6
DBP9,DBP6,0.8214285714285714,1 - Levenshtein edit distance / max sequence length,0.6
DBP9,DBP9,1.0,1 - Levenshtein edit distance / max sequence length,0.6
