position	dbp35_sensitivity	dbp35opt_sensitivity	mean_effect_shift	mean_abs_identity_shift	sensitivity_change	continuous_change_direction
1	0.222365536002579	0.3497239847880067	-0.12735844878542765	0.03050862762593044	0.1273584487854277	strengthened
2	0.3532254983523097	0.3476968829857106	0.005528615366599025	0.04572351922180603	-0.005528615366599099	weakened
3	0.15608979486149396	0.43355697240915264	-0.2774671775476587	0.060538210051944485	0.2774671775476587	strengthened
4	0.15030609990301336	0.20025107209449833	-0.049944972191484964	0.0645651266555733	0.04994497219148497	strengthened
5	0.15221039261278801	0.272757519818823	-0.120547127206035	0.020396544830287997	0.120547127206035	strengthened
6	0.225839561849649	0.210399716584748	0.015439845264901006	0.021906511286991337	-0.015439845264901025	weakened
7	0.21490417527954067	0.26567786645339636	-0.05077369117385567	0.10178760205639559	0.05077369117385569	strengthened
8	0.33952864038680736	0.9887605075831316	-0.6492318671963243	0.035425253473261566	0.6492318671963242	strengthened
9	0.34646445890656635	0.8375176960904541	-0.49105323718388777	0.22988546594616563	0.49105323718388777	strengthened
10	0.6748226682855419	1.3734266178436467	-0.6986039495581048	0.061468055102401574	0.6986039495581048	strengthened
11	0.47501265891513117	0.8061623349927793	-0.33114967607764817	0.33446748810449084	0.33114967607764817	strengthened
12	0.999815098039668	2.2776375747905067	-1.2778224767508386	0.2786576657558057	1.2778224767508388	strengthened
13	0.365328054555979	0.6856331056354897	-0.3203050510795106	0.059895768797385805	0.32030505107951074	strengthened
14	0.3561263634373543	0.7201974188528251	-0.3640710554154707	0.1385648380876069	0.36407105541547075	strengthened
