protein_a	protein_b	n_common_mutations	spearman	pearson	status
DBP001	DBP003	3	-0.5	-0.340187576620086	PRIMARY_PAIR
DBP001	DBP005	9	-0.06666666666666667	0.019323322713982197	PRIMARY_PAIR
DBP001	DBP006	9	0.25	0.14672564558809992	PRIMARY_PAIR
DBP001	DBP009	9	-0.5833333333333334	-0.6450985433986813	PRIMARY_PAIR
DBP001	DBP035	9	0.03333333333333333	0.14203812367108384	PRIMARY_PAIR
DBP001	DBP048	6	-0.6571428571428573	-0.30552592063267175	DBP048_SENSITIVITY_INCLUDED
DBP003	DBP005	6	-0.7714285714285715	-0.7473870149406988	PRIMARY_PAIR
DBP003	DBP006	6	0.8285714285714287	0.8293343000924249	PRIMARY_PAIR
DBP003	DBP009	6	0.7714285714285715	0.842367162273391	PRIMARY_PAIR
DBP003	DBP035	6	-0.14285714285714288	-0.2866025397273327	PRIMARY_PAIR
DBP003	DBP048	0			DBP048_SENSITIVITY_INCLUDED
DBP005	DBP006	21	-0.3363636363636363	-0.3281486021396488	PRIMARY_PAIR
DBP005	DBP009	21	0.12987012987012986	0.13135940733864315	PRIMARY_PAIR
DBP005	DBP035	21	0.890909090909091	0.8999046788039496	PRIMARY_PAIR
DBP005	DBP048	6	0.08571428571428573	-0.2705540036039676	DBP048_SENSITIVITY_INCLUDED
DBP006	DBP009	21	0.29480519480519485	0.37177098987351276	PRIMARY_PAIR
DBP006	DBP035	21	-0.3038961038961039	-0.3020686824150032	PRIMARY_PAIR
DBP006	DBP048	6	0.2571428571428572	0.05178022102440984	DBP048_SENSITIVITY_INCLUDED
DBP009	DBP035	21	0.1753246753246753	0.17734379310597076	PRIMARY_PAIR
DBP009	DBP048	6	-0.028571428571428574	-0.11231466214728623	DBP048_SENSITIVITY_INCLUDED
DBP035	DBP048	6	-0.08571428571428573	-0.44997305530437304	DBP048_SENSITIVITY_INCLUDED
