protein	dropped_position	n_remaining	rho	original_rho
DBP001	1	36	0.23140283140283138	0.2271255060728745
DBP001	2	36	0.23835263835263834	0.2271255060728745
DBP001	3	36	0.11016731016731017	0.2271255060728745
DBP001	4	36	0.22419562419562422	0.2271255060728745
DBP001	5	36	0.19691119691119693	0.2271255060728745
DBP001	6	36	0.09369369369369371	0.2271255060728745
DBP001	7	36	0.28468468468468466	0.2271255060728745
DBP001	8	36	0.27181467181467184	0.2271255060728745
DBP001	9	36	0.33590733590733596	0.2271255060728745
DBP001	10	36	0.25070785070785073	0.2271255060728745
DBP001	11	36	0.23088803088803087	0.2271255060728745
DBP001	12	36	0.18481338481338483	0.2271255060728745
DBP001	13	36	0.2710424710424711	0.2271255060728745
DBP003	1	36	0.1933075933075933	0.18238866396761136
DBP003	2	36	0.15341055341055343	0.18238866396761136
DBP003	3	36	0.2885456885456885	0.18238866396761136
DBP003	4	36	0.2543114543114543	0.18238866396761136
DBP003	5	36	0.14131274131274132	0.18238866396761136
DBP003	6	36	0.05740025740025741	0.18238866396761136
DBP003	7	36	0.058687258687258693	0.18238866396761136
DBP003	8	36	0.18584298584298584	0.18238866396761136
DBP003	9	36	0.24195624195624196	0.18238866396761136
DBP003	10	36	0.2254826254826255	0.18238866396761136
DBP003	11	36	0.1842985842985843	0.18238866396761136
DBP003	12	36	0.17425997425997425	0.18238866396761136
DBP003	13	36	0.19613899613899616	0.18238866396761136
DBP005	1	39	0.348582995951417	0.34916133214488293
DBP005	2	39	0.40323886639676115	0.34916133214488293
DBP005	3	39	0.39676113360323884	0.34916133214488293
DBP005	4	39	0.3263157894736842	0.34916133214488293
DBP005	5	39	0.4257085020242915	0.34916133214488293
DBP005	6	39	0.38684210526315793	0.34916133214488293
DBP005	7	39	0.28360323886639677	0.34916133214488293
DBP005	8	39	0.2868421052631579	0.34916133214488293
DBP005	9	39	0.3595141700404858	0.34916133214488293
DBP005	10	39	0.24979757085020246	0.34916133214488293
DBP005	11	39	0.39433198380566803	0.34916133214488293
DBP005	12	39	0.25121457489878546	0.34916133214488293
DBP005	13	39	0.3722672064777328	0.34916133214488293
DBP005	14	39	0.37611336032388665	0.34916133214488293
DBP006	1	39	0.7724696356275303	0.7447532614861032
DBP006	2	39	0.7489878542510122	0.7447532614861032
DBP006	3	39	0.7323886639676114	0.7447532614861032
DBP006	4	39	0.7491902834008097	0.7447532614861032
DBP006	5	39	0.743927125506073	0.7447532614861032
DBP006	6	39	0.7469635627530364	0.7447532614861032
DBP006	7	39	0.7408906882591093	0.7447532614861032
DBP006	8	39	0.7327935222672065	0.7447532614861032
DBP006	9	39	0.713157894736842	0.7447532614861032
DBP006	10	39	0.7396761133603239	0.7447532614861032
DBP006	11	39	0.7372469635627531	0.7447532614861032
DBP006	12	39	0.7078947368421054	0.7447532614861032
DBP006	13	39	0.7459514170040488	0.7447532614861032
DBP006	14	39	0.7546558704453441	0.7447532614861032
DBP009	1	39	0.5878542510121458	0.5655133295519001
DBP009	2	39	0.5906882591093118	0.5655133295519001
DBP009	3	39	0.5388663967611337	0.5655133295519001
DBP009	4	39	0.5700404858299596	0.5655133295519001
DBP009	5	39	0.5489878542510122	0.5655133295519001
DBP009	6	39	0.5686234817813766	0.5655133295519001
DBP009	7	39	0.5647773279352227	0.5655133295519001
DBP009	8	39	0.5437246963562753	0.5655133295519001
DBP009	9	39	0.6042510121457491	0.5655133295519001
DBP009	10	39	0.541497975708502	0.5655133295519001
DBP009	11	39	0.5856275303643724	0.5655133295519001
DBP009	12	39	0.4870445344129555	0.5655133295519001
DBP009	13	39	0.6303643724696357	0.5655133295519001
DBP009	14	39	0.5161943319838057	0.5655133295519001
DBP035	1	39	0.3941295546558705	0.3583988331577668
DBP035	2	39	0.4034412955465587	0.3583988331577668
DBP035	3	39	0.3690283400809717	0.3583988331577668
DBP035	4	39	0.3202429149797571	0.3583988331577668
DBP035	5	39	0.46194331983805664	0.3583988331577668
DBP035	6	39	0.3908906882591093	0.3583988331577668
DBP035	7	39	0.31599190283400813	0.3583988331577668
DBP035	8	39	0.34554655870445344	0.3583988331577668
DBP035	9	39	0.37044534412955465	0.3583988331577668
DBP035	10	39	0.22651821862348182	0.3583988331577668
DBP035	11	39	0.3228744939271255	0.3583988331577668
DBP035	12	39	0.32064777327935223	0.3583988331577668
DBP035	13	39	0.4008097165991903	0.3583988331577668
DBP035	14	39	0.3684210526315789	0.3583988331577668
DBP048	1	39	0.046558704453441305	0.049833887043189376
DBP048	2	39	0.0305668016194332	0.049833887043189376
DBP048	3	39	0.0548582995951417	0.049833887043189376
DBP048	4	39	0.06153846153846155	0.049833887043189376
DBP048	5	39	0.11477732793522268	0.049833887043189376
DBP048	6	39	0.009109311740890687	0.049833887043189376
DBP048	7	39	0.022874493927125504	0.049833887043189376
DBP048	8	39	0.11781376518218624	0.049833887043189376
DBP048	9	39	-0.05870445344129555	0.049833887043189376
DBP048	10	39	0.06376518218623482	0.049833887043189376
DBP048	11	39	0.25020242914979757	0.049833887043189376
DBP048	12	39	0.0680161943319838	0.049833887043189376
DBP048	13	39	-0.09331983805668018	0.049833887043189376
DBP048	14	39	0.004048582995951417	0.049833887043189376
