method	protein_id	analysis_status	null_type	metric	permutation	null_value
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	0	0.39560439560439564
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	1	-0.23076923076923078
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	2	0.22527472527472525
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	3	0.03846153846153846
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	4	0.5
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	5	0.10989010989010989
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	6	0.2802197802197803
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	7	-0.25274725274725274
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	8	-0.11538461538461539
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	9	-0.3681318681318681
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	10	0.10989010989010989
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	11	-0.1043956043956044
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	12	-0.2582417582417582
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	13	0.005494505494505494
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	14	-0.10989010989010989
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	15	-0.39010989010989006
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	16	-0.16483516483516483
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	17	0.12637362637362637
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	18	-0.35714285714285715
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	19	0.521978021978022
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	20	0.15384615384615383
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	21	0.5439560439560439
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	22	-0.16483516483516483
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	23	-0.14835164835164835
DeepPBS	DBP001	PRIMARY	position_label	position_spearman	24	-0.06593406593406594
