metric,dataset,protein_id,value,unit,n_units,comparability,stage
protein_sequence_length,natural,UniPROBE:DEV12:Abd-B,493.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:DEV12:Abd-B,0.90415,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:DEV12:Abd-B,0.4617,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:DEV12:Abd-B,1.481961475367238,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:DEV12:Abd-B,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:DEV12:Bap,382.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:DEV12:Bap,0.78613,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:DEV12:Bap,0.336535,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:DEV12:Bap,1.7902543535164432,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:DEV12:Bap,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:DEV12:Eve,376.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:DEV12:Eve,0.92081,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:DEV12:Eve,0.4246625,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:DEV12:Eve,1.6377188819078836,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:DEV12:Eve,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:DEV12:Lbl,294.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:DEV12:Lbl,0.78405,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:DEV12:Lbl,0.3429,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:DEV12:Lbl,1.6276106094955791,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:DEV12:Lbl,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:DEV12:Msh,515.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:DEV12:Msh,0.7988900000000001,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:DEV12:Msh,0.4353925,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:DEV12:Msh,1.5513306136000349,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:DEV12:Msh,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:DEV12:Ptx1,509.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:DEV12:Ptx1,0.92461,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:DEV12:Ptx1,0.4027125,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:DEV12:Ptx1,1.7384293639882622,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:DEV12:Ptx1,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:DEV12:Six4,392.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:DEV12:Six4,0.84379,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:DEV12:Six4,0.3967549999999999,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:DEV12:Six4,1.739117041269739,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:DEV12:Six4,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:DEV12:Slou,659.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:DEV12:Slou,0.82596,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:DEV12:Slou,0.4283575,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:DEV12:Slou,1.583161620047136,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:DEV12:Slou,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:DEV12:Tin,416.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:DEV12:Tin,0.85958,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:DEV12:Tin,0.3945025,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:DEV12:Tin,1.7729660580390698,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:DEV12:Tin,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:DEV12:Ubx,389.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:DEV12:Ubx,0.9558,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:DEV12:Ubx,0.45236,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:DEV12:Ubx,1.5358970097383104,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:DEV12:Ubx,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Abf1,731.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Abf1,0.93738,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Abf1,0.4795399999999999,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Abf1,1.8943092466109808,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Abf1,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Cad1,409.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Cad1,0.99245,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Cad1,0.4304675,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Cad1,1.8027837444446264,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Cad1,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Cin5,295.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Cin5,0.99735,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Cin5,0.4498324999999999,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Cin5,1.7571679875073625,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Cin5,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Cst6,587.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Cst6,0.99395,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Cst6,0.5169275,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Cst6,1.9221480624264824,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Cst6,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Ecm22,814.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Ecm22,0.94392,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Ecm22,0.5207275,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Ecm22,1.9174037437439573,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Ecm22,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Gcr1,785.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Gcr1,0.9344,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Gcr1,0.4312325,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Gcr1,1.8371591675854348,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Gcr1,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
protein_sequence_length,natural,UniPROBE:GB11:Hac1,238.0,aa,32896,descriptive,v0.8_reused_data_layer_audit
score_dynamic_range,natural,UniPROBE:GB11:Hac1,0.99887,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
score_95_5_spread,natural,UniPROBE:GB11:Hac1,0.4947375,assay_score,32896,assay-specific; not cross-normalized,v0.8_reused_data_layer_audit
top1pct_position_entropy_mean,natural,UniPROBE:GB11:Hac1,1.8667211169112103,bits,329,within-dataset descriptive,v0.8_reused_data_layer_audit
dna_kmer_length,natural,UniPROBE:GB11:Hac1,8.0,nt,32896,protocol difference,v0.8_reused_data_layer_audit
